periodo,afp,monto_ca_miles_soles,suma_pct_reportada,registros,total_fp_miles_soles,objetivo_monto_miles_soles,objetivo_pct,objetivo,escenario,ratio_ca_objetivo,error_abs_pct,pct_calculado_sobre_total_fp,dif_pct_interno_pp
2023-01,Profuturo,3862425.269502997,93.87727360449433,94,4114334.7278867,1762517.2887595,42.83845154389667,fondos_exterior_amplio,despues_auditoria,2.1914254652341367,119.14254652341367,93.87727360449608,1.7479351299698465e-12
2023-01,Profuturo,3862425.269502997,93.87727360449433,94,4114334.7278867,1762422.85133,42.83615621705172,administradoras_fondos_exterior,despues_auditoria,2.1915428902821166,119.15428902821165,93.87727360449608,1.7479351299698465e-12
2023-01,Profuturo,3862425.269502997,93.87727360449433,94,4114334.7278867,1002084.676919,24.355934633293423,fondos_mutuos_mas_etf,despues_auditoria,3.854390111400938,285.4390111400938,93.87727360449608,1.7479351299698465e-12
2023-01,Profuturo,3862425.269502997,93.87727360449433,94,4114334.7278867,1001990.2394895,24.35363930644848,fondos_mutuos_exterior,despues_auditoria,3.8547533870897275,285.47533870897274,93.87727360449608,1.7479351299698465e-12
2023-02,Habitat,2775001.7081992235,95.39606522137792,107,2908926.8008692,1397097.517061,48.027936510591786,total_exterior,despues_auditoria,1.9862619998329447,98.62619998329447,95.39606522137446,3.467448550509289e-12
2023-02,Habitat,2775001.7081992235,95.39606522137792,107,2908926.8008692,1386878.7413815,47.676646279553765,rv_y_fondos_exterior,despues_auditoria,2.0008971407514577,100.08971407514578,95.39606522137446,3.467448550509289e-12
2023-02,Habitat,2775001.7081992235,95.39606522137792,107,2908926.8008692,1386878.7413815,47.676646279553765,fondos_exterior_amplio,despues_auditoria,2.0008971407514577,100.08971407514578,95.39606522137446,3.467448550509289e-12
2023-02,Habitat,2775001.7081992235,95.39606522137792,107,2908926.8008692,1370833.7534071,47.12506870222847,administradoras_fondos_exterior,despues_auditoria,2.0243167352001468,102.43167352001467,95.39606522137446,3.467448550509289e-12
2023-02,Habitat,2775001.7081992235,95.39606522137792,107,2908926.8008692,962028.1091907,33.071581894163685,fondos_mutuos_mas_etf,despues_auditoria,2.884532875586843,188.4532875586843,95.39606522137446,3.467448550509289e-12
2023-02,Habitat,2775001.7081992235,95.39606522137792,107,2908926.8008692,945983.1212163,32.52000431683839,fondos_mutuos_exterior,despues_auditoria,2.933457950741509,193.34579507415089,95.39606522137446,3.467448550509289e-12
2023-02,Integra,3549191.9461189467,84.65247538653009,63,4192661.7383758,1713591.0810671,40.871198012052616,total_exterior,despues_auditoria,2.0712012249204563,107.12012249204564,84.6524753865279,2.1884716261411086e-12
2023-02,Integra,3549191.9461189467,84.65247538653009,63,4192661.7383758,1687393.8690595,40.24636315433407,rv_y_fondos_exterior,despues_auditoria,2.103357142157423,110.33571421574231,84.6524753865279,2.1884716261411086e-12
2023-02,Integra,3549191.9461189467,84.65247538653009,63,4192661.7383758,1686758.4979877,40.231208793895576,fondos_exterior_amplio,despues_auditoria,2.1041494383180086,110.41494383180085,84.6524753865279,2.1884716261411086e-12
2023-02,Integra,3549191.9461189467,84.65247538653009,63,4192661.7383758,1686758.4979877,40.231208793895576,administradoras_fondos_exterior,despues_auditoria,2.1041494383180086,110.41494383180085,84.6524753865279,2.1884716261411086e-12
2023-02,Integra,3549191.9461189467,84.65247538653009,63,4192661.7383758,388703.2513565,9.27103772285454,fondos_mutuos_mas_etf,despues_auditoria,9.130852221412981,813.0852221412981,84.6524753865279,2.1884716261411086e-12
2023-02,Integra,3549191.9461189467,84.65247538653009,63,4192661.7383758,388703.2513565,9.27103772285454,fondos_mutuos_exterior,despues_auditoria,9.130852221412981,813.0852221412981,84.6524753865279,2.1884716261411086e-12
2023-02,Prima,2663521.0396119533,70.08618746248666,51,3800350.8766084,1259937.3932902,33.153185960940974,total_exterior,despues_auditoria,2.114010627668122,111.40106276681219,70.08618746248494,1.7195134205394424e-12
2023-02,Prima,2663521.0396119533,70.08618746248666,51,3800350.8766084,1158238.0499351,30.47713454734456,rv_y_fondos_exterior,despues_auditoria,2.299631789649114,129.96317896491138,70.08618746248494,1.7195134205394424e-12
2023-02,Prima,2663521.0396119533,70.08618746248666,51,3800350.8766084,1158238.0499351,30.47713454734456,fondos_exterior_amplio,despues_auditoria,2.299631789649114,129.96317896491138,70.08618746248494,1.7195134205394424e-12
2023-02,Prima,2663521.0396119533,70.08618746248666,51,3800350.8766084,1158181.6686589,30.475650966537664,administradoras_fondos_exterior,despues_auditoria,2.299743737695434,129.9743737695434,70.08618746248494,1.7195134205394424e-12
2023-02,Prima,2663521.0396119533,70.08618746248666,51,3800350.8766084,382661.3153689,10.06910487461131,fondos_mutuos_mas_etf,despues_auditoria,6.960518172693307,596.0518172693307,70.08618746248494,1.7195134205394424e-12
2023-02,Prima,2663521.0396119533,70.08618746248666,51,3800350.8766084,382604.9340927,10.067621293804416,fondos_mutuos_exterior,despues_auditoria,6.961543885805241,596.1543885805241,70.08618746248494,1.7195134205394424e-12
2023-02,Profuturo,3032114.4517434295,76.77329215842059,90,3949439.1428292,1394283.6517452,35.303332987841095,total_exterior,despues_auditoria,2.1746754671821518,117.46754671821517,76.77329215842428,3.694822225952521e-12
2023-02,Profuturo,3032114.4517434295,76.77329215842059,90,3949439.1428292,1343686.8203872,34.02221864405221,rv_y_fondos_exterior,despues_auditoria,2.256563364125048,125.65633641250483,76.77329215842428,3.694822225952521e-12
2023-02,Profuturo,3032114.4517434295,76.77329215842059,90,3949439.1428292,1343686.8203872,34.02221864405221,fondos_exterior_amplio,despues_auditoria,2.256563364125048,125.65633641250483,76.77329215842428,3.694822225952521e-12
2023-02,Profuturo,3032114.4517434295,76.77329215842059,90,3949439.1428292,1343599.82584,34.020015937691795,administradoras_fondos_exterior,despues_auditoria,2.2567094706549202,125.67094706549202,76.77329215842428,3.694822225952521e-12
2023-02,Profuturo,3032114.4517434295,76.77329215842059,90,3949439.1428292,609843.3767136,15.441265320440028,fondos_mutuos_mas_etf,despues_auditoria,4.971956025960741,397.1956025960741,76.77329215842428,3.694822225952521e-12
2023-02,Profuturo,3032114.4517434295,76.77329215842059,90,3949439.1428292,609756.3821664,15.439062614079608,fondos_mutuos_exterior,despues_auditoria,4.972665379853257,397.2665379853257,76.77329215842428,3.694822225952521e-12
2023-03,Habitat,3022659.171863719,100.34461840141603,112,3012278.306517,1521247.8714019998,50.50157112343529,total_exterior,despues_auditoria,1.9869603295339378,98.69603295339377,100.3446184014359,1.98667748918524e-11
2023-03,Habitat,3022659.171863719,100.34461840141603,112,3012278.306517,1500442.1753729999,49.81087478292849,rv_y_fondos_exterior,despues_auditoria,2.0145122694330464,101.45122694330465,100.3446184014359,1.98667748918524e-11
2023-03,Habitat,3022659.171863719,100.34461840141603,112,3012278.306517,1500442.1753729999,49.81087478292849,fondos_exterior_amplio,despues_auditoria,2.0145122694330464,101.45122694330465,100.3446184014359,1.98667748918524e-11
2023-03,Habitat,3022659.171863719,100.34461840141603,112,3012278.306517,1483734.800812,49.25623232094719,administradoras_fondos_exterior,despues_auditoria,2.0371963845624674,103.71963845624674,100.3446184014359,1.98667748918524e-11
2023-03,Habitat,3022659.171863719,100.34461840141603,112,3012278.306517,1070690.3682269999,35.544204727372914,fondos_mutuos_mas_etf,despues_auditoria,2.823093642720504,182.3093642720504,100.3446184014359,1.98667748918524e-11
2023-03,Habitat,3022659.171863719,100.34461840141603,112,3012278.306517,1053982.993666,34.98956226539162,fondos_mutuos_exterior,despues_auditoria,2.867844348560314,186.78443485603137,100.3446184014359,1.98667748918524e-11
2023-03,Integra,3669104.1359247793,87.80298443123728,60,4178792.053245,1775624.49106,42.49133406102743,total_exterior,despues_auditoria,2.0663739176825744,106.63739176825744,87.80298443124424,6.963318810448982e-12
2023-03,Integra,3669104.1359247793,87.80298443123728,60,4178792.053245,1722737.367701,41.22572613689225,rv_y_fondos_exterior,despues_auditoria,2.1298105008433255,112.98105008433255,87.80298443124424,6.963318810448982e-12
2023-03,Integra,3669104.1359247793,87.80298443123728,60,4178792.053245,1722119.382681,41.21093753262274,fondos_exterior_amplio,despues_auditoria,2.130574786408076,113.05747864080762,87.80298443124424,6.963318810448982e-12
2023-03,Integra,3669104.1359247793,87.80298443123728,60,4178792.053245,1722119.382681,41.21093753262274,administradoras_fondos_exterior,despues_auditoria,2.130574786408076,113.05747864080762,87.80298443124424,6.963318810448982e-12
2023-03,Integra,3669104.1359247793,87.80298443123728,60,4178792.053245,412626.057433,9.8742902775595,fondos_mutuos_mas_etf,despues_auditoria,8.892080540794613,789.2080540794612,87.80298443124424,6.963318810448982e-12
