periodo,afp,fecha_ca,monto_ca_miles_soles,participacion_reportada_suma_pct,registros,registros_pendientes,registros_identificados,fuente,pendientes_pct_registros,fecha_fp,total_fp_miles_soles,suma_fp_pct,objetivo_monto_miles_soles,objetivo_participacion_pct,objetivo_hoja10,categorias_objetivo,diferencia_miles_soles,error_relativo_pct,participacion_calculada_sobre_fp_pct,diferencia_porcentaje_interno_pp,estado_monto,estado_porcentaje_interno,elegible_isin
2015-08,Profuturo,2015-08-31,6876367.43301231,128.01302273578725,75,20,55,hoja10,26.666666666666668,2015-08-31,5371615.548212473,100.00000000000001,3444883.759249931,64.13124186440139,total_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior | depositos_exterior | renta_fija_financiera_exterior | renta_fija_no_financiera_exterior | renta_fija_organismos_internacionales | renta_fija_soberana_exterior | renta_fija_exterior_otros,3431483.673762379,99.61101487237207,128.01302273578713,1.1368683772161603e-13,revisar,correcto,False
2015-09,Habitat,2015-09-30,196986.53428183062,131.75947613217866,49,5,44,hoja10,10.204081632653061,2015-09-30,149504.64290266047,100.0,98105.59360438309,65.62043271676698,total_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior | depositos_exterior | renta_fija_financiera_exterior | renta_fija_no_financiera_exterior | renta_fija_organismos_internacionales | renta_fija_soberana_exterior | renta_fija_exterior_otros,98880.94067744754,100.7903189253317,131.75947613217917,5.115907697472721e-13,revisar,correcto,False
2015-09,Integra,2015-09-30,9581212.768803844,126.16781818629657,94,21,73,hoja10,22.340425531914892,2015-09-30,7594022.712397578,100.00000000000001,4759447.991513651,62.673607543254285,total_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior | depositos_exterior | renta_fija_financiera_exterior | renta_fija_no_financiera_exterior | renta_fija_organismos_internacionales | renta_fija_soberana_exterior | renta_fija_exterior_otros,4821764.777290193,101.30932801214882,126.16781818629659,1.4210854715202004e-14,revisar,correcto,False
2015-09,Prima,2015-09-30,9315039.245567,129.3667835620539,84,18,66,hoja10,21.428571428571427,2015-09-30,7200487.628339937,100.00000000000001,4636919.698481136,64.3973010970949,total_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior | depositos_exterior | renta_fija_financiera_exterior | renta_fija_no_financiera_exterior | renta_fija_organismos_internacionales | renta_fija_soberana_exterior | renta_fija_exterior_otros,4678119.547085864,100.888517621261,129.36678356205397,5.684341886080802e-14,revisar,correcto,False
2015-09,Profuturo,2015-09-30,6636290.070082484,127.6357734562952,74,20,54,hoja10,27.027027027027028,2015-09-30,5199396.603613538,100.00000000000001,3263593.6920874096,62.76870069536991,total_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior | depositos_exterior | renta_fija_financiera_exterior | renta_fija_no_financiera_exterior | renta_fija_organismos_internacionales | renta_fija_soberana_exterior | renta_fija_exterior_otros,3372696.3779950743,103.34302294345599,127.63577345629524,4.263256414560601e-14,revisar,correcto,False
2015-10,Habitat,2015-10-30,220171.69303973598,129.82690914313415,48,5,43,hoja10,10.416666666666668,2015-10-31,169588.64267268084,99.99999999999999,110256.30501976344,65.01396749342855,total_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior | depositos_exterior | renta_fija_financiera_exterior | renta_fija_no_financiera_exterior | renta_fija_organismos_internacionales | renta_fija_soberana_exterior | renta_fija_exterior_otros,109915.38801997254,99.69079591436537,129.82690914313426,1.1368683772161603e-13,revisar,correcto,False
2015-10,Integra,2015-10-30,10157098.65106234,126.87147875142252,95,19,76,hoja10,20.0,2015-10-31,8005817.040660288,99.9999981742497,5081476.8190235365,63.472306454674595,total_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior | depositos_exterior | renta_fija_financiera_exterior | renta_fija_no_financiera_exterior | renta_fija_organismos_internacionales | renta_fija_soberana_exterior | renta_fija_exterior_otros,5075621.832038803,99.88477784720351,126.87148106777897,2.3163564577544093e-06,revisar,correcto,False
2015-10,Prima,2015-10-30,10015208.528960679,132.31540268236404,89,24,65,hoja10,26.96629213483146,2015-10-31,7569193.250315054,100.0,4915238.342980593,64.93741380927229,total_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior | depositos_exterior | renta_fija_financiera_exterior | renta_fija_no_financiera_exterior | renta_fija_organismos_internacionales | renta_fija_soberana_exterior | renta_fija_exterior_otros,5099970.185980085,103.7583496487674,132.31540268236398,5.684341886080802e-14,revisar,correcto,False
2015-10,Profuturo,2015-10-30,7273683.848981494,131.09230411736542,73,21,52,hoja10,28.767123287671232,2015-10-31,5548520.866998757,100.0,3625928.799638997,65.34946675978337,total_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior | depositos_exterior | renta_fija_financiera_exterior | renta_fija_no_financiera_exterior | renta_fija_organismos_internacionales | renta_fija_soberana_exterior | renta_fija_exterior_otros,3647755.0493424973,100.60194920831522,131.09230411736547,5.684341886080802e-14,revisar,correcto,False
2015-11,Habitat,2015-11-30,241506.51620787202,130.59215283375875,44,5,39,hoja10,11.363636363636363,2015-11-30,184931.87451722703,100.0,119180.74625368502,64.44575688469698,total_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior | depositos_exterior | renta_fija_financiera_exterior | renta_fija_no_financiera_exterior | renta_fija_organismos_internacionales | renta_fija_soberana_exterior | renta_fija_exterior_otros,122325.769954187,102.6388689443239,130.59215283375872,2.842170943040401e-14,revisar,correcto,False
