fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,grupo,entidad_administradora,isin,moneda,seccion,estado_identificacion,total_canonico,participacion_calculada_pct
2026-01-30,CA-0001-en2026.XLS,10,183,Habitat,3,0.1110146688,miles_soles,2.2264231451150445e-08,83,"Matthews International Capital Management,LLC",LU0721876877,USD,,isin,2736482.735417546,4.0568379022884955e-06
2026-01-30,CA-0001-en2026.XLS,10,185,Habitat,3,48169.2725338731,miles_soles,0.009660451579239364,84,SCHRODER INVESTMENT MANAGEMENT,LU0106820292,EUR,,isin,2736482.735417546,1.7602622487045658
2026-01-30,CA-0001-en2026.XLS,10,185,Profuturo,3,22937.993770989102,miles_soles,0.006445804574529321,84,SCHRODER INVESTMENT MANAGEMENT,LU0106820292,EUR,,isin,2445016.2933374285,0.9381530026402775
2026-01-30,CA-0001-en2026.XLS,10,186,Integra,3,0.15921959989999998,miles_soles,4.686177432481286e-08,84,SCHRODER INVESTMENT MANAGEMENT,LU0106259988,USD,,isin,2462373.921423915,6.466101614978452e-06
2026-01-30,CA-0001-en2026.XLS,10,188,Habitat,3,220009.09938240002,miles_soles,0.04412329976711073,85,VAN ECK ASSOCIATES CORPORATION,US92189F1066,USD,,isin,2736482.735417546,8.039849714192696
2026-01-30,CA-0001-en2026.XLS,10,188,Integra,3,93561.62544,miles_soles,0.027537211370871874,85,VAN ECK ASSOCIATES CORPORATION,US92189F1066,USD,,isin,2462373.921423915,3.7996514106150134
2026-01-30,CA-0001-en2026.XLS,10,188,Prima,3,156875.148576,miles_soles,0.052075566603185436,85,VAN ECK ASSOCIATES CORPORATION,US92189F1066,USD,,isin,1760997.744240957,8.908310592051206
2026-01-30,CA-0001-en2026.XLS,10,188,Profuturo,3,131221.05216,miles_soles,0.03687442183183599,85,VAN ECK ASSOCIATES CORPORATION,US92189F1066,USD,,isin,2445016.2933374285,5.366878434208071
2026-01-30,CA-0001-en2026.XLS,10,189,Habitat,3,252748.06893327998,miles_soles,0.05068917077705927,85,VAN ECK ASSOCIATES CORPORATION,US92189F6768,USD,,isin,2736482.735417546,9.236238389595192
2026-01-30,CA-0001-en2026.XLS,10,189,Integra,3,289571.633968,miles_soles,0.0852271992292309,85,VAN ECK ASSOCIATES CORPORATION,US92189F6768,USD,,isin,2462373.921423915,11.759856269130307
2026-01-30,CA-0001-en2026.XLS,10,189,Prima,3,199460.63755808,miles_soles,0.06621205340779332,85,VAN ECK ASSOCIATES CORPORATION,US92189F6768,USD,,isin,1760997.744240957,11.32656973641119
2026-01-30,CA-0001-en2026.XLS,10,190,Prima,3,11072.3,miles_soles,0.0036755107570216024,85,VAN ECK ASSOCIATES CORPORATION,US92189H3003,USD,,isin,1760997.744240957,0.6287515152253924
2026-01-30,CA-0001-en2026.XLS,10,191,Habitat,3,60382.0071792,miles_soles,0.01210974187334365,85,VAN ECK ASSOCIATES CORPORATION,US92189H6071,USD,,isin,2736482.735417546,2.206555385776502
2026-01-30,CA-0001-en2026.XLS,10,191,Integra,3,8448.318143999999,miles_soles,0.002486522881209362,85,VAN ECK ASSOCIATES CORPORATION,US92189H6071,USD,,isin,2462373.921423915,0.3430964757421812
2026-01-30,CA-0001-en2026.XLS,10,191,Profuturo,3,36726.716376000004,miles_soles,0.010320572879537129,85,VAN ECK ASSOCIATES CORPORATION,US92189H6071,USD,,isin,2445016.2933374285,1.5021051792611295
2026-01-30,CA-0001-en2026.XLS,10,192,Profuturo,3,97941.264864,miles_soles,0.027522470334524658,85,VAN ECK ASSOCIATES CORPORATION,US92189H8051,USD,,isin,2445016.2933374285,4.0057510099579305
2026-01-30,CA-0001-en2026.XLS,10,194,Integra,3,0.4866965448,miles_soles,1.4324532696607898e-07,86,THE VANGUARD GROUP INC.,IE00BKLWXM7X,USD,,isin,2462373.921423915,1.97653386662964e-05
2026-01-30,CA-0001-en2026.XLS,10,195,Integra,3,0.8989173846,miles_soles,2.645708420334764e-07,86,THE VANGUARD GROUP INC.,IE00BKLWXN8X,USD,,isin,2462373.921423915,3.650612836575949e-05
2026-01-30,CA-0001-en2026.XLS,10,197,Profuturo,3,154702.71448,miles_soles,0.04347300268031628,86,THE VANGUARD GROUP INC.,US9220427424,USD,,isin,2445016.2933374285,6.327267221145262
