afp,fecha_fin_ventana,fecha_inicio_ventana,observaciones,alpha_ridge,r2_in_sample,rmse_in_sample,intercepto_original,factor,coef_estandarizado,coef_original,coef_abs_estandarizado,ranking_ventana,top5_ventana,columna_modelo,ticker,nombre,grupo,moneda
Profuturo,2019-08-30,2018-09-11,252,100.0,0.6509540100931749,0.0023779998345990635,0.00015296579844755544,ret_XLK,0.0002574530340750312,0.01495582415405096,0.0002574530340750312,12,False,ret_XLK,XLK,Tecnología,sector,USD
Profuturo,2019-08-30,2018-09-11,252,100.0,0.6509540100931749,0.0023779998345990635,0.00015296579844755544,ret_EPU,0.00024341115322198975,0.019201094382645428,0.00024341115322198975,13,False,ret_EPU,EPU,Perú - ETF,mercado,USD
Profuturo,2019-08-30,2018-09-11,252,100.0,0.6509540100931749,0.0023779998345990635,0.00015296579844755544,ret_VGK,0.00021691337442661545,0.01719396877188108,0.00021691337442661545,14,False,ret_VGK,VGK,Europa,region,USD
Profuturo,2019-08-30,2018-09-11,252,100.0,0.6509540100931749,0.0023779998345990635,0.00015296579844755544,ret_XLV,0.00021210651542490124,0.015384237593016764,0.00021210651542490124,15,False,ret_XLV,XLV,Salud,sector,USD
Profuturo,2019-08-30,2018-09-11,252,100.0,0.6509540100931749,0.0023779998345990635,0.00015296579844755544,ret_ACWI,0.00021195494091683602,0.016364988143642668,0.00021195494091683602,16,False,ret_ACWI,ACWI,Acciones globales,mercado,USD
Profuturo,2019-08-30,2018-09-11,252,100.0,0.6509540100931749,0.0023779998345990635,0.00015296579844755544,ret_SPY,0.00020539493312195676,0.015251889081305451,0.00020539493312195676,17,False,ret_SPY,SPY,Estados Unidos - S&P 500,mercado,USD
Profuturo,2019-08-30,2018-09-11,252,100.0,0.6509540100931749,0.0023779998345990635,0.00015296579844755544,ret_CPER,-0.00020487397296704342,-0.014131839816708389,0.00020487397296704342,18,False,ret_CPER,CPER,Cobre,materia_prima,USD
Profuturo,2019-08-30,2018-09-11,252,100.0,0.6509540100931749,0.0023779998345990635,0.00015296579844755544,ret_XLB,0.0001939149477997343,0.013235901510710699,0.0001939149477997343,19,False,ret_XLB,XLB,Materiales,sector,USD
Profuturo,2019-08-30,2018-09-11,252,100.0,0.6509540100931749,0.0023779998345990635,0.00015296579844755544,ret_XLE,0.00018157659157937134,0.011899796012635975,0.00018157659157937134,20,False,ret_XLE,XLE,Energía,sector,USD
Profuturo,2019-08-30,2018-09-11,252,100.0,0.6509540100931749,0.0023779998345990635,0.00015296579844755544,ret_DX_Y_NYB,-0.00017454987077561326,-0.05587399306560875,0.00017454987077561326,21,False,ret_DX_Y_NYB,DX-Y.NYB,Índice dólar DXY,moneda,INDICE
Profuturo,2019-08-30,2018-09-11,252,100.0,0.6509540100931749,0.0023779998345990635,0.00015296579844755544,ret_XLF,0.00017046111962132267,0.012140111727002637,0.00017046111962132267,22,False,ret_XLF,XLF,Finanzas,sector,USD
Profuturo,2019-08-30,2018-09-11,252,100.0,0.6509540100931749,0.0023779998345990635,0.00015296579844755544,ret_XLI,0.0001489515973049559,0.010054908789286367,0.0001489515973049559,23,False,ret_XLI,XLI,Industria,sector,USD
Profuturo,2019-08-30,2018-09-11,252,100.0,0.6509540100931749,0.0023779998345990635,0.00015296579844755544,ret_XLP,-0.00013392451502405696,-0.01110933113267122,0.00013392451502405696,24,False,ret_XLP,XLP,Consumo básico,sector,USD
Profuturo,2019-08-30,2018-09-11,252,100.0,0.6509540100931749,0.0023779998345990635,0.00015296579844755544,ret_USO,-8.434623931856595e-05,-0.0038552829375971018,8.434623931856595e-05,25,False,ret_USO,USO,Petróleo,materia_prima,USD
Profuturo,2019-08-30,2018-09-11,252,100.0,0.6509540100931749,0.0023779998345990635,0.00015296579844755544,ret_EWJ,8.061609245054306e-05,0.006224191438376727,8.061609245054306e-05,26,False,ret_EWJ,EWJ,Japón,region,USD
Profuturo,2019-08-30,2018-09-11,252,100.0,0.6509540100931749,0.0023779998345990635,0.00015296579844755544,ret_ILF,2.7647266533609353e-05,0.0014440952344481743,2.7647266533609353e-05,27,False,ret_ILF,ILF,América Latina,mercado,USD
Profuturo,2019-09-30,2018-10-10,252,100.0,0.6227541702408346,0.0024488851354413778,0.00015441399677101957,ret_PEN_X,-0.0005757441780198687,-0.05946770113241303,0.0005757441780198687,1,True,ret_PEN_X,PEN=X,Tipo de cambio USD/PEN,moneda,PEN_POR_USD
Profuturo,2019-09-30,2018-10-10,252,100.0,0.6227541702408346,0.0024488851354413778,0.00015441399677101957,ret_LQD,-0.00047585299272442336,-0.04714923030345875,0.00047585299272442336,2,True,ret_LQD,LQD,Bonos corporativos grado inversión,bonos,USD
Profuturo,2019-09-30,2018-10-10,252,100.0,0.6227541702408346,0.0024488851354413778,0.00015441399677101957,ret_MCHI,0.0004271765200322478,0.024847343435571666,0.0004271765200322478,3,True,ret_MCHI,MCHI,China,region,USD
Profuturo,2019-09-30,2018-10-10,252,100.0,0.6227541702408346,0.0024488851354413778,0.00015441399677101957,ret_IDX_VIX,-0.0004223458909057103,-0.00493157417293023,0.0004223458909057103,4,True,ret_IDX_VIX,^VIX,Volatilidad VIX,riesgo,INDICE
Profuturo,2019-09-30,2018-10-10,252,100.0,0.6227541702408346,0.0024488851354413778,0.00015441399677101957,ret_HYG,-0.00040719572001045263,-0.041263310474831685,0.00040719572001045263,5,True,ret_HYG,HYG,Bonos corporativos alto rendimiento,bonos,USD
