fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,identificador_especifico,categoria_instrumento,estado_pareja,moneda,total_canonico,participacion_calculada_pct,estado_refinado,fila_categoria_origen,total_refinado,participacion_hoja3_refinada_pct
2026-01-30,CA-0001-en2026.XLS,3,461,Habitat,3,130280.1262660616,miles_soles,0.0261279605301376,First Trust Advisors L.P.,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,5792285.413077266,2.2492007381391748,pareja_exacta_original,,5140331.281444551,2.5344694560123737
2026-01-30,CA-0001-en2026.XLS,3,467,Habitat,3,0.0779018399999999,miles_soles,1.5623382161821932e-08,FRANKLIN TEMPLETON INTERNATIONAL SERVICES S.A,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,5792285.413077266,1.3449240575079516e-06,pareja_exacta_original,,5140331.281444551,1.515502323385424e-06
2026-01-30,CA-0001-en2026.XLS,3,469,Habitat,3,7657.4745996134,miles_soles,0.0015357230594836,FRO Fund III GP LLC,Fondo Mutuo Alternativo Extranjero,pareja_exacta,,5792285.413077266,0.1322012651918893,pareja_exacta_original,,5140331.281444551,0.14896850378603368
2026-01-30,CA-0001-en2026.XLS,3,473,Habitat,3,15603.2366433069,miles_soles,0.0031292627881411,G Squared Equity GP V S.à.r.l,Fondo Mutuo Alternativo Extranjero,pareja_exacta,,5792285.413077266,0.2693796235951946,pareja_exacta_original,,5140331.281444551,0.30354535124284887
2026-01-30,CA-0001-en2026.XLS,3,475,Habitat,3,0.1651300233,miles_soles,3.3117182603215284e-08,GAM International Management Limited,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,5792285.413077266,2.850861301260903e-06,pareja_exacta_original,,5140331.281444551,3.212439320712315e-06
2026-01-30,CA-0001-en2026.XLS,3,481,Habitat,3,177492.9951072,miles_soles,0.0355966032844176,Global X Management Company LLC,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,5792285.413077266,3.064299882503603,pareja_exacta_original,,5140331.281444551,3.4529485628272654
2026-01-30,CA-0001-en2026.XLS,3,485,Habitat,3,11.5733882377,miles_soles,2.3210679920361565e-06,Groupama Asset Management,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,5792285.413077266,0.0001998069399613,pareja_exacta_original,,5140331.281444551,0.00022514868408340428
2026-01-30,CA-0001-en2026.XLS,3,489,Habitat,3,25767.9684866801,miles_soles,0.0051678216997337,Hamilton Lane Global SMID II GP LLC,Fondo Mutuo Alternativo Extranjero,pareja_exacta,,5792285.413077266,0.4448670369126434,pareja_exacta_original,,5140331.281444551,0.5012900351324966
2026-01-30,CA-0001-en2026.XLS,3,505,Habitat,3,21.8329527628,miles_soles,4.378645802643819e-06,ICG Europe Fund IX GP S.à r.l.,Fondo Mutuo Alternativo Extranjero,pareja_exacta,,5792285.413077266,0.0003769315771889,pareja_exacta_original,,5140331.281444551,0.0004247382428757479
2026-01-30,CA-0001-en2026.XLS,3,511,Habitat,3,16981.3849270733,miles_soles,0.0034056534011605,InfraVia European Fund V SCSp,Fondo Mutuo Alternativo Extranjero,pareja_exacta,,5792285.413077266,0.2931724477653391,pareja_exacta_original,,5140331.281444551,0.33035584668195045
2026-01-30,CA-0001-en2026.XLS,3,513,Habitat,3,1518.1184688212002,miles_soles,0.0003044619357554,InfraVia GP VI Sàrl,Fondo Mutuo Alternativo Extranjero,pareja_exacta,,5792285.413077266,0.0262093174033471,pareja_exacta_original,,5140331.281444551,0.029533475289837234
2026-01-30,CA-0001-en2026.XLS,3,515,Habitat,3,21733.059904699898,miles_soles,0.0043586120743347,"Insight Associates XI, L.P.",Fondo Mutuo Alternativo Extranjero,pareja_exacta,,5792285.413077266,0.3752069926601524,pareja_exacta_original,,5140331.281444551,0.4227949273065608
