afp,escenario,objetivo,observaciones,ratio_mediano,error_mediano_pct,error_p90_pct,ranking_afp
Prima,hojas_identificadas_dedup_id_valor,administradoras_fondos_exterior,133,0.9986894266393835,0.8612890365801928,10.031596530476744,3
Prima,solo_hojas_identificadas,administradoras_fondos_exterior,133,0.9986894266393835,0.8612890365801928,10.031596530476744,4
Prima,hojas_identificadas_dedup_id_valor,fondos_exterior_amplio,133,0.9986894266393835,0.8613253933972498,10.035651079469464,5
Prima,solo_hojas_identificadas,fondos_exterior_amplio,133,0.9986894266393835,0.8613253933972498,10.035651079469464,6
Prima,hojas_identificadas_dedup_id_valor,total_exterior,133,0.9777082725814444,2.2291727418555563,12.923831308464706,7
Prima,solo_hojas_identificadas,total_exterior,133,0.9777082725814444,2.2291727418555563,12.923831308464706,8
Prima,entidades_pendientes_dedup_id_valor,total_exterior,133,1.0283576516976578,5.1551190535643165,93.22135300064643,9
Prima,solo_entidades_pendientes,total_exterior,133,1.0312245850945114,5.6115667011473525,93.22135300064645,10
Prima,entidades_pendientes_dedup_id_valor,rv_y_fondos_exterior,133,1.0474782499747641,8.043688136252957,92.9399092363708,11
Prima,entidades_pendientes_dedup_id_valor,fondos_exterior_amplio,133,1.0500449497259006,8.371313797600122,92.9399092363708,12
Prima,entidades_pendientes_dedup_id_valor,administradoras_fondos_exterior,133,1.0500449497259006,8.435761681832998,92.9399092363708,13
Prima,solo_isin_dedup_id_valor,fondos_mutuos_mas_etf,133,1.0058693930522329,9.197293440296672,50.499986340547615,14
Prima,solo_isin_dedup_id_valor,fondos_mutuos_exterior,133,1.0058696557624287,9.197293440296672,50.51458495850988,15
Prima,solo_isin,fondos_mutuos_mas_etf,133,1.005869393052233,9.197293440296683,50.499986340547636,16
Prima,solo_isin,fondos_mutuos_exterior,133,1.005869655762429,9.197293440296683,50.51458495850988,17
Prima,solo_entidades_pendientes,fondos_exterior_amplio,133,1.055990898439728,9.24482797168087,92.9399092363708,18
Prima,solo_entidades_pendientes,rv_y_fondos_exterior,133,1.0500449497259006,9.24482797168087,92.9399092363708,19
Prima,solo_entidades_pendientes,administradoras_fondos_exterior,133,1.055991284200599,9.244856266998113,92.9399092363708,20
Prima,solo_isin,administradoras_fondos_exterior,133,0.885021431004356,11.497856899564397,37.62342787790199,21
Prima,solo_isin_dedup_id_valor,administradoras_fondos_exterior,133,0.885021431004356,11.497856899564397,37.62342787790199,22
Prima,solo_isin,fondos_exterior_amplio,133,0.8850212288067043,11.49787711932957,37.62536556725553,23
Prima,solo_isin_dedup_id_valor,fondos_exterior_amplio,133,0.8850212288067043,11.49787711932957,37.62536556725553,24
Prima,solo_isin,rv_y_fondos_exterior,133,0.8850212288067043,11.49787711932957,37.733699465178965,25
Prima,solo_isin_dedup_id_valor,rv_y_fondos_exterior,133,0.8850212288067043,11.49787711932957,37.733699465178965,26
Prima,solo_isin,total_exterior,133,0.8645010646371891,13.549893536281088,39.8432196837437,27
Prima,solo_isin_dedup_id_valor,total_exterior,133,0.8645010646371891,13.549893536281088,39.8432196837437,28
Prima,hojas_identificadas_dedup_id_valor,fondos_mutuos_mas_etf,133,1.1829370822646559,18.29370822646559,111.42239011565982,29
Prima,solo_hojas_identificadas,fondos_mutuos_mas_etf,133,1.1829370822646559,18.29370822646559,111.42239011565982,30
Prima,hojas_identificadas_dedup_id_valor,fondos_mutuos_exterior,133,1.182937505502821,18.293750550282105,111.44481311540179,31
Prima,solo_hojas_identificadas,fondos_mutuos_exterior,133,1.182937505502821,18.293750550282105,111.44481311540179,32
Prima,entidades_pendientes_dedup_id_valor,fondos_mutuos_mas_etf,133,1.1157831972988057,28.084277408898274,222.13170243368378,33
Prima,entidades_pendientes_dedup_id_valor,fondos_mutuos_exterior,133,1.1157831972988057,28.084327984244627,222.17082055076682,34
Prima,solo_entidades_pendientes,fondos_mutuos_mas_etf,133,1.1157831972988057,29.390400683001406,222.2031744543794,35
