afp,factor,familia,mejor_lag_train,lag,corr_s_train,corr_p_train,n_train,corr_s_valid,corr_p_valid,n_valid,corr_s_test,corr_p_test,n_test,estable_train_valid,confirmada_en_test,score_pretest,nivel_relacion,direccion_relacion,ranking_pretest
Integra,ret_VGK,acciones_regionales,0,0,0.3584622148313202,0.4285407977743834,1662,0.23853738036606761,0.2429740484534752,547,0.3151962173523207,0.3774966133921223,463,True,True,0.23853738036606761,debil_pero_estable,positiva,10
Integra,ret_ACWI,acciones_globales_usa,0,0,0.37870854028426654,0.428978101669968,1662,0.2229057655537859,0.2424544066147954,547,0.34568661884292745,0.3955390644769136,463,True,True,0.2229057655537859,debil_pero_estable,positiva,11
Integra,ret_XLF,otros,0,0,0.38005846608901767,0.4571528467906786,1662,0.21454482612891446,0.21919519307721325,547,0.1871859521278602,0.237737372917332,463,True,True,0.21454482612891446,debil_pero_estable,positiva,12
Integra,ret_XLI,otros,0,0,0.356846774673757,0.43029873653731376,1662,0.21399155562274896,0.23146174342731532,547,0.31152279425348606,0.3812050663476041,463,True,True,0.21399155562274896,debil_pero_estable,positiva,13
Integra,ret_XLY,otros,0,0,0.349209445573904,0.4068427710682365,1662,0.21387747015924594,0.21028129435607512,547,0.332522108486583,0.352206507420828,463,True,True,0.21387747015924594,debil_pero_estable,positiva,14
Integra,ret_XLK,otros,0,0,0.3423692555008313,0.4124215431054844,1662,0.20350610437881414,0.22872973698323762,547,0.44667412724312994,0.47190881951373315,463,True,True,0.20350610437881414,debil_pero_estable,positiva,15
Integra,ret_QQQ,tecnologia_semiconductores,0,0,0.34963470558185555,0.4065176357169393,1662,0.19775629966585273,0.22109473663102122,547,0.40585951063905923,0.43204542927277423,463,True,True,0.19775629966585273,debil_pero_estable,positiva,16
Integra,ret_SPY,acciones_globales_usa,0,0,0.3552320245848025,0.4137284338278965,1662,0.1954682849010235,0.2262748978435647,547,0.32129122460171833,0.36055909441396466,463,True,True,0.1954682849010235,debil_pero_estable,positiva,17
Integra,ret_USO,otros,0,0,0.19253728544268867,0.2550526962081266,1662,0.2085191926796431,0.20043956059318602,547,-0.01664193778962528,-0.08074689522796133,463,True,False,0.19253728544268867,no_confirmada_en_test,positiva,18
Integra,ret_CPER,otros,0,0,0.17470021214081385,0.16317929919672483,1662,0.23729615105267296,0.20982051845097346,547,0.3397864982265815,0.3701233491264668,463,True,True,0.17470021214081385,debil_pero_estable,positiva,19
Integra,ret_EWJ,acciones_regionales,0,0,0.33626642464740736,0.38662129332228284,1662,0.16792603038749904,0.1784409853641199,547,0.33262644854958845,0.4251678891608562,463,True,True,0.16792603038749904,debil_pero_estable,positiva,20
Integra,ret_XLV,otros,0,0,0.2980309724774487,0.3505142435894327,1662,0.12074406597952413,0.13340484008008147,547,0.10913220986208248,0.14647117252223882,463,True,True,0.12074406597952413,debil_pero_estable,positiva,21
Integra,ret_HYG,bonos_credito,0,0,0.17551621781404506,0.1869219015683073,1662,0.09964851999039803,0.11373282391811841,547,0.10503393046961974,0.09826735518006381,463,False,False,0.09964851999039803,sin_relacion_estable,positiva,22
Integra,ret_XLP,otros,0,0,0.18629142218671813,0.25394183887729593,1662,0.09871112754124269,0.11520837098544337,547,0.02554070640761636,0.04509998141711172,463,False,False,0.09871112754124269,sin_relacion_estable,positiva,23
Integra,ret_DX_Y_NYB,tipo_cambio,2,2,-0.07283529586965257,-0.07827298390578434,1653,-0.06799191924644601,-0.06641043861721899,545,0.007789534238758754,0.0028599528632073904,561,False,False,0.06799191924644601,sin_relacion_estable,negativa,24
Integra,ret_GLD,otros,0,0,-0.04823837958998923,-0.028548384260222614,1662,0.12417220218231705,0.14574115151756492,547,0.26480540759605325,0.3628016438623664,463,False,False,0.04823837958998923,sin_relacion_estable,negativa,25
Integra,ret_LQD,bonos_credito,1,1,0.03086090990800598,0.026258137993166487,1650,0.04670477930056992,0.0347851739438249,545,-0.04176387287293868,-0.001544431962824352,370,False,False,0.03086090990800598,sin_relacion_estable,positiva,26
Integra,ret_TLT,bonos_credito,0,0,-0.17998874066806206,-0.17540959640989393,1662,0.01698363020238145,0.05508093065550914,547,0.020216824212504553,0.01959534244009874,463,False,False,0.01698363020238145,sin_relacion_estable,negativa,27
Integra,ret_PEN_X,tipo_cambio,0,0,-0.03209547182002758,-0.011437523314788329,1773,-0.008487845657065094,-0.007372612070115166,593,-0.004264815863820574,-0.009894554673438409,493,False,False,0.008487845657065094,sin_relacion_estable,negativa,28
Integra,fx_usdpen,tipo_cambio,0,0,-0.03209547182002758,-0.011437523314788329,1773,-0.008487845657065094,-0.007372612070115166,593,-0.004264815863820574,-0.009894554673438409,493,False,False,0.008487845657065094,sin_relacion_estable,negativa,29
Prima,ret_COPX,otros,0,0,0.3845201883237487,0.45562546420056227,1662,0.40735006596573997,0.4221694625564065,547,0.5282024056973785,0.6262127132276258,463,True,True,0.3845201883237487,moderada_y_estable,positiva,1
Prima,ret_EPU,otros,0,0,0.32460525582574384,0.4147387071463209,1662,0.3948046975642753,0.44061647140996774,547,0.493911158849343,0.585423249916474,463,True,True,0.32460525582574384,moderada_y_estable,positiva,2
Prima,ret_MCHI,otros,0,0,0.38212769954594705,0.42300428556419534,1662,0.30069342845734304,0.29143675605556185,547,0.3123802446901426,0.337870981444999,463,True,True,0.30069342845734304,moderada_y_estable,positiva,3
Prima,ret_EEM,acciones_regionales,0,0,0.3832882930039573,0.4482764939325734,1662,0.2967410563522067,0.3067257515427077,547,0.41049847225835895,0.4975570796397886,463,True,True,0.2967410563522067,moderada_y_estable,positiva,4
Prima,ret_ILF,otros,0,0,0.3229581639985454,0.4236163378706683,1662,0.2917721065147638,0.3197503039746738,547,0.3360083723530509,0.4134862440957254,463,True,True,0.2917721065147638,moderada_y_estable,positiva,5
Prima,ret_IDX_VIX,volatilidad,0,0,-0.44084656255455057,-0.5001593767605063,1668,-0.2841172410725053,-0.30503422692689636,547,-0.5037805615237684,-0.518598203646424,480,True,True,0.2841172410725053,moderada_y_estable,negativa,6
Prima,vix_retorno,volatilidad,0,0,-0.44084656255455057,-0.5001593767605063,1668,-0.2841172410725053,-0.30503422692689636,547,-0.5037805615237684,-0.518598203646424,480,True,True,0.2841172410725053,moderada_y_estable,negativa,7
Prima,ret_XLB,materias_primas,0,0,0.3341920731816296,0.42033566547120316,1662,0.27367914915119973,0.30744853390648974,547,0.299768517399038,0.3662034931811399,463,True,True,0.27367914915119973,moderada_y_estable,positiva,8
Prima,ret_VGK,acciones_regionales,0,0,0.34443219730949803,0.4301484499846046,1662,0.253824685836055,0.2807604046222537,547,0.3088535989221175,0.38102261564547046,463,True,True,0.253824685836055,moderada_y_estable,positiva,9
Prima,ret_XLE,otros,0,0,0.32438381176362857,0.4394247477646316,1662,0.251260622375796,0.274058545840737,547,0.07449687052353321,0.10364498373786335,463,True,False,0.251260622375796,no_confirmada_en_test,positiva,10
Prima,ret_ACWI,acciones_globales_usa,0,0,0.3581433796089988,0.42850138897708356,1662,0.236053235386026,0.2716921208087497,547,0.341449239389028,0.4012872511323767,463,True,True,0.236053235386026,debil_pero_estable,positiva,11
Prima,ret_XLY,otros,0,0,0.3303438167123092,0.4050804661182078,1662,0.23103142204010904,0.26554976900470284,547,0.3332183940287015,0.3568275611203565,463,True,True,0.23103142204010904,debil_pero_estable,positiva,12
Prima,ret_XLI,otros,0,0,0.33384363819822555,0.42911203331065173,1662,0.22774471955138895,0.25155164879282754,547,0.3021168337880932,0.3851196099253053,463,True,True,0.22774471955138895,debil_pero_estable,positiva,13
