archivo,hoja,fila_python,fila_excel_aprox,puntaje,celdas_no_vacias,palabras_detectadas,texto_fila
CA-0001-no2025.XLS,3,325,326,3.0,23,fondo | fondo mutuo,fondo mutuo alternativo extranjero | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 3023.9199676009002 | 0.00010624081383675108 | 755.9799962842 | 0.00023716931760468744 | 0 |  | 0 |  | 3023.9199676009002 | 0.00022140009744258215 | 755.9799962842 | 0.00022580431625806322 | 0 |  | 0 |  | 0 |  | 0 |  | 7559.7999277702 | 6.337879407834671e-05
CA-0001-no2025.XLS,3,389,390,3.0,23,fondo | fondo mutuo,fondo mutuo alternativo extranjero | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 190.208512434 | 1.3926355075034249e-05 | 53.6474338005 | 1.602399821141245e-05 | 0 |  | 0 |  | 146.3142393699 | 6.523821812185668e-06 | 97.5417059695 | 3.491779299198921e-05 | 487.7118915739 | 4.088810794062959e-06
CA-0001-no2025.XLS,1,25,26,3.0,32,fondo | administradora,4. administradoras de fondos | 12007.301517036 | 0.04723845438044108 | 65571.1753792129 | 0.039630298980555374 | 200164.23431252458 | 0.015336269280642004 | 74476.9602295139 | 0.01719929610799694 | 0 |  | 51642.3496843028 | 0.006653121108533095 | 700348.5287663898 | 0.024605676890497866 | 177363.9356599339 | 0.05564338182876252 | 0 |  | 210237.32002093148 | 0.04302080067025495 | 888561.2849752463 | 0.06505713021013057 | 129324.5261568865 | 0.038628054112262084 | 0 |  | 101497.67738675671 | 0.015150114093075899 | 564763.9543231778 | 0.025181550475310358 | 129369.50951844829 | 0.04631144911749703 | 3305328.7579303607 | 0.027710753288664784
CA-0001-no2025.XLS,1,45,46,3.0,31,fondo | administradora,4. administradoras de fondos | 0 |  | 534053.091618391 | 0.32277420024769465 | 6078056.562144381 | 0.46569114837208847 | 2536587.749935327 | 0.5857855057538529 | 0 |  | 2512841.6541582323 | 0.32373120034007724 | 13651936.461051486 | 0.4796399559543997 | 1883853.8975254963 | 0.5910108012634339 | 0 |  | 1642923.864740406 | 0.3361910249539184 | 6783635.44439955 | 0.496672386999905 | 2221759.6106863976 | 0.663619291841979 | 0 |  | 1688079.7352112685 | 0.25197227409655987 | 9452991.081161156 | 0.42148754400976307 | 1610594.9870904274 | 0.5765577072308342 | 50597314.13972245 | 0.42419069081432037
CA-0001-no2025.XLS,1,27,28,3.0,25,fondo | fondo mutuo,fondo mutuo alternativo del extranjero - límite local | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 44191.6240712419 | 0.0015526052793723088 | 27582.4968581983 | 0.008653300338429933 | 0 |  | 0 |  | 34692.4914410695 | 0.002540054322824085 | 14868.2096713205 | 0.0044409983535489165 | 0 |  | 0 |  | 33040.4684865799 | 0.001473199942301217 | 33040.4684865799 | 0.011827763596153288 | 187415.75901499 | 0.0015712300472416907
CA-0001-no2025.XLS,1,26,27,3.0,23,fondo | etf,fondos mutuos del ext - etf del mercado local | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 118.56123258 | 4.165467993116531e-06 | 21556.252767420003 | 0.006762720950411486 | 0 |  | 0 |  | 249472.99092534 | 0.018265478283799753 | 43520.8590306 | 0.012999282870804681 | 0 |  | 0 |  | 0 |  | 0 |  | 314668.66395594 | 0.0026380751668456364
CA-0001-no2025.XLS,1,30,31,3.0,20,fondo | fondo mutuo,fondo mutuo | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 98673.745891296 | 0.0034667514947920868 | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 0 |  | 98673.745891296 | 0.0008272471601808851
CA-0001-no2025.XLS,1,0,1,2.1,1,emisor | instrumento,cartera por tipo de instrumento y sector del emisor |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
CA-0001-no2025.XLS,1,4,5,2.0,34,monto, | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | % | monto | %
CA-0001-no2025.XLS,1,21,22,2.0,31,valor,valor rep.derecho sobre acc. emp.nac. | 0 |  | 6316.679035769801 | 0.0038177122387091224 | 476184.9326450089 | 0.03648454170401849 | 255189.1447241787 | 0.05893196567276551 | 0 |  | 32789.4248792114 | 0.004224285225868626 | 977394.3340072264 | 0.034339258511110776 | 184221.83906226026 | 0.05779487297683936 | 0 |  | 0.7069115196 | 1.4465509536171205e-07 | 221353.73262454348 | 0.016206691479085232 | 121295.59261839821 | 0.03622988503788062 | 0 |  | 32621.076500872405 | 0.004869205321260468 | 742133.3470921643 | 0.033090051509410565 | 172749.3445092732 | 0.06184047932238097 | 3222250.1546104266 | 0.02701425050519974
CA-0001-no2025.XLS,1,28,29,2.0,31,fondo,fondo de inversion tradicional | 12007.301517036 | 0.04723845438044108 | 65571.1753792129 | 0.039630298980555374 | 168265.9618494846 | 0.012892273739876912 | 74476.9602295139 | 0.01719929610799694 | 0 |  | 51642.3496843028 | 0.006653121108533095 | 95487.7400040002 | 0.0033548160394951234 | 20489.124 | 0.00642793669314367 | 0 |  | 210225.02213020108 | 0.04301828415650884 | 335603.9937644623 | 0.024571667807902195 | 0 |  | 0 |  | 101497.67738675671 | 0.015150114093075899 | 279591.6202247781 | 0.012466359517582102 | 264.4495408 | 9.466713987315695e-05 | 1415123.3757105488 | 0.011863913579928283
CA-0001-no2025.XLS,1,47,48,2.0,31,fondo,fondos mutuos del extranjero | 0 |  | 534053.091618391 | 0.32277420024769465 | 3597978.545294938 | 0.27567146561488903 | 1998789.1803081662 | 0.46158928699076174 | 0 |  | 2512841.6541582323 | 0.32373120034007724 | 8299484.607266612 | 0.29158972742296013 | 1378138.0204167361 | 0.43235542669628624 | 0 |  | 1642923.864740406 | 0.3361910249539184 | 4100762.0015817676 | 0.30024243910772314 | 1771261.9667563916 | 0.5290597625376592 | 0 |  | 1688079.7352112685 | 0.25197227409655987 | 7279578.559041134 | 0.32457998340769506 | 1383690.408095521 | 0.49533084084041007 | 36187581.634489514 | 0.30338438933821865
CA-0001-no2025.XLS,1,29,30,2.0,27,fondo,fondo de inversion alternativo | 0 |  | 0 |  | 31898.27246304 | 0.002443995540765092 | 0 |  | 0 |  | 0 |  | 461876.85756727174 | 0.016227338608845232 | 107736.06203431559 | 0.033799423846777435 | 0 |  | 12.2978907304 | 2.5165137461057818e-06 | 268791.8088443746 | 0.019679929795604536 | 70935.45745496599 | 0.021187772887908483 | 0 |  | 0 |  | 252131.86561182002 | 0.01124199101542704 | 96064.5914910684 | 0.034389018381470585 | 1289447.2133575866 | 0.010810287334468286
