afp,baseline,segmento,n_publicacion,mape_cuota_5d_pct,mediana_error_abs_5d_pct,p90_error_abs_5d_pct,error_maximo_abs_5d_pct,sesgo_5d_pct,correlacion_retorno_acumulado,direccion_acumulada_pct,cobertura_direccional_acumulada_pct,mape_cero_pct,mejora_mape_vs_cero_pct,ranking_mape
Profuturo,RETORNO_CERO,entrenamiento,1777,0.8444054026320181,0.6368009292993859,1.7157380504972712,9.503696344008361,-0.12388870303709772,,,0.0,0.8444054026320181,0.0,2.0
Profuturo,RETORNO_CERO,validacion,593,0.8412410293274828,0.6271827325626367,1.7069821334111706,7.152342397381761,-0.008678362430554257,,,0.0,0.8412410293274828,0.0,1.0
Profuturo,RETORNO_CERO,prueba,593,1.0971413570388178,0.7873271196802811,2.6182230170554637,7.091164421295981,-0.20058468412262523,,,0.0,1.0971413570388178,0.0,2.0
Profuturo,PERSISTENCIA_1D,entrenamiento,1774,1.486681338664887,1.056127569128168,3.2711807903101344,11.045225974343765,-0.013064609781976776,0.11612393581832757,54.05862457722661,100.0,0.8444054026320181,-76.0625090780909,4.0
Profuturo,PERSISTENCIA_1D,validacion,593,1.4697991435468298,1.0365975642797176,3.161291429472751,10.465040538176563,0.019571423499101268,0.13818312489238457,57.84148397976391,100.0,0.8412410293274828,-74.71795743508113,4.0
Profuturo,PERSISTENCIA_1D,prueba,593,2.240134878397722,1.4766199565666938,5.330042189081075,21.559723838433275,-0.15181704696649245,0.03628495929573091,55.4806070826307,100.0,1.0971413570388178,-104.17923944129144,4.0
Profuturo,MEDIA_EXPANSIVA,entrenamiento,1717,0.8361301961987995,0.6097454851730522,1.6920774169199237,9.599097692213077,-0.030394612439730104,-0.05700537283894062,59.114735002912056,100.0,0.8444054026320181,0.9800039657994584,1.0
Profuturo,MEDIA_EXPANSIVA,validacion,593,0.8425998555006567,0.6119208272646004,1.762329517622967,7.3251585243576445,0.08739832984265472,-0.09324798480284074,53.62563237774031,100.0,0.8412410293274828,-0.16152637898085492,2.0
Profuturo,MEDIA_EXPANSIVA,prueba,593,1.0840097373838915,0.7392266837243588,2.5945232882188756,7.266157708095999,-0.10879165819297498,-5.3825712193390126e-05,59.02192242833052,100.0,1.0971413570388178,1.19689405295672,1.0
Profuturo,MEDIA_MOVIL_20,entrenamiento,1757,0.8902458014339125,0.6767656600637162,1.8699919700821255,8.283729249126527,-0.0014295799584199585,0.14257305865433198,55.890722822993745,100.0,0.8444054026320181,-5.4287192690868045,3.0
Profuturo,MEDIA_MOVIL_20,validacion,593,0.9346093232627241,0.6931847514266232,2.0326941285316225,6.07716387896613,0.0014041981610495484,0.11545732354948748,55.1433389544688,100.0,0.8412410293274828,-11.098875432868878,3.0
