afp,modelo,segmento,tipo_features,parametros,n_publicacion,mape_cuota_5d_pct,mediana_error_abs_5d_pct,p90_error_abs_5d_pct,error_maximo_abs_5d_pct,sesgo_5d_pct,correlacion_retorno_acumulado,direccion_acumulada_pct
Profuturo,ELASTIC_NET,prueba,estatico,"{""alpha"": 1e-05, ""l1_ratio"": 0.1}",593,0.9624567936991877,0.6884503697046296,2.3082021828301675,6.425252770166567,-0.017360677739330754,0.5488277874990434,69.81450252951096
Profuturo,HUBER,entrenamiento,estatico,"{""alpha"": 1e-06, ""epsilon"": 2.0}",1777,0.7075932393546873,0.5185048372967072,1.5008704103238202,7.58600500031581,0.009566205330091723,0.5864014336984339,71.41249296567248
Profuturo,HUBER,validacion,estatico,"{""alpha"": 1e-06, ""epsilon"": 2.0}",593,0.7118349702704353,0.5368238324078956,1.5547334778234054,6.666778566811238,0.11497811664933032,0.582734538552931,72.00674536256324
Profuturo,HUBER,prueba,estatico,"{""alpha"": 1e-06, ""epsilon"": 2.0}",593,0.9713068375244372,0.689983944127126,2.3326053520020777,6.41028165224411,-0.017528345125873923,0.5358762327504399,69.13996627318718
Profuturo,LAD_Q50,entrenamiento,estatico,"{""alpha"": 0.0}",1777,0.7140610296386409,0.5166151250009632,1.5029638688200198,7.780107089334409,0.04954538081616633,0.5811528619177101,71.41249296567248
Profuturo,LAD_Q50,validacion,estatico,"{""alpha"": 0.0}",593,0.7254456592833096,0.5440873036271388,1.5700687637340571,6.795202782343579,0.1554867497965799,0.5762477611461285,70.15177065767286
Profuturo,LAD_Q50,prueba,estatico,"{""alpha"": 0.0}",593,0.9784696601589735,0.6861944324813241,2.375422429707015,6.425170687172832,0.012240596045381266,0.5291257634735496,66.77908937605397
Profuturo,ARDL_OLS,entrenamiento,ardl,{},1777,0.6554774357502398,0.4939384404214042,1.3619331403278159,6.086791225648702,-0.021016777132640628,0.6620756656204283,71.41249296567248
Profuturo,ARDL_OLS,validacion,ardl,{},593,0.6369976211391634,0.46805381956986913,1.299945307629012,6.178158036194126,0.10560393473245287,0.6728001796211378,74.19898819561551
Profuturo,ARDL_OLS,prueba,ardl,{},593,0.9442288357545405,0.6941687381238237,2.0134644848834737,7.119388309138364,0.08129808492732045,0.5359463558941985,66.94772344013491
Profuturo,ARDL_RIDGE,entrenamiento,ardl,"{""alpha"": 0.001}",1777,0.6554774470313831,0.4939382409900661,1.3619335397421222,6.086792307775002,-0.02101677086218537,0.6620756594795383,71.41249296567248
Profuturo,ARDL_RIDGE,validacion,ardl,"{""alpha"": 0.001}",593,0.6369976637746535,0.4680541166366625,1.2999451027541349,6.178158544893897,0.10560389512862137,0.672800159216402,74.19898819561551
Profuturo,ARDL_RIDGE,prueba,ardl,"{""alpha"": 0.001}",593,0.9442288247462155,0.6941690465917416,2.0134647784400177,7.119387684708811,0.08129795525196785,0.5359463493205786,66.94772344013491
Habitat,RETORNO_CERO,entrenamiento,baseline,{},1777,0.8723930461119394,0.6422220067817674,1.817580383628292,9.056712445723392,-0.1256834967429576,,
Habitat,RETORNO_CERO,validacion,baseline,{},593,0.9614381446372002,0.7306619203670484,2.014448851176509,7.532098994970471,-0.0519115573541512,,
Habitat,RETORNO_CERO,prueba,baseline,{},593,1.0195940734705966,0.7227581338476785,2.3831012189354976,6.029746103300937,-0.2827617712632653,,
Habitat,MEDIA_EXPANSIVA,entrenamiento,baseline,{},1717,0.8643128321151199,0.6248230048518266,1.832555286915825,9.194346130812692,-0.018718185484885,-0.0570586317696496,58.35760046592895
Habitat,MEDIA_EXPANSIVA,validacion,baseline,{},593,0.9547604784367842,0.706727655646644,2.0512124940550858,7.646404907842963,0.0582362410011325,-0.0635872045117333,56.323777403035415
