fecha,afp,rendimiento_simple,modelo,esquema_rezago,estimado,error,error_cuadrado,error_absoluto
2025-10-06,Integra,0.0064656857377809,M0_sin_pesos,lag0,0.0002976579180998029,0.006168027819681098,3.8044567184359955e-05,0.006168027819681098
2025-10-07,Integra,-0.0037010146095373,M0_sin_pesos,lag0,-0.0021339076933554334,-0.0015671069161818665,2.4558240867450394e-06,0.0015671069161818665
2025-10-08,Integra,0.0121454010777934,M0_sin_pesos,lag0,0.0038920564820277797,0.00825334459576562,6.811769701645357e-05,0.00825334459576562
2025-10-09,Integra,-0.0073313761136136,M0_sin_pesos,lag0,-0.0018713860450161681,-0.005459990068597432,2.981149154918259e-05,0.005459990068597432
2025-10-10,Integra,-0.0193014456630574,M0_sin_pesos,lag0,-0.009249398028985618,-0.010052047634071783,0.00010104366163764813,0.010052047634071783
2025-10-13,Integra,0.01437876513306,M0_sin_pesos,lag0,0.0002976579180998029,0.014081107214960198,0.00019827758039920413,0.014081107214960198
2025-10-14,Integra,0.0020516061499529,M0_sin_pesos,lag0,-0.0017952167572421681,0.003846822907195068,1.4798046479320714e-05,0.003846822907195068
2025-10-15,Integra,0.002891526457891,M0_sin_pesos,lag0,0.002862325716386501,2.920074150449892e-05,8.526833044125659e-10,2.920074150449892e-05
2025-10-16,Integra,-0.0024735373688161,M0_sin_pesos,lag0,-0.0010626658486875527,-0.0014108715201285474,1.990558446309838e-06,0.0014108715201285474
2025-10-17,Integra,-0.0075302255512326,M0_sin_pesos,lag0,-0.0006589715283717836,-0.006871254022860817,4.721413184668096e-05,0.006871254022860817
2025-10-20,Integra,0.0060588595595092,M0_sin_pesos,lag0,0.0002976579180998029,0.0057612016414093975,3.319144435297834e-05,0.0057612016414093975
2025-10-21,Integra,-0.0141226451453349,M0_sin_pesos,lag0,-0.004305881240443288,-0.009816763904891612,9.636885356438281e-05,0.009816763904891612
2025-10-22,Integra,-0.0046001067209129,M0_sin_pesos,lag0,-0.0014534701329626174,-0.0031466365879502826,9.901321816627397e-06,0.0031466365879502826
2025-10-23,Integra,0.0044234870567936,M0_sin_pesos,lag0,0.0031055188186541014,0.0013179682381394982,1.7370402767445331e-06,0.0013179682381394982
2025-10-24,Integra,0.0023018970152604,M0_sin_pesos,lag0,0.0017062493354427727,0.0005956476798176273,3.5479615847212257e-07,0.0005956476798176273
2025-10-27,Integra,-0.0004894829479034,M0_sin_pesos,lag0,0.0002976579180998029,-0.0007871408660032029,6.195907429322723e-07,0.0007871408660032029
2025-10-28,Integra,0.0044032480796261,M0_sin_pesos,lag0,0.0013681022047513029,0.003035145874874797,9.212110481769498e-06,0.003035145874874797
2025-10-29,Integra,0.0051263635305942,M0_sin_pesos,lag0,0.0012884246774579845,0.0038379388531362153,1.4729774640412527e-05,0.0038379388531362153
2025-10-30,Integra,-0.0042512617891838,M0_sin_pesos,lag0,-0.0014964370211312933,-0.0027548247680525065,7.589059502675546e-06,0.0027548247680525065
2025-10-31,Integra,-0.0022446796930214,M0_sin_pesos,lag0,-0.0005601667592304873,-0.0016845129337909129,2.8375838241088682e-06,0.0016845129337909129
2025-11-03,Integra,-0.0024026100472623,M0_sin_pesos,lag0,0.0002976579180998029,-0.002700267965362103,7.291447084760791e-06,0.002700267965362103
2025-11-04,Integra,-0.0142253397834617,M0_sin_pesos,lag0,-0.005413711526425313,-0.008811628257036387,7.764479254020212e-05,0.008811628257036387
2025-11-05,Integra,0.0067953059516612,M0_sin_pesos,lag0,0.0030270113915180454,0.0037682945601431547,1.4200043892004492e-05,0.0037682945601431547
2025-11-06,Integra,-0.0035570033747298,M0_sin_pesos,lag0,-0.001185269318145791,-0.002371734056584009,5.62512243516044e-06,0.002371734056584009
2025-11-07,Integra,0.00101512100914,M0_sin_pesos,lag0,0.0003615377997754241,0.0006535832093645759,4.271710115632991e-07,0.0006535832093645759
2025-11-10,Integra,0.0139612435786928,M0_sin_pesos,lag0,0.0002976579180998029,0.013663585660592998,0.0001866935731043626,0.013663585660592998
2025-11-11,Integra,-0.0031177826965272,M0_sin_pesos,lag0,4.0710563696215826e-05,-0.003158493260223416,9.976079674876742e-06,0.003158493260223416
