periodo,afp,identificador_final,valor_redondeado,ocurrencias,monto_una_ocurrencia,filas_excel,estados,monto_duplicado_excedente
2025-05,Integra,JP Morgan Chase Bank N.A,3151.418956,2,3151.418956299,690 | 691,entidad_sin_isin_pendiente,3151.418956299
2025-05,Integra,Sumitomo Mitsui Banking Corporation,5191.094153,2,5191.0941527269,694 | 695,entidad_sin_isin_pendiente,5191.0941527269
2025-05,Integra,The Bank of Nova Scotia,21486.454474,2,21486.454474482,692 | 693,entidad_sin_isin_pendiente,21486.454474482
2025-06,Habitat,Royal Bank C,10058.847318,2,10058.847317853,688 | 689,entidad_sin_isin_pendiente,10058.847317853
2025-06,Integra,CITIBANK N.A.,7883.011792,2,7883.011791837001,680 | 681,entidad_sin_isin_pendiente,7883.011791837001
2025-06,Integra,JP Morgan Chase Bank N.A,32429.148,2,32429.148,682 | 683,entidad_sin_isin_pendiente,32429.148
2025-07,Habitat,The Bank of Nova Scotia,2526.111354,2,2526.111354136,645 | 646,entidad_sin_isin_pendiente,2526.111354136
2025-07,Integra,JP Morgan Chase Bank N.A,5334.459911,2,5334.459911444,643 | 644,entidad_sin_isin_pendiente,5334.459911444
2025-07,Integra,Skandinaviska Enskilda Banken AB,3427.634351,2,3427.6343509213,649 | 650,entidad_sin_isin_pendiente,3427.6343509213
2025-07,Integra,The Bank of Nova Scotia,31886.304,2,31886.304,645 | 646,entidad_sin_isin_pendiente,31886.304
2025-08,Habitat,Royal Bank C,2504.450456,2,2504.4504565,652 | 653,entidad_sin_isin_pendiente,2504.4504565
2025-08,Integra,CITIBANK N.A.,30925.883737,2,30925.8837374,640 | 641,entidad_sin_isin_pendiente,30925.8837374
2025-08,Integra,JP Morgan Chase Bank N.A,21215.3,2,21215.3,642 | 643,entidad_sin_isin_pendiente,21215.3
2025-08,Integra,Skandinaviska Enskilda Banken AB,8525.554989,2,8525.5549890888,648 | 649,entidad_sin_isin_pendiente,8525.5549890888
2025-08,Integra,The Bank of Nova Scotia,1517.9,2,1517.9,644 | 645,entidad_sin_isin_pendiente,1517.9
2025-09,Habitat,Royal Bank C,492.811,2,492.811,653 | 654,entidad_sin_isin_pendiente,492.811
2025-09,Integra,Australia and New Zealand Banking Group Ltd.,13162.163744,2,13162.16374374,651 | 652,entidad_sin_isin_pendiente,13162.16374374
2025-09,Integra,JP Morgan Chase Bank N.A,2359.94,2,2359.94,645 | 646,entidad_sin_isin_pendiente,2359.94
2025-09,Integra,The Bank of Nova Scotia,29325.725,2,29325.725,647 | 648,entidad_sin_isin_pendiente,29325.725
2025-10,Habitat,The Bank of Nova Scotia,420.313665,2,420.31366542,653 | 654,entidad_sin_isin_pendiente,420.31366542
2025-10,Integra,CITIBANK N.A.,19877.340309,2,19877.34030876,649 | 650,entidad_sin_isin_pendiente,19877.34030876
2025-10,Integra,JP Morgan Chase Bank N.A,1716.66,2,1716.66,651 | 652,entidad_sin_isin_pendiente,1716.66
2025-10,Integra,The Bank of Nova Scotia,32448.24,2,32448.24,653 | 654,entidad_sin_isin_pendiente,32448.24
2025-11,Habitat,Royal Bank C,40.186322,2,40.1863222,650 | 651,entidad_sin_isin_pendiente,40.1863222
2025-11,Integra,CITIBANK N.A.,12869.273893,2,12869.2738931,640 | 641,entidad_sin_isin_pendiente,12869.2738931
