fecha,afp,fecha_cartera,peso_rv_exterior,peso_rv_local,peso_rf_exterior,peso_rf_local,peso_alternativos,peso_liquidez_transito,peso_rv_total,peso_exterior_total,peso_mapeado_total
2023-07-06,Profuturo,2023-06-30,0.2002790061989968,0.47845016504311255,0.02719970946569494,0.0434257469424785,0.2468801409582311,0.0037652313915396227,0.6787291712421093,0.22747871566469174,1.0000000000000535
2023-07-07,Profuturo,2023-06-30,0.2002790061989968,0.47845016504311255,0.02719970946569494,0.0434257469424785,0.2468801409582311,0.0037652313915396227,0.6787291712421093,0.22747871566469174,1.0000000000000535
2023-07-10,Profuturo,2023-06-30,0.2002790061989968,0.47845016504311255,0.02719970946569494,0.0434257469424785,0.2468801409582311,0.0037652313915396227,0.6787291712421093,0.22747871566469174,1.0000000000000535
2023-07-11,Profuturo,2023-06-30,0.2002790061989968,0.47845016504311255,0.02719970946569494,0.0434257469424785,0.2468801409582311,0.0037652313915396227,0.6787291712421093,0.22747871566469174,1.0000000000000535
2023-07-12,Profuturo,2023-06-30,0.2002790061989968,0.47845016504311255,0.02719970946569494,0.0434257469424785,0.2468801409582311,0.0037652313915396227,0.6787291712421093,0.22747871566469174,1.0000000000000535
2023-07-13,Profuturo,2023-06-30,0.2002790061989968,0.47845016504311255,0.02719970946569494,0.0434257469424785,0.2468801409582311,0.0037652313915396227,0.6787291712421093,0.22747871566469174,1.0000000000000535
2023-07-14,Profuturo,2023-06-30,0.2002790061989968,0.47845016504311255,0.02719970946569494,0.0434257469424785,0.2468801409582311,0.0037652313915396227,0.6787291712421093,0.22747871566469174,1.0000000000000535
2023-07-17,Profuturo,2023-06-30,0.2002790061989968,0.47845016504311255,0.02719970946569494,0.0434257469424785,0.2468801409582311,0.0037652313915396227,0.6787291712421093,0.22747871566469174,1.0000000000000535
2023-07-18,Profuturo,2023-06-30,0.2002790061989968,0.47845016504311255,0.02719970946569494,0.0434257469424785,0.2468801409582311,0.0037652313915396227,0.6787291712421093,0.22747871566469174,1.0000000000000535
2023-07-19,Profuturo,2023-06-30,0.2002790061989968,0.47845016504311255,0.02719970946569494,0.0434257469424785,0.2468801409582311,0.0037652313915396227,0.6787291712421093,0.22747871566469174,1.0000000000000535
