escenario,periodo,fecha_cartera,afp,factor_proxy_mercado,peso_exterior,peso_total_fondo,identificadores,peso_exterior_pct,peso_total_fondo_pct
principal_5pct,2016-10,2016-10-31,Integra,LQD,2.497563997357681e-07,1.5041091082536397e-07,1,2.4975639973576812e-05,1.5041091082536396e-05
principal_5pct,2016-10,2016-10-31,Integra,MCHI,0.02125029603611403,0.012797575499494947,2,2.125029603611403,1.2797575499494946
principal_5pct,2016-10,2016-10-31,Integra,PRIVATE_ALTERNATIVES,0.0733588313446883,0.044178922547379006,15,7.335883134468831,4.4178922547379
principal_5pct,2016-10,2016-10-31,Integra,RESIDUAL_NO_MAPEADO,0.2604197607207708,0.15683271158766915,33,26.041976072077077,15.683271158766916
principal_5pct,2016-10,2016-10-31,Integra,SPY,0.27359983367162477,0.16477015294805125,14,27.359983367162478,16.477015294805124
principal_5pct,2016-10,2016-10-31,Integra,VGK,0.1365589505056928,0.0822399592108449,6,13.655895050569281,8.223995921084489
principal_5pct,2016-10,2016-10-31,Integra,XLB,0.0002391601087195,0.000144029501641,1,0.02391601087195,0.0144029501641
principal_5pct,2016-10,2016-10-31,Integra,XLE,0.0001522960463073,9.171731761200964e-05,1,0.015229604630729998,0.009171731761200964
principal_5pct,2016-10,2016-10-31,Integra,XLF,0.04987195612421708,0.030034410942911267,4,4.987195612421709,3.003441094291127
principal_5pct,2016-10,2016-10-31,Integra,XLK,0.0160701519421512,0.0096779349529308,1,1.6070151942151198,0.9677934952930799
principal_5pct,2016-10,2016-10-31,Integra,XLV,0.0001843659532211,0.000111030792318,1,0.018436595322110002,0.0111030792318
principal_5pct,2016-10,2016-10-31,Integra,XLY,0.0209532708306606,0.0126186978741864,1,2.09532708306606,1.26186978741864
principal_5pct,2016-10,2016-10-31,Prima,COPX,0.0008426166506759,0.000491436435088,1,0.08426166506759,0.049143643508799996
principal_5pct,2016-10,2016-10-31,Prima,EEM,0.046021233620716404,0.0268408071105361,2,4.60212336207164,2.68408071105361
principal_5pct,2016-10,2016-10-31,Prima,EWJ,0.0320463202193653,0.0186902660345738,1,3.20463202193653,1.86902660345738
principal_5pct,2016-10,2016-10-31,Prima,HYG,0.0103624728366039,0.0060436696870779,1,1.03624728366039,0.60436696870779
principal_5pct,2016-10,2016-10-31,Prima,LQD,0.0025471625440897,0.001485572922459,1,0.25471625440897,0.1485572922459
principal_5pct,2016-10,2016-10-31,Prima,MCHI,0.0202400021935087,0.0118045074425873,1,2.02400021935087,1.18045074425873
principal_5pct,2016-10,2016-10-31,Prima,PRIVATE_ALTERNATIVES,0.0909924269352798,0.0530692027949029,8,9.09924269352798,5.30692027949029
principal_5pct,2016-10,2016-10-31,Prima,RESIDUAL_NO_MAPEADO,0.4332856642765631,0.2527037200796079,27,43.32856642765631,25.27037200796079
principal_5pct,2016-10,2016-10-31,Prima,SPY,0.3029942484444171,0.1767143020355194,6,30.29942484444171,17.671430203551942
principal_5pct,2016-10,2016-10-31,Prima,VGK,0.06066785227877766,0.03538310455224668,3,6.066785227877766,3.538310455224668
principal_5pct,2016-10,2016-10-31,Profuturo,EEM,0.14000102007152282,0.0861810609981665,3,14.000102007152282,8.61810609981665
principal_5pct,2016-10,2016-10-31,Profuturo,EWJ,0.0827070214387151,0.0509123351811664,2,8.27070214387151,5.09123351811664
principal_5pct,2016-10,2016-10-31,Profuturo,MCHI,0.016065787938143,0.0098896897292132,1,1.6065787938143,0.98896897292132
principal_5pct,2016-10,2016-10-31,Profuturo,PRIVATE_ALTERNATIVES,0.0535775296271382,0.0329809621856221,14,5.35775296271382,3.29809621856221
principal_5pct,2016-10,2016-10-31,Profuturo,QQQ,0.0300463666689566,0.0184957777975315,1,3.00463666689566,1.84957777975315
principal_5pct,2016-10,2016-10-31,Profuturo,RESIDUAL_NO_MAPEADO,0.1712362052961282,0.10540864520973516,14,17.123620529612822,10.540864520973516
principal_5pct,2016-10,2016-10-31,Profuturo,SPY,0.2435044583705316,0.14989514054565722,9,24.35044583705316,14.989514054565722
principal_5pct,2016-10,2016-10-31,Profuturo,VGK,0.1442431191604088,0.0887923891167243,4,14.42431191604088,8.879238911672429
principal_5pct,2016-10,2016-10-31,Profuturo,XLB,6.818455208179278e-05,4.1972673049750966e-05,1,0.006818455208179278,0.004197267304975097
principal_5pct,2016-10,2016-10-31,Profuturo,XLE,0.027986011344698802,0.0172274755538259,4,2.7986011344698802,1.7227475553825902
principal_5pct,2016-10,2016-10-31,Profuturo,XLF,0.0427285634651266,0.0263026150271681,4,4.27285634651266,2.63026150271681
principal_5pct,2016-10,2016-10-31,Profuturo,XLI,0.0119781357304479,0.0073734351757057,1,1.1978135730447899,0.73734351757057
principal_5pct,2016-10,2016-10-31,Profuturo,XLK,0.0003366354289532,0.0002072241932376,1,0.03366354289532,0.02072241932376
principal_5pct,2016-10,2016-10-31,Profuturo,XLP,0.0012793199246143,0.000787516750971,1,0.12793199246143,0.0787516750971
principal_5pct,2016-10,2016-10-31,Profuturo,XLV,0.0059683797574107,0.0036739825157764,1,0.59683797574107,0.36739825157764
principal_5pct,2016-10,2016-10-31,Profuturo,XLY,0.0282732612251198,0.0174042992616364,1,2.82732612251198,1.7404299261636402
principal_5pct,2016-11,2016-11-30,Habitat,EEM,0.0536253892795348,0.0314523840255109,1,5.36253892795348,3.1452384025510898
