periodo,afp,fecha_ca,monto_ca_miles_soles,participacion_reportada_suma_pct,registros,registros_pendientes,registros_identificados,fuente,pendientes_pct_registros,fecha_fp,total_fp_miles_soles,suma_fp_pct,diferencia_miles_soles,error_relativo_pct,participacion_calculada_sobre_fp_pct,diferencia_porcentaje_interno_pp,estado_monto,estado_porcentaje_interno,elegible_emisores
2018-09,Prima,2018-09-28,7522740.837387514,100.65681499460108,79,22,57,hoja3,27.848101265822784,2018-09-28,7473652.765380099,99.99999999999999,49088.072007414885,0.6568149946008139,100.65681499460082,2.5579538487363607e-13,tolerable,correcto,True
2018-09,Profuturo,2018-09-28,6140809.335632279,100.98512706736557,92,25,67,hoja3,27.173913043478258,2018-09-28,6080904.6975163,100.0,59904.6381159788,0.9851270673662491,100.98512706736625,6.821210263296962e-13,tolerable,correcto,True
2018-10,Habitat,2018-10-31,1077600.2789800412,98.72286626603317,97,20,77,hoja3,20.618556701030926,2018-10-31,1091540.7136539,99.99999999998167,-13940.434673858806,1.2771337339487427,98.72286626605126,1.809041805245215e-11,revisar,correcto,False
2018-10,Integra,2018-10-31,7920126.4912202945,99.76660814403532,109,23,86,hoja3,21.100917431192663,2018-10-31,7938654.6646809,100.00000000000125,-18528.173460605554,0.2333918559656897,99.76660814403431,1.0089706847793423e-12,correcto,correcto,True
2018-10,Prima,2018-10-31,7106362.739467936,100.46900573862465,78,21,57,hoja3,26.923076923076923,2018-10-31,7073189.0767939,99.9999999999986,33173.66267403588,0.46900573862607203,100.46900573862607,1.4210854715202004e-12,correcto,correcto,True
2018-10,Profuturo,2018-10-31,5699581.355781441,98.22156666572783,94,25,69,hoja3,26.595744680851062,2018-10-31,5802779.9283416,100.0000000000017,-103198.57256015949,1.7784333342735097,98.22156666572648,1.3500311979441904e-12,revisar,correcto,False
2018-11,Habitat,2018-11-30,1191600.9448495505,106.4331821811179,97,21,76,hoja3,21.649484536082475,2018-11-30,1119576.545989,99.99999999999999,72024.39886055049,6.433182181118872,106.43318218111888,9.805489753489383e-13,revisar,correcto,False
2018-11,Integra,2018-11-30,8114228.643370385,99.68120645306165,110,25,85,hoja3,22.727272727272727,2018-11-30,8140179.0087594995,99.99999999999878,-25950.365389114246,0.31879354693784406,99.68120645306216,5.115907697472721e-13,correcto,correcto,True
2018-11,Prima,2018-11-30,7151840.836685109,99.73891336618303,81,22,59,hoja3,27.160493827160494,2018-11-30,7170562.2162012,100.0000000000014,-18721.379516091198,0.2610866338178062,99.73891336618219,8.384404281969182e-13,correcto,correcto,True
2018-11,Profuturo,2018-11-30,5938217.531377161,99.45400363979645,96,26,70,hoja3,27.083333333333332,2018-11-30,5970817.9802236,100.00000000000001,-32600.4488464389,0.545996360204202,99.4540036397958,6.536993168992922e-13,tolerable,correcto,True
2018-12,Habitat,2018-12-31,1086915.7832991327,101.03646794163353,96,20,76,hoja3,20.833333333333336,2018-12-31,1075765.8154946,100.00000000000928,11149.967804532731,1.0364679416222535,101.03646794162225,1.1283418643870391e-11,revisar,correcto,False
2018-12,Integra,2018-12-31,7720914.820800182,99.11977431633942,107,22,85,hoja3,20.5607476635514,2018-12-31,7789479.8228243,100.00000000000128,-68565.00202411786,0.8802256836613467,99.11977431633865,7.673861546209082e-13,tolerable,correcto,True
2018-12,Prima,2018-12-31,6812149.096576501,99.37101406040368,81,21,60,hoja3,25.925925925925924,2018-12-31,6855267.7669522995,99.99999999999999,-43118.67037579883,0.6289859395961777,99.37101406040382,1.4210854715202004e-13,tolerable,correcto,True
2018-12,Profuturo,2018-12-31,5648148.747740482,98.32259735331137,95,25,70,hoja3,26.31578947368421,2018-12-31,5744507.264636801,100.00000000000175,-96358.51689631864,1.6774026466900283,98.32259735330997,1.3926637620897964e-12,revisar,correcto,False
2019-01,Habitat,2019-01-31,1114002.5690992102,100.9260276829564,97,21,76,hoja3,21.649484536082475,2019-01-31,1103781.2491726,100.0,10221.319926610216,0.9260276829554923,100.92602768295549,9.094947017729282e-13,tolerable,correcto,True
2019-01,Integra,2019-01-31,7979001.262611948,99.47697401395295,108,23,85,hoja3,21.296296296296298,2019-01-31,8020952.9307686,100.00000000000124,-41951.66815665178,0.5230259860486652,99.47697401395133,1.6200374375330284e-12,tolerable,correcto,True
2019-01,Prima,2019-01-31,6912516.690792014,97.77337522588381,81,22,59,hoja3,27.160493827160494,2019-01-31,7069937.6745684,99.9999999999986,-157420.9837763859,2.226624774114377,97.77337522588563,1.8189894035458565e-12,revisar,correcto,False
2019-01,Profuturo,2019-01-31,6068697.67297463,102.19694137290438,100,26,74,hoja3,26.0,2019-01-31,5938238.0641223,99.99999999999832,130459.6088523306,2.1969413729055867,102.19694137290558,1.2079226507921703e-12,revisar,correcto,False
2019-02,Habitat,2019-02-28,1097878.392072217,98.82777683214759,97,19,78,hoja3,19.587628865979383,2019-02-28,1110900.6265888999,99.99999999999999,-13022.234516682802,1.1722231678515211,98.82777683214849,8.952838470577262e-13,revisar,correcto,False
2019-02,Integra,2019-02-28,7947324.852941863,98.77544557025823,107,21,86,hoja3,19.626168224299064,2019-02-28,8045850.673778,100.0,-98525.82083613705,1.2245544297415276,98.77544557025847,2.4158453015843406e-13,revisar,correcto,False
2019-02,Prima,2019-02-28,7107647.384816761,100.23472193388808,80,20,60,hoja3,25.0,2019-02-28,7091003.2448684,100.0000000000014,16644.139948361553,0.234721933887233,100.23472193388723,8.526512829121202e-13,correcto,correcto,True
2019-02,Profuturo,2019-02-28,5921842.785803566,99.05611127654778,101,25,76,hoja3,24.752475247524753,2019-02-28,5978271.0117408,100.0,-56428.22593723424,0.9438887234522181,99.05611127654778,0.0,tolerable,correcto,True
2019-03,Habitat,2019-03-29,1123781.0542910604,100.80387358634744,100,19,81,hoja3,19.0,2019-03-31,1114819.3162721,100.00000000000895,8961.73801896046,0.8038735863429477,100.80387358634295,4.490630090003833e-12,tolerable,correcto,True
2019-03,Integra,2019-03-29,8125487.328144312,100.1468219389624,110,21,89,hoja3,19.090909090909093,2019-03-31,8113574.8202741,100.00000000000122,11912.507870212197,0.14682193896142268,100.14682193896142,9.805489753489383e-13,correcto,correcto,True
2019-03,Prima,2019-03-29,7088678.937349629,99.99999999999997,80,19,61,hoja3,23.75,2019-03-31,7088678.9373498,100.00000000000283,-1.7136335372924805e-07,2.4174229816834474e-12,99.99999999999758,2.3874235921539366e-12,correcto,correcto,True
2019-03,Profuturo,2019-03-29,6048758.520012222,100.22611780704715,100,23,77,hoja3,23.0,2019-03-31,6035112.056976,99.99999999999667,13646.463036222383,0.22611780704963722,100.22611780704965,2.5011104298755527e-12,correcto,correcto,True
2019-04,Habitat,2019-04-30,1169720.6367622244,100.77386468443123,98,17,81,hoja3,17.346938775510203,2019-04-30,1160738.0945698,100.00000000001724,8982.542192424415,0.7738646844147543,100.77386468441476,1.6470380614919122e-11,tolerable,correcto,True
