escenario,periodo,afp,grupo_cobertura,peso_exterior,peso_total_fondo
ampliado_15pct,2015-08,Profuturo,privados_alternativos,0.0303825147669316,0.0194846840296682
ampliado_15pct,2015-08,Profuturo,residual_no_mapeado,0.1304606622736129,0.08366604286059018
ampliado_15pct,2015-09,Habitat,mapeo_alta_confianza,0.5744536600188805,0.3769589774616946
ampliado_15pct,2015-09,Habitat,mapeo_baja_confianza,0.0107849190126969,0.0070771105242846
ampliado_15pct,2015-09,Habitat,mapeo_confianza_media,0.2329813847827702,0.1528833928439694
ampliado_15pct,2015-09,Habitat,residual_no_mapeado,0.18178003618565058,0.11928484633771941
ampliado_15pct,2015-09,Integra,mapeo_alta_confianza,0.5976254992016674,0.37455345994806694
ampliado_15pct,2015-09,Integra,mapeo_baja_confianza,0.01801644110451138,0.011291553591102952
ampliado_15pct,2015-09,Integra,mapeo_confianza_media,0.18519358365631017,0.116067499816044
ampliado_15pct,2015-09,Integra,privados_alternativos,0.0549454817848676,0.0344363156165981
ampliado_15pct,2015-09,Integra,residual_no_mapeado,0.14421899425264087,0.09038724646072836
ampliado_15pct,2015-09,Prima,mapeo_alta_confianza,0.350951707903508,0.22600342804401866
ampliado_15pct,2015-09,Prima,mapeo_confianza_media,0.2255277459050643,0.14523378158797523
ampliado_15pct,2015-09,Prima,privados_alternativos,0.0705199688830054,0.0454129566951664
ampliado_15pct,2015-09,Prima,residual_no_mapeado,0.35300057730841966,0.2273228446437861
ampliado_15pct,2015-09,Profuturo,mapeo_alta_confianza,0.4769394289751543,0.2993686826716206
ampliado_15pct,2015-09,Profuturo,mapeo_baja_confianza,0.0131570835247915,0.0082585303779162
ampliado_15pct,2015-09,Profuturo,mapeo_confianza_media,0.3478344827559166,0.2183311853963491
ampliado_15pct,2015-09,Profuturo,privados_alternativos,0.0380283475203414,0.0238698996344379
ampliado_15pct,2015-09,Profuturo,residual_no_mapeado,0.12404065722379407,0.07785870887337262
ampliado_15pct,2015-10,Habitat,mapeo_alta_confianza,0.5713095223821423,0.37143098716838774
ampliado_15pct,2015-10,Habitat,mapeo_baja_confianza,0.0100200546925855,0.0065144351006613
ampliado_15pct,2015-10,Habitat,mapeo_confianza_media,0.2200917159210666,0.1430903566446509
