id_cluster,fuente,periodo,archivo,fingerprint_vector,numero_filas,filas_excel,fila_conservada,monto_vector_total,prioridades
hoja3_000148,hoja3,2015-06,CA-0001-jn2015.XLS,0.0|12002.622866|0.0|9202.016054,2,512 | 513,512,21204.6389197269,10.14 | 10.04
hoja3_000149,hoja3,2015-06,CA-0001-jn2015.XLS,0.0|28509.678775|0.0|0.0,2,532 | 533,532,28509.6787753799,10.10 | 10.04
hoja3_000150,hoja3,2015-06,CA-0001-jn2015.XLS,0.0|0.0|17398.00894|0.0,2,536 | 537,536,17398.0089404607,10.09 | 10.04
hoja3_000151,hoja3,2015-07,CA-0001-jl2015.XLS,393.46212|0.0|0.0|0.0,2,81 | 83,83,393.462119505,10.07 | 10.15
hoja3_000152,hoja3,2015-07,CA-0001-jl2015.XLS,669.709621|14033.080767|5743.294885|0.0,2,111 | 113,111,20446.0852728,10.12 | 10.03
hoja3_000153,hoja3,2015-07,CA-0001-jl2015.XLS,0.0|3962.031041|9604.924117|4322.217132,2,239 | 240,239,17889.1722905624,10.15 | 10.05
hoja3_000154,hoja3,2015-07,CA-0001-jl2015.XLS,0.0|0.0|60165.239514|0.0,2,350 | 351,350,60165.2395135,10.15 | 10.03
hoja3_000155,hoja3,2015-07,CA-0001-jl2015.XLS,0.0|23.001671|0.0|0.0,2,377 | 378,377,23.001671088,10.15 | 10.03
hoja3_000156,hoja3,2015-07,CA-0001-jl2015.XLS,0.0|0.0|44956.67|0.0,2,381 | 382,381,44956.67,10.05 | 10.03
hoja3_000157,hoja3,2015-07,CA-0001-jl2015.XLS,0.0|0.0|0.0|15905.339955,2,432 | 433,432,15905.3399545281,10.12 | 10.04
hoja3_000158,hoja3,2015-07,CA-0001-jl2015.XLS,0.0|0.0|0.0|8655.066243,2,436 | 437,436,8655.0662433698,10.07 | 10.04
hoja3_000159,hoja3,2015-07,CA-0001-jl2015.XLS,0.0|6503.443234|0.0|6503.443234,2,438 | 439,438,13006.8864674756,10.12 | 10.04
