afp,modelo,esquema_rezago,variable,coef_estandarizado,coef_original,coef_abs_estandarizado
Habitat,M2_hibrido,lag0_1_2,credito_ig_x_rf_ext_lag1,-4.5107191949725056e-05,-0.7346205723306835,4.5107191949725056e-05
Habitat,M2_hibrido,lag0_1_2,credito_ig_lag1,-4.281032160455751e-05,-0.008162950053908472,4.281032160455751e-05
Habitat,M2_hibrido,lag0_1_2,global_x_rv_ext_lag2,-4.2573749342142434e-05,-0.00876232730549757,4.2573749342142434e-05
Habitat,M2_hibrido,lag0_1_2,tesoro_x_rf_ext_lag2,-4.1915480042375704e-05,-0.35007401729432647,4.1915480042375704e-05
Habitat,M2_hibrido,lag0_1_2,emergentes_lag2,-4.020334385991173e-05,-0.0032155956198445627,4.020334385991173e-05
Habitat,M2_hibrido,lag0_1_2,tesoro_usa_lag2,3.7770309103232904e-05,0.004091678191557302,3.7770309103232904e-05
Habitat,M2_hibrido,lag0_1_2,tecnologia_lag2,3.708627972687334e-05,0.002614331415918096,3.708627972687334e-05
Habitat,M2_hibrido,lag0_1_2,vix_x_rv_total_lag2,-3.6945753628247026e-05,-0.0005565106114710881,3.6945753628247026e-05
Habitat,M2_hibrido,lag0_1_2,vix_lag2,-3.6845199046903414e-05,-0.00045113839001367935,3.6845199046903414e-05
Habitat,M2_hibrido,lag0_1_2,tesoro_x_rf_ext_lag1,-3.363092420262398e-05,-0.28088221175162464,3.363092420262398e-05
Habitat,M2_hibrido,lag0_1_2,cobre_lag1,-3.055888214494945e-05,-0.0014103060116692618,3.055888214494945e-05
Habitat,M2_hibrido,lag0_1_2,fx_x_exterior_lag1,-2.7145801129221134e-05,-0.004216769585262156,2.7145801129221134e-05
Habitat,M2_hibrido,lag0_1_2,fx_x_exterior_lag2,-2.6739682778997938e-05,-0.004153684045841675,2.6739682778997938e-05
Habitat,M2_hibrido,lag0_1_2,tecnologia_x_rv_ext_lag2,-1.9658471270581628e-05,-0.003048669311606317,1.9658471270581628e-05
Habitat,M2_hibrido,lag0_1_2,fx_usdpen_lag1,-1.7677955308492272e-05,-0.0013863420456301438,1.7677955308492272e-05
Habitat,M2_hibrido,lag0_1_2,cobre_x_rv_total_lag2,-1.7264564635662545e-05,-0.0010088889256831346,1.7264564635662545e-05
Habitat,M2_hibrido,lag0_1_2,global_lag2,1.366731388846322e-05,0.0013199226968757,1.366731388846322e-05
Habitat,M2_hibrido,lag0_1_2,credito_hy_x_rf_ext_lag2,-1.2053553775428152e-05,-0.25737069266345464,1.2053553775428152e-05
Habitat,M2_hibrido,lag0_1_2,cobre_x_rv_total_lag1,-1.155390397108273e-05,-0.0006751751932830841,1.155390397108273e-05
Habitat,M2_hibrido,lag0_1_2,credito_ig_x_rf_ext_lag2,9.425513377535595e-06,0.15350492310922756,9.425513377535595e-06
Habitat,M2_hibrido,lag0_1_2,fx_usdpen_lag0,-9.15847391633215e-06,-0.0007182264424684944,9.15847391633215e-06
Habitat,M2_hibrido,lag0_1_2,credito_hy_x_rf_ext_lag1,7.922342223511719e-06,0.16915996257790109,7.922342223511719e-06
Habitat,M2_hibrido,lag0_1_2,fx_x_exterior_lag0,7.559811335766611e-06,0.0011743244822299184,7.559811335766611e-06
Habitat,M2_hibrido,lag0_1_2,credito_hy_lag0,7.453419575981404e-06,0.0014258328602899772,7.453419575981404e-06
Habitat,M2_hibrido,lag0_1_2,cobre_lag2,6.630446327067442e-06,0.0003059980489717962,6.630446327067442e-06
Habitat,M2_hibrido,lag0_1_2,credito_ig_lag2,4.691696926822683e-06,0.0008945993920693248,4.691696926822683e-06
Habitat,M2_hibrido,lag0_1_2,credito_ig_lag0,-1.214296585802675e-07,-2.3152784530555498e-05,1.214296585802675e-07
Integra,M0_sin_pesos,lag0,peru_lag0,0.000962185777565065,0.06909756604937642,0.000962185777565065
Integra,M0_sin_pesos,lag0,global_lag0,0.0006554686852812855,0.06330082050195955,0.0006554686852812855
Integra,M0_sin_pesos,lag0,emergentes_lag0,0.000576122516224094,0.046079430692709596,0.000576122516224094
Integra,M0_sin_pesos,lag0,vix_lag0,-0.0004646311328539032,-0.0056890284585275515,0.0004646311328539032
Integra,M0_sin_pesos,lag0,cobre_lag0,0.00035601014166165666,0.01643002531268003,0.00035601014166165666
Integra,M0_sin_pesos,lag0,tecnologia_lag0,0.0002920266376685744,0.02058421165075665,0.0002920266376685744
Integra,M0_sin_pesos,lag0,tesoro_usa_lag0,-0.0002466698023654615,-0.026720137518767853,0.0002466698023654615
Integra,M0_sin_pesos,lag0,credito_ig_lag0,0.0001385719356043442,0.02642127306080354,0.0001385719356043442
Integra,M0_sin_pesos,lag0,credito_hy_lag0,0.00012625497130935208,0.024152469216673498,0.00012625497130935208
Integra,M0_sin_pesos,lag0,fx_usdpen_lag0,4.870519572266154e-06,0.00038195620551189507,4.870519572266154e-06
Integra,M1_pesos_reales,lag0,peru_x_rv_local_lag0,0.0017313411052705097,0.3542007174125522,0.0017313411052705097
Integra,M1_pesos_reales,lag0,global_x_rv_ext_lag0,0.001594984074146226,0.36956166598676166,0.001594984074146226
Integra,M1_pesos_reales,lag0,vix_x_rv_total_lag0,-0.0003277379906895856,-0.005297553278036459,0.0003277379906895856
Integra,M1_pesos_reales,lag0,emergentes_x_rv_ext_lag0,0.0002549294957533734,0.04576918902613464,0.0002549294957533734
Integra,M1_pesos_reales,lag0,credito_ig_x_rf_ext_lag0,-0.00019541347078916147,-4.132959995134951,0.00019541347078916147
Integra,M1_pesos_reales,lag0,tesoro_x_rf_ext_lag0,-0.0001486122669088955,-1.414683186318219,0.0001486122669088955
Integra,M1_pesos_reales,lag0,tecnologia_x_rv_ext_lag0,0.00010419043197305168,0.018493658882925857,0.00010419043197305168
Integra,M1_pesos_reales,lag0,cobre_x_rv_total_lag0,-7.177950516830346e-05,-0.004546211078705002,7.177950516830346e-05
Integra,M1_pesos_reales,lag0,fx_x_exterior_lag0,5.729363265234683e-05,0.009751358147606456,5.729363265234683e-05
Integra,M1_pesos_reales,lag0,credito_hy_x_rf_ext_lag0,5.0769722630278906e-05,1.1506196089528238,5.0769722630278906e-05
Integra,M2_hibrido,lag0,peru_x_rv_local_lag0,0.0007419849595169092,0.15179654902789955,0.0007419849595169092
Integra,M2_hibrido,lag0,global_x_rv_ext_lag0,0.0005440477899859404,0.12605718822066878,0.0005440477899859404
Integra,M2_hibrido,lag0,peru_lag0,0.0005264593683146412,0.03780669162091623,0.0005264593683146412
Integra,M2_hibrido,lag0,global_lag0,0.0003716326179152761,0.03588981467395796,0.0003716326179152761
Integra,M2_hibrido,lag0,emergentes_lag0,0.0002711559428934602,0.021687594436276922,0.0002711559428934602
Integra,M2_hibrido,lag0,tecnologia_x_rv_ext_lag0,0.0002535435153530968,0.04500362649548107,0.0002535435153530968
Integra,M2_hibrido,lag0,emergentes_x_rv_ext_lag0,0.00024559954706623914,0.04409412124394791,0.00024559954706623914
Integra,M2_hibrido,lag0,vix_x_rv_total_lag0,-0.00021987576681924088,-0.0035540694773383294,0.00021987576681924088
Integra,M2_hibrido,lag0,vix_lag0,-0.00018165091556662875,-0.0022241669899056896,0.00018165091556662875
Integra,M2_hibrido,lag0,credito_ig_lag0,0.00017903892716358887,0.0341370448675049,0.00017903892716358887
Integra,M2_hibrido,lag0,tesoro_x_rf_ext_lag0,-0.0001641658769203975,-1.5627425021976509,0.0001641658769203975
Integra,M2_hibrido,lag0,credito_ig_x_rf_ext_lag0,-0.0001639096575791748,-3.466659974131994,0.0001639096575791748
Integra,M2_hibrido,lag0,cobre_lag0,0.00013919960315213095,0.006424123179833696,0.00013919960315213095
Integra,M2_hibrido,lag0,tecnologia_lag0,8.895549977060654e-05,0.006270245924808818,8.895549977060654e-05
Integra,M2_hibrido,lag0,tesoro_usa_lag0,-8.284798510302917e-05,-0.008974384111379706,8.284798510302917e-05
Integra,M2_hibrido,lag0,cobre_x_rv_total_lag0,8.175721245018174e-05,0.005178156970204141,8.175721245018174e-05
Integra,M2_hibrido,lag0,credito_hy_x_rf_ext_lag0,6.571913668184054e-05,1.4894256543461666,6.571913668184054e-05
Integra,M2_hibrido,lag0,fx_x_exterior_lag0,4.524182910560103e-05,0.007700144997586405,4.524182910560103e-05
Integra,M2_hibrido,lag0,fx_usdpen_lag0,-1.8703544509116656e-05,-0.0014667705948671734,1.8703544509116656e-05
Integra,M2_hibrido,lag0,credito_hy_lag0,1.368013183749027e-05,0.002616997648951542,1.368013183749027e-05
Prima,M0_sin_pesos,lag0,peru_lag0,0.0009634804607893015,0.06919054129561847,0.0009634804607893015
Prima,M0_sin_pesos,lag0,global_lag0,0.0006718394643943702,0.06488180182629222,0.0006718394643943702
Prima,M0_sin_pesos,lag0,emergentes_lag0,0.0006227375818691781,0.04980779684077603,0.0006227375818691781
Prima,M0_sin_pesos,lag0,vix_lag0,-0.0004163319595135302,-0.005097644557993412,0.0004163319595135302
Prima,M0_sin_pesos,lag0,cobre_lag0,0.0003074133118279533,0.014187260147179281,0.0003074133118279533
Prima,M0_sin_pesos,lag0,tesoro_usa_lag0,-0.0002930961394077112,-0.03174920106187496,0.0002930961394077112
Prima,M0_sin_pesos,lag0,tecnologia_lag0,0.00023199557988184852,0.016352775748312797,0.00023199557988184852
Prima,M0_sin_pesos,lag0,credito_hy_lag0,0.00015004693399386451,0.028703851553405026,0.00015004693399386451
Prima,M0_sin_pesos,lag0,credito_ig_lag0,0.0001421623781121944,0.027105856569688672,0.0001421623781121944
Prima,M0_sin_pesos,lag0,fx_usdpen_lag0,-8.992361306293043e-06,-0.000705199548463284,8.992361306293043e-06
Prima,M1_pesos_reales,lag0,global_x_rv_ext_lag0,0.0025320025184791283,0.5561811473739267,0.0025320025184791283
Prima,M1_pesos_reales,lag0,peru_x_rv_local_lag0,0.0017415643973023216,0.35677724238767156,0.0017415643973023216
Prima,M1_pesos_reales,lag0,tecnologia_x_rv_ext_lag0,-0.0004589809622917406,-0.07691490786129904,0.0004589809622917406
Prima,M1_pesos_reales,lag0,cobre_x_rv_total_lag0,-0.0002912782553056694,-0.017895514264048677,0.0002912782553056694
Prima,M1_pesos_reales,lag0,credito_ig_x_rf_ext_lag0,-0.00021939404907160527,-9.487303898952101,0.00021939404907160527
Prima,M1_pesos_reales,lag0,vix_x_rv_total_lag0,-0.0001584248889482352,-0.0025125615132912124,0.0001584248889482352
Prima,M1_pesos_reales,lag0,credito_hy_x_rf_ext_lag0,0.00011942252452091758,4.993994305913157,0.00011942252452091758
Prima,M1_pesos_reales,lag0,emergentes_x_rv_ext_lag0,0.0001173240276726144,0.020070699694633494,0.0001173240276726144
Prima,M1_pesos_reales,lag0,fx_x_exterior_lag0,5.246009780440989e-05,0.008662824800796765,5.246009780440989e-05
Prima,M1_pesos_reales,lag0,tesoro_x_rf_ext_lag0,4.6308861821209176e-05,0.8579251473520777,4.6308861821209176e-05
Prima,M2_hibrido,lag0,peru_x_rv_local_lag0,0.0006966250437767382,0.14271075045048195,0.0006966250437767382
Prima,M2_hibrido,lag0,global_x_rv_ext_lag0,0.0005733832563783614,0.12594969992726102,0.0005733832563783614
Prima,M2_hibrido,lag0,peru_lag0,0.0005430554569956267,0.038998508586552225,0.0005430554569956267
Prima,M2_hibrido,lag0,global_lag0,0.00038313654182037444,0.037000787384839376,0.00038313654182037444
Prima,M2_hibrido,lag0,emergentes_lag0,0.00030380777523086075,0.02429915326762103,0.00030380777523086075
Prima,M2_hibrido,lag0,emergentes_x_rv_ext_lag0,0.0002757516841172765,0.04717302458837386,0.0002757516841172765
Prima,M2_hibrido,lag0,tecnologia_x_rv_ext_lag0,0.00021363220374013254,0.03579996256235624,0.00021363220374013254
Prima,M2_hibrido,lag0,tesoro_usa_lag0,-0.00019604509614776724,-0.02123629191216264,0.00019604509614776724
Prima,M2_hibrido,lag0,vix_x_rv_total_lag0,-0.00017720657135786595,-0.0028104322120847338,0.00017720657135786595
Prima,M2_hibrido,lag0,vix_lag0,-0.0001562868390919375,-0.0019136046046378907,0.0001562868390919375
Prima,M2_hibrido,lag0,credito_ig_lag0,0.0001509677836779651,0.028784768131757187,0.0001509677836779651
Prima,M2_hibrido,lag0,credito_hy_x_rf_ext_lag0,0.00011833533961568824,4.948530560711228,0.00011833533961568824
Prima,M2_hibrido,lag0,cobre_lag0,8.727353873422054e-05,0.004027712367512143,8.727353873422054e-05
