afp,familia,modelo,parametros,val_mae,val_rmse,val_r2,val_mape_5d_pct,val_p90_5d_pct,estado,seleccionado_familia
Prima,EW_RIDGE,EW_RIDGE_HL250_A10,"{""alpha"": 10.0, ""half_life"": 250}",0.0031109255755656954,0.004283976758862951,0.2284242573767159,0.6297912358996185,1.3491121812255682,CORRECTO,False
Prima,EW_RIDGE,EW_RIDGE_HL500_A0.001,"{""alpha"": 0.001, ""half_life"": 500}",0.0031258099070000326,0.004300585417866216,0.2224299767284147,0.631994923110548,1.33729641358537,CORRECTO,False
Prima,EW_RIDGE,EW_RIDGE_HL500_A0.1,"{""alpha"": 0.1, ""half_life"": 500}",0.003125784425750865,0.0043005942303573,0.22242679002927845,0.6320019029149588,1.3372754587296702,CORRECTO,False
Prima,EW_RIDGE,EW_RIDGE_HL500_A10,"{""alpha"": 10.0, ""half_life"": 500}",0.003123377180722548,0.004301721010257006,0.22201927953410938,0.6326709262715337,1.3361479741461495,CORRECTO,False
Profuturo,ARIMAX,ARIMAX_000,"{""order"": [0, 0, 0]}",0.0034067997495436193,0.0047351486495173225,0.1738127013600106,0.6958552926142011,1.5254091178022753,CORRECTO,True
Profuturo,ARIMAX,ARIMAX_100,"{""order"": [1, 0, 0]}",0.003393480239183552,0.004713036613671377,0.18151088753109212,0.7033303964079016,1.538633745754945,CORRECTO,False
Profuturo,ARIMAX,ARIMAX_200,"{""order"": [2, 0, 0]}",0.0033883912244922184,0.004713499162548469,0.18135022262273226,0.707922350772732,1.5548090334876703,CORRECTO,False
Profuturo,ARIMAX,ARIMAX_101,"{""order"": [1, 0, 1]}",0.0034094853165413906,0.004709897561363274,0.18260081096330172,0.6985439649725281,1.5496145443260148,CORRECTO,False
Profuturo,ROLLING_RIDGE,ROLLING_RIDGE_W120_A0.001,"{""alpha"": 0.001, ""ventana"": 120}",0.0033908459421810896,0.004649679736526295,0.20336871072449592,0.6850290412822165,1.4834051009836102,CORRECTO,False
Profuturo,ROLLING_RIDGE,ROLLING_RIDGE_W120_A0.1,"{""alpha"": 0.1, ""ventana"": 120}",0.0033905400351134807,0.004649244074319334,0.20351798805364607,0.6850482860966458,1.482395571890467,CORRECTO,False
Profuturo,ROLLING_RIDGE,ROLLING_RIDGE_W120_A10,"{""alpha"": 10.0, ""ventana"": 120}",0.0033721425398390925,0.004627982842021232,0.21078603780466798,0.6880122498249199,1.4569375352418248,CORRECTO,False
Profuturo,ROLLING_RIDGE,ROLLING_RIDGE_W250_A0.001,"{""alpha"": 0.001, ""ventana"": 250}",0.0034253936100131664,0.004690233194798011,0.18941203453148858,0.6755484834268872,1.485320595501426,CORRECTO,False
Profuturo,ROLLING_RIDGE,ROLLING_RIDGE_W250_A0.1,"{""alpha"": 0.1, ""ventana"": 250}",0.0034252530861451596,0.004690014983324411,0.18948745742517026,0.6755477749743166,1.4849495749779638,CORRECTO,False
Profuturo,ROLLING_RIDGE,ROLLING_RIDGE_W250_A10,"{""alpha"": 10.0, ""ventana"": 250}",0.0034129679578022852,0.004673808139953877,0.19507940274475377,0.6759995392970715,1.4687568476108148,CORRECTO,False
Profuturo,ROLLING_RIDGE,ROLLING_RIDGE_W500_A0.001,"{""alpha"": 0.001, ""ventana"": 500}",0.003525070420911114,0.0047711060079533235,0.16121740174074783,0.6838907998325552,1.5054257707702803,CORRECTO,False
Profuturo,ROLLING_RIDGE,ROLLING_RIDGE_W500_A0.1,"{""alpha"": 0.1, ""ventana"": 500}",0.0035249724851421377,0.004771029817601358,0.16124419076241592,0.6838993345366505,1.505296080247828,CORRECTO,False
Profuturo,ROLLING_RIDGE,ROLLING_RIDGE_W500_A10,"{""alpha"": 10.0, ""ventana"": 500}",0.0035156008236528554,0.004764051061388378,0.16369615249675562,0.6848215503600087,1.4931409171011234,CORRECTO,False
Profuturo,ROLLING_RIDGE,ROLLING_RIDGE_W1000_A0.001,"{""alpha"": 0.001, ""ventana"": 1000}",0.0035403058195599534,0.0047829772574977045,0.15703816728515818,0.6649939230662636,1.414925603649835,CORRECTO,True
Profuturo,ROLLING_RIDGE,ROLLING_RIDGE_W1000_A0.1,"{""alpha"": 0.1, ""ventana"": 1000}",0.0035402561541154095,0.004782940205251542,0.1570512275640059,0.6649985605705271,1.4149142162155575,CORRECTO,False
Profuturo,ROLLING_RIDGE,ROLLING_RIDGE_W1000_A10,"{""alpha"": 10.0, ""ventana"": 1000}",0.003535380302672114,0.004779338845626237,0.15832016200283738,0.6654605313957882,1.416487883166995,CORRECTO,False
Profuturo,EW_RIDGE,EW_RIDGE_HL60_A0.001,"{""alpha"": 0.001, ""half_life"": 60}",0.00337621520283421,0.004627744045549532,0.21086748004586298,0.6742602277956282,1.45134306109033,CORRECTO,False
Profuturo,EW_RIDGE,EW_RIDGE_HL60_A0.1,"{""alpha"": 0.1, ""half_life"": 60}",0.0033758715544560808,0.004627363877299848,0.21099712887835176,0.6742836154766442,1.4503022006324617,CORRECTO,False
Profuturo,EW_RIDGE,EW_RIDGE_HL60_A10,"{""alpha"": 10.0, ""half_life"": 60}",0.003355813837167386,0.0046120066496815795,0.21622550093389648,0.6791635518980682,1.4251205614221578,CORRECTO,False
Profuturo,EW_RIDGE,EW_RIDGE_HL120_A0.001,"{""alpha"": 0.001, ""half_life"": 120}",0.003421057500580777,0.0046681525473361435,0.19702623007248088,0.6684230371577581,1.4716884330600617,CORRECTO,False
Profuturo,EW_RIDGE,EW_RIDGE_HL120_A0.1,"{""alpha"": 0.1, ""half_life"": 120}",0.003420882496253619,0.004668002791478263,0.1970777485675267,0.6684427244760256,1.4716951353017833,CORRECTO,False
Profuturo,EW_RIDGE,EW_RIDGE_HL120_A10,"{""alpha"": 10.0, ""half_life"": 120}",0.003405049985668655,0.004656850966724672,0.2009095169104962,0.670763867015854,1.453476152481872,CORRECTO,False
Profuturo,EW_RIDGE,EW_RIDGE_HL250_A0.001,"{""alpha"": 0.001, ""half_life"": 250}",0.0034608249182424933,0.004708879197383054,0.18295424535960791,0.6678747339984191,1.4217648560819296,CORRECTO,True
Profuturo,EW_RIDGE,EW_RIDGE_HL250_A0.1,"{""alpha"": 0.1, ""half_life"": 250}",0.003460740227961587,0.004708819035628808,0.18297512276581474,0.6678877850043086,1.4219070445443671,CORRECTO,False
Profuturo,EW_RIDGE,EW_RIDGE_HL250_A10,"{""alpha"": 10.0, ""half_life"": 250}",0.0034525567097059597,0.004703321172052432,0.18488187220198993,0.6692541761794821,1.4278341592518868,CORRECTO,False
Profuturo,EW_RIDGE,EW_RIDGE_HL500_A0.001,"{""alpha"": 0.001, ""half_life"": 500}",0.0034583460055317176,0.004722403902917255,0.17825411526282575,0.6740893174740539,1.4373867051953315,CORRECTO,False
Profuturo,EW_RIDGE,EW_RIDGE_HL500_A0.1,"{""alpha"": 0.1, ""half_life"": 500}",0.0034583022368440395,0.0047223810065808525,0.17826208363020357,0.6740969410625876,1.4373495638616074,CORRECTO,False
Profuturo,EW_RIDGE,EW_RIDGE_HL500_A10,"{""alpha"": 10.0, ""half_life"": 500}",0.003453971926426432,0.00472017887001238,0.17902828914904845,0.6748559575535247,1.4366085977940117,CORRECTO,False
