escenario,afp,periodo_anterior,periodo_actual,salto_meses,turnover_mensual,solapamiento_pesos,identificadores_nuevos,identificadores_salientes,comparacion_consecutiva
ampliado_15pct,Integra,2016-12,2017-01,1,0.06692910355212148,0.9330708964478747,2,1,True
ampliado_15pct,Integra,2017-01,2017-02,1,0.09614389437238138,0.9038561056276148,0,0,True
ampliado_15pct,Integra,2017-02,2017-03,1,0.03111470613786143,0.9688852938621348,0,1,True
ampliado_15pct,Integra,2017-03,2017-04,1,0.019981587360004837,0.9800184126399915,0,0,True
ampliado_15pct,Integra,2017-04,2017-05,1,0.040747176902074,0.9592528230979224,1,0,True
ampliado_15pct,Integra,2017-05,2017-06,1,0.038433113117972394,0.9615668868820237,2,1,True
ampliado_15pct,Integra,2017-06,2017-07,1,0.01810310459067502,0.9818968954093211,1,0,True
ampliado_15pct,Integra,2017-07,2017-08,1,0.04057841085691801,0.9594215891430781,0,0,True
ampliado_15pct,Integra,2017-08,2017-09,1,0.11986163187104544,0.8801383681289505,1,0,True
ampliado_15pct,Integra,2017-09,2017-10,1,0.03403454175871836,0.9659654582412777,1,1,True
ampliado_15pct,Integra,2017-10,2017-11,1,0.05029193060661394,0.9497080693933821,3,0,True
ampliado_15pct,Integra,2017-11,2017-12,1,0.05100086831657211,0.9489991316834239,1,0,True
ampliado_15pct,Integra,2017-12,2018-01,1,0.07286667987713397,0.927133320122862,3,1,True
ampliado_15pct,Integra,2018-01,2018-02,1,0.04232198229861652,0.9576780177013795,0,0,True
ampliado_15pct,Integra,2018-02,2018-03,1,0.0963301623806226,0.9036698376193735,0,1,True
ampliado_15pct,Integra,2018-03,2018-04,1,0.05463143906447375,0.9453685609355222,0,0,True
ampliado_15pct,Integra,2018-04,2018-05,1,0.06226274944670653,0.9377372505532894,2,2,True
ampliado_15pct,Integra,2018-05,2018-06,1,0.08001251119637626,0.9199874888036199,1,2,True
ampliado_15pct,Integra,2018-06,2018-07,1,0.10760378255650033,0.8923962174434958,2,10,True
ampliado_15pct,Integra,2018-07,2018-08,1,0.0969872642589373,0.9030127357410591,4,1,True
ampliado_15pct,Integra,2018-08,2018-09,1,0.1592262237227498,0.8407737762772465,3,0,True
ampliado_15pct,Integra,2018-09,2018-10,1,0.1445439632061971,0.8554560367937987,2,0,True
