afp,identificador_final,tipo_identificador,isin,entidad_administradora,moneda_normalizada,primera_fecha,ultima_fecha,meses_presentes,peso_mediano_exterior,peso_promedio_exterior,peso_maximo_exterior,peso_mediano_total_fondo,escenario,meses_elegibles_afp,persistencia_pct
Integra,IE00BKLWXM74,isin,IE00BKLWXM74,The Vanguard Group Inc.,USD,2024-05-31,2024-05-31,1,2.6435018727783374e-07,2.6435018727783374e-07,2.6435018727783374e-07,1.1437178674104377e-07,principal_5pct,49,2.0408163265306123
Integra,IE00BKLWXN81,isin,IE00BKLWXN81,The Vanguard Group Inc.,USD,2024-05-31,2024-05-31,1,0.0041343818293999,0.0041343818293999,0.0041343818293999,0.0017887509056356,principal_5pct,49,2.0408163265306123
Integra,IE00BKM4GZ66,isin,IE00BKM4GZ66,BlackRock AMIL,USD,2019-02-28,2019-07-31,3,0.0174401833043342,0.0170239157718146,0.0185757218934235,0.0103627458838923,principal_5pct,49,6.122448979591836
Integra,KKR Americas Fund XII LP,fondo_sin_isin,,KKRAA,USD,2019-07-31,2019-07-31,1,0.0084238479304204,0.0084238479304204,0.0084238479304204,0.0048478018020721,principal_5pct,49,2.0408163265306123
Integra,LU0040507039,isin,LU0040507039,VONTOBEL,SIN_DATO,2015-02-27,2015-02-27,1,0.0236503582921327,0.0236503582921327,0.0236503582921327,0.0146448889619942,principal_5pct,49,2.0408163265306123
Integra,LU0040507039,isin,LU0040507039,VONTOBEL,USD,2015-01-30,2018-05-31,38,0.01386196357443795,0.01478859560644146,0.0234549339162928,0.00826645045628275,principal_5pct,49,77.55102040816327
Integra,LU0067412154,isin,LU0067412154,UBS,SIN_DATO,2018-03-30,2018-03-30,1,0.0292596029400771,0.0292596029400771,0.0292596029400771,0.0176401339268246,principal_5pct,49,2.0408163265306123
Integra,LU0067412154,isin,LU0067412154,UBS,USD,2015-03-31,2019-07-31,45,0.022502818746323,0.022435240830445333,0.0366389988458633,0.0130332924423364,principal_5pct,49,91.83673469387756
Integra,LU0085136942,isin,LU0085136942,ROBECO,EUR,2015-01-30,2015-07-31,7,2.493259810516868e-07,2.5181254876702296e-07,2.64364052296893e-07,1.5780033926610684e-07,principal_5pct,49,14.285714285714285
Integra,LU0099405374,isin,LU0099405374,GAM Luxembourg,JPY,2015-03-31,2016-01-29,10,0.0213895314591853,0.02143170914179824,0.0229240925356472,0.013649159557960151,principal_5pct,49,20.408163265306122
Integra,LU0099405374,isin,LU0099405374,Swiss & Global,EUR,2015-02-27,2015-02-27,1,0.0196496107556686,0.0196496107556686,0.0196496107556686,0.012167526770996,principal_5pct,49,2.0408163265306123
Integra,LU0099405374,isin,LU0099405374,Swiss & Global,JPY,2015-01-30,2015-01-30,1,0.0112995792629943,0.0112995792629943,0.0112995792629943,0.006749393431328,principal_5pct,49,2.0408163265306123
Integra,LU0102000758,isin,LU0102000758,BNP PARIBAS INV,JPY,2015-05-29,2019-07-31,43,0.0165163376498258,0.017237431323047413,0.0233524049181647,0.0095052945019312,principal_5pct,49,87.75510204081633
Integra,LU0102000758,isin,LU0102000758,BNP PARIBAS INV,USD,2018-03-30,2018-03-30,1,0.0229667727831309,0.0229667727831309,0.0229667727831309,0.0138462900057492,principal_5pct,49,2.0408163265306123
Integra,LU0102000758,isin,LU0102000758,BNP PARIBAS INVESTMENT PARTNERS LUXEMBOURG,JPY,2024-05-31,2024-05-31,1,3.330237680104766e-07,3.330237680104766e-07,3.330237680104766e-07,1.4408358763355737e-07,principal_5pct,49,2.0408163265306123
Integra,LU0106243982,isin,LU0106243982,SCHRODER,JPY,2015-01-30,2015-06-30,5,0.0146139210386941,0.014789963344973562,0.0153944009516236,0.0092621328467178,principal_5pct,49,10.204081632653061
Integra,LU0106243982,isin,LU0106243982,SCHRODER,USD,2015-02-27,2015-02-27,1,0.0143159330280214,0.0143159330280214,0.0143159330280214,0.0088647811163377,principal_5pct,49,2.0408163265306123
Integra,LU0106259988,isin,LU0106259988,SCHRODER,EUR,2018-03-30,2018-03-30,1,0.0325564301225433,0.0325564301225433,0.0325564301225433,0.0196277368738435,principal_5pct,49,2.0408163265306123
Integra,LU0106259988,isin,LU0106259988,SCHRODER,SIN_DATO,2015-02-27,2015-02-27,1,0.0161140961840127,0.0161140961840127,0.0161140961840127,0.0099782483809669,principal_5pct,49,2.0408163265306123
Integra,LU0106259988,isin,LU0106259988,SCHRODER,USD,2015-01-30,2019-07-31,46,0.0283385829184378,0.025682184103772165,0.0392711678009247,0.016250468486875398,principal_5pct,49,93.87755102040816
Integra,LU0106259988,isin,LU0106259988,Schroder Investment Management,USD,2024-05-31,2024-05-31,1,0.0046002858072512,0.0046002858072512,0.0046002858072512,0.0019903254569735,principal_5pct,49,2.0408163265306123
Integra,LU0107852435,isin,LU0107852435,GAM Luxembourg,USD,2018-05-31,2019-07-31,10,0.0082706173829393,0.007605815304763073,0.0093859206826955,0.0050193356099394,principal_5pct,49,20.408163265306122
Integra,LU0113993397,isin,LU0113993397,GARTMORE,EUR,2015-01-30,2019-07-31,46,0.0369600427675906,0.0250866120392891,0.0448034936626932,0.0235204455472408,principal_5pct,49,93.87755102040816
Integra,LU0113993397,isin,LU0113993397,GARTMORE,SIN_DATO,2015-02-27,2015-02-27,1,0.0356263737027063,0.0356263737027063,0.0356263737027063,0.0220607350024038,principal_5pct,49,2.0408163265306123
Integra,LU0113993397,isin,LU0113993397,GARTMORE,USD,2018-03-30,2018-03-30,1,8.462979804384361e-09,8.462979804384361e-09,8.462979804384361e-09,5.1021914916306476e-09,principal_5pct,49,2.0408163265306123
Integra,LU0127786860,isin,LU0127786860,NNIPL,EUR,2015-01-30,2016-01-29,12,3.1633037144517193e-07,0.0025616505754518866,0.0154179923163702,2.009327753764137e-07,principal_5pct,49,24.489795918367346
Integra,LU0129464904,isin,LU0129464904,JP MORGAN F.F.,SIN_DATO,2015-02-27,2015-02-27,1,0.0146813198916625,0.0146813198916625,0.0146813198916625,0.0090910377328378,principal_5pct,49,2.0408163265306123
Integra,LU0129464904,isin,LU0129464904,JP MORGAN F.F.,USD,2015-01-30,2019-07-31,47,0.0204121043962811,0.02175514726558398,0.0343123393613266,0.0123317768828215,principal_5pct,49,95.91836734693877
Integra,LU0129464904,isin,LU0129464904,JPMorgan Fleming Funds Sicav,USD,2024-05-31,2024-05-31,1,0.0014437042837108,0.0014437042837108,0.0014437042837108,0.0006246223623067,principal_5pct,49,2.0408163265306123
Integra,LU0132199406,isin,LU0132199406,PIONEER,EUR,2015-02-27,2015-02-27,1,0.0008194098835896,0.0008194098835896,0.0008194098835896,0.0005073989413311,principal_5pct,49,2.0408163265306123
Integra,LU0132199406,isin,LU0132199406,PIONEER,SIN_DATO,2018-03-30,2018-03-30,1,0.0010049832746811,0.0010049832746811,0.0010049832746811,0.0006058879061312,principal_5pct,49,2.0408163265306123
Integra,LU0132199406,isin,LU0132199406,PIONEER,USD,2015-01-30,2019-03-29,45,0.001002218261859,0.0009501917240801507,0.0011643393720266,0.0006098415404928,principal_5pct,49,91.83673469387756
Integra,LU0132414144,isin,LU0132414144,ABERDEEN,USD,2015-01-30,2016-05-31,16,9.483535778467672e-08,9.615597463257989e-08,1.1030210658031856e-07,6.148517020275203e-08,principal_5pct,49,32.6530612244898
Integra,LU0132414144,isin,LU0132414144,Aberdeen GS,USD,2016-06-30,2016-07-29,2,1.1587470788760873e-07,1.1587470788760873e-07,1.1800709472391863e-07,6.858594792940605e-08,principal_5pct,49,4.081632653061225
Integra,LU0184624863,isin,LU0184624863,AXA FUNDS,EUR,2016-05-31,2019-07-31,32,0.015835252982235752,0.014216099061738766,0.0200392210729852,0.0097595929335258,principal_5pct,49,65.3061224489796
Integra,LU0184624863,isin,LU0184624863,AXA FUNDS,SIN_DATO,2018-03-30,2018-03-30,1,0.0171775647231612,0.0171775647231612,0.0171775647231612,0.0103560715732824,principal_5pct,49,2.0408163265306123
Integra,LU0188167505,isin,LU0188167505,AXA FUNDS,EUR,2018-03-30,2018-03-30,1,4.001980038421711e-07,4.001980038421711e-07,4.001980038421711e-07,2.4127280194066724e-07,principal_5pct,49,2.0408163265306123
Integra,LU0188167505,isin,LU0188167505,AXA FUNDS,USD,2015-01-30,2019-07-31,47,4.044520369681942e-07,3.9219366172397633e-07,4.773143417381688e-07,2.538827539842851e-07,principal_5pct,49,95.91836734693877
Integra,LU0195951966,isin,LU0195951966,FRANKLIN TEMP,SIN_DATO,2018-03-30,2018-03-30,1,9.056728873092807e-08,9.056728873092807e-08,9.056728873092807e-08,5.4601530508628254e-08,principal_5pct,49,2.0408163265306123
Integra,LU0195951966,isin,LU0195951966,FRANKLIN TEMP,USD,2015-01-30,2019-07-31,47,8.496403199538886e-08,7.967629799074474e-08,9.943504544377449e-08,5.122192102089845e-08,principal_5pct,49,95.91836734693877
Integra,LU0219455952,isin,LU0219455952,MFS,SIN_DATO,2015-02-27,2015-02-27,1,1.8583066542292505e-07,1.8583066542292505e-07,1.8583066542292505e-07,1.1507096117683453e-07,principal_5pct,49,2.0408163265306123
Integra,LU0219455952,isin,LU0219455952,MFS,USD,2015-01-30,2019-07-31,47,2.2836164797122045e-07,2.2481602912679815e-07,2.624141747978621e-07,1.3916156449111393e-07,principal_5pct,49,95.91836734693877
Integra,LU0231459107,isin,LU0231459107,ABERDEEN,USD,2015-01-30,2015-06-30,6,0.0018694834278151998,0.0018832529245762831,0.0019898589390523,0.00117662293765695,principal_5pct,49,12.244897959183673
Integra,LU0231483743,isin,LU0231483743,ABERDEEN,EUR,2015-02-27,2015-02-27,1,1.3969819693246426e-06,1.3969819693246426e-06,1.3969819693246426e-06,8.650459147366459e-07,principal_5pct,49,2.0408163265306123
Integra,LU0231483743,isin,LU0231483743,ABERDEEN,USD,2015-01-30,2016-01-29,11,1.4712111840049076e-06,1.4557587521918904e-06,1.5158181725050049e-06,9.236932701963068e-07,principal_5pct,49,22.448979591836736
Integra,LU0255798018,isin,LU0255798018,PAI Europe,USD,2015-08-31,2015-08-31,1,2.099281166165725e-06,2.099281166165725e-06,2.099281166165725e-06,1.3170281096146612e-06,principal_5pct,49,2.0408163265306123
Integra,LU0255798018,isin,LU0255798018,PICTET,EUR,2015-02-27,2015-02-27,1,2.052629378978849e-06,2.052629378978849e-06,2.052629378978849e-06,1.2710390668910906e-06,principal_5pct,49,2.0408163265306123
Integra,LU0255798018,isin,LU0255798018,PICTET,USD,2015-01-30,2015-07-31,6,2.010152710955114e-06,2.0303172854744932e-06,2.2268402138433586e-06,1.2495795825784186e-06,principal_5pct,49,12.244897959183673
Integra,LU0255798018,isin,LU0255798018,Pic Asset Ma Eu,SIN_DATO,2018-03-30,2018-03-30,1,2.4082321399037303e-06,2.4082321399037303e-06,2.4082321399037303e-06,1.4518835939703763e-06,principal_5pct,49,2.0408163265306123
Integra,LU0255798018,isin,LU0255798018,Pic Asset Ma Eu,USD,2015-10-30,2019-07-31,39,2.3159165557959075e-06,2.1480886407865015e-06,2.5450270476993546e-06,1.4184044194923145e-06,principal_5pct,49,79.59183673469387
Integra,LU0274209740,isin,LU0274209740,DeAWM Investmen,USD,2015-12-31,2016-04-29,5,0.0292677528931322,0.02901254570595916,0.0311975034847284,0.0187660610817375,principal_5pct,49,10.204081632653061
Integra,LU0274209740,isin,LU0274209740,Deutsche Asset,SIN_DATO,2018-03-30,2018-03-30,1,0.0222234203556761,0.0222234203556761,0.0222234203556761,0.0133981350392588,principal_5pct,49,2.0408163265306123
Integra,LU0274209740,isin,LU0274209740,Deutsche Asset,USD,2016-05-31,2019-07-31,32,0.0205961465151867,0.02021445463822594,0.0314243738924601,0.0124626862100096,principal_5pct,49,65.3061224489796
Integra,LU0345777493,isin,LU0345777493,INVESTEC,SIN_DATO,2015-02-27,2018-03-30,2,0.01696201378945865,0.01696201378945865,0.0222392579025573,0.0103215913439271,principal_5pct,49,4.081632653061225
Integra,LU0345777493,isin,LU0345777493,INVESTEC,USD,2015-01-30,2019-07-31,46,0.0144989891143199,0.016627713268359243,0.0247008443037659,0.0084573729822284,principal_5pct,49,93.87755102040816
Integra,LU0346389850,isin,LU0346389850,FILIMSA,EUR,2015-10-30,2019-07-31,39,0.018241414956195,0.017900917811211083,0.0218466226168327,0.0111730254376774,principal_5pct,49,79.59183673469387
Integra,LU0346389850,isin,LU0346389850,FILIMSA,USD,2018-03-30,2018-03-30,1,0.0187621940104075,0.0187621940104075,0.0187621940104075,0.0113114185377863,principal_5pct,49,2.0408163265306123
Integra,LU0440072402,isin,LU0440072402,Robeco Luxembourg S.A.,USD,2024-05-31,2024-05-31,1,3.160989630423577e-07,3.160989630423577e-07,3.160989630423577e-07,1.3676102734192045e-07,principal_5pct,49,2.0408163265306123
Integra,LU0823426647,isin,LU0823426647,BNP Paribas Asset Management,USD,2024-05-31,2024-05-31,1,0.0023342066971032,0.0023342066971032,0.0023342066971032,0.0010099005161287,principal_5pct,49,2.0408163265306123
Integra,LU084619477X,isin,LU084619477X,DeAWM Investmen,GBP,2015-12-31,2016-04-29,5,0.0080681085528262,0.00814435175603564,0.0087076445492232,0.0052455016077407,principal_5pct,49,10.204081632653061
Integra,LU084619477X,isin,LU084619477X,Deutsche Asset,GBP,2016-05-31,2019-07-31,32,0.009437156002164451,0.009066962817136929,0.0100900263235342,0.0057800484715111,principal_5pct,49,65.3061224489796
Integra,LU084619477X,isin,LU084619477X,Deutsche Asset,SIN_DATO,2018-03-30,2018-03-30,1,0.0096325075730882,0.0096325075730882,0.0096325075730882,0.0058072805700206,principal_5pct,49,2.0408163265306123
Integra,LU0852482198,isin,LU0852482198,ALLIANZ,EUR,2016-02-29,2019-07-31,35,0.0193023170206826,0.02052651789315905,0.0294750587964468,0.012109365622231,principal_5pct,49,71.42857142857143
Integra,LU0852482198,isin,LU0852482198,ALLIANZ,SIN_DATO,2018-03-30,2018-03-30,1,0.0251857885238308,0.0251857885238308,0.0251857885238308,0.0151840981411447,principal_5pct,49,2.0408163265306123
Integra,LU0852482198,isin,LU0852482198,Allainz Global Investors,EUR,2024-05-31,2024-05-31,1,5.8582926402754855e-06,5.8582926402754855e-06,5.8582926402754855e-06,2.5346053408164044e-06,principal_5pct,49,2.0408163265306123
Integra,LU0912262945,isin,LU0912262945,ABERDEEN,USD,2016-04-29,2016-05-31,2,0.0156427550401949,0.0156427550401949,0.0157575558902306,0.00928533622282025,principal_5pct,49,4.081632653061225
Integra,LU0912262945,isin,LU0912262945,Aberdeen GS,USD,2016-06-30,2018-06-29,24,0.01682293067119455,0.016654697278988873,0.0181485214923555,0.01011180353627885,principal_5pct,49,48.97959183673469
Integra,LU0927735406,isin,LU0927735406,DeAWM Investmen,USD,2015-12-31,2016-04-29,5,0.0046727753167454,0.00470333209847376,0.0051359863086566,0.003038016937441,principal_5pct,49,10.204081632653061
Integra,LU0927735406,isin,LU0927735406,Deutsche Asset,USD,2016-05-31,2019-07-31,33,0.0052247102703187,0.0052043945060212945,0.0059489393352788,0.0031521538526283,principal_5pct,49,67.3469387755102
Integra,LU1136112601,isin,LU1136112601,Henderson Management SA,EUR,2024-05-31,2024-05-31,1,4.1772190215922886e-08,4.1772190215922886e-08,4.1772190215922886e-08,1.807284526740509e-08,principal_5pct,49,2.0408163265306123
Integra,LU1259265335,isin,LU1259265335,Eastspring Investments (Luxembourg) S.A.,JPY,2024-05-31,2024-05-31,1,0.0170809579234674,0.0170809579234674,0.0170809579234674,0.0073901202683935,principal_5pct,49,2.0408163265306123
Integra,LU1353442731,isin,LU1353442731,FIL Investment Management (Luxembourg) S.A.,EUR,2024-05-31,2024-05-31,1,5.6213843015391756e-08,5.6213843015391756e-08,5.6213843015391756e-08,2.4321063402514963e-08,principal_5pct,49,2.0408163265306123
Integra,LU1713307699,isin,LU1713307699,Schroder Investment Management (Europe) SA,USD,2024-05-31,2024-05-31,1,0.0054557874426754,0.0054557874426754,0.0054557874426754,0.0023604604344097,principal_5pct,49,2.0408163265306123
Integra,LU1767066605,isin,LU1767066605,Vontobel,USD,2019-07-31,2019-07-31,1,0.0092460622552448,0.0092460622552448,0.0092460622552448,0.0053209741715755,principal_5pct,49,2.0408163265306123
Integra,LU1883863851,isin,LU1883863851,Amundi Asset,USD,2019-07-31,2019-07-31,1,1.3240486465972532e-08,1.3240486465972532e-08,1.3240486465972532e-08,7.61970713149494e-09,principal_5pct,49,2.0408163265306123
Integra,LU1951186714,isin,LU1951186714,UBS Global Asset Management (US) Inc.,USD,2024-05-31,2024-05-31,1,1.589424164450273e-07,1.589424164450273e-07,1.589424164450273e-07,6.876684425667184e-08,principal_5pct,49,2.0408163265306123
Integra,LU1966825462,isin,LU1966825462,Universal-Investment-Luxembourg S.A.,EUR,2024-05-31,2024-05-31,1,0.002420611096123,0.002420611096123,0.002420611096123,0.0010472836010432,principal_5pct,49,2.0408163265306123
Integra,LU1997245763,isin,LU1997245763,Allainz Global Investors,USD,2024-05-31,2024-05-31,1,0.0031149237195623,0.0031149237195623,0.0031149237195623,0.0013476797388986,principal_5pct,49,2.0408163265306123
Integra,LU2791994721,isin,LU2791994721,Auna S.A.A.,USD,2024-05-31,2024-05-31,1,0.0123004519993006,0.0123004519993006,0.0123004519993006,0.0053218221154648,principal_5pct,49,2.0408163265306123
Integra,Lexington Capital Partners VIII-A feeder LP,fondo_sin_isin,,Lexington GP 8,USD,2015-10-30,2019-07-31,40,0.008552127371617,0.011547906225643497,0.0260304632549425,0.005154239741961501,principal_5pct,49,81.63265306122449
Integra,Lexington Capital Partners VIII-A feeder LP,fondo_sin_isin,,Lexington Partners GP Holdings VIII LLC,USD,2024-05-31,2024-05-31,1,0.0652477624665475,0.0652477624665475,0.0652477624665475,0.0282296118304282,principal_5pct,49,2.0408163265306123
Integra,MX01WA000038,isin,MX01WA000038,Wal-Mart Mexico,MXN,2016-08-31,2018-06-29,21,0.0015367330892215,0.0014222979192015808,0.0020519553032771,0.0008906363067757,principal_5pct,49,42.857142857142854
Integra,MX01WA000038,isin,MX01WA000038,Wal-Mart Mexico,SIN_DATO,2018-03-30,2018-03-30,1,0.0009748537734235,0.0009748537734235,0.0009748537734235,0.0005877233247997,principal_5pct,49,2.0408163265306123
Integra,MX0MGO0000J5,isin,MX0MGO0000J5,GOB MEX,MXN,2015-01-30,2016-06-30,8,0.00462434647580765,0.006661808319912188,0.0165238717882068,0.0027413033268346,principal_5pct,49,16.3265306122449
Integra,MX0MGO0000J5,isin,MX0MGO0000J5,GOB MEX,SIN_DATO,2015-02-27,2015-02-27,1,0.0214479163637269,0.0214479163637269,0.0214479163637269,0.0132810822454814,principal_5pct,49,2.0408163265306123
Integra,MX0MGO0000P2,isin,MX0MGO0000P2,GOB MEX,MXN,2016-05-31,2019-03-29,18,0.00095110513510875,0.006281656915757244,0.0229351799597096,0.0005688353470169501,principal_5pct,49,36.734693877551024
Integra,MX0MGO0000P2,isin,MX0MGO0000P2,GOB MEX,SIN_DATO,2018-03-30,2018-03-30,1,0.0009879087063956,0.0009879087063956,0.0009879087063956,0.0005955939294181,principal_5pct,49,2.0408163265306123
Integra,MX0MGO0000R8,isin,MX0MGO0000R8,GOB MEX,MXN,2015-01-30,2015-01-30,1,0.0046023455377381,0.0046023455377381,0.0046023455377381,0.0027490440146601,principal_5pct,49,2.0408163265306123
Integra,MX0MGO0000R8,isin,MX0MGO0000R8,GOB MEX,USD,2015-02-27,2015-02-27,1,0.0041273276645612,0.0041273276645612,0.0041273276645612,0.0025557437485999,principal_5pct,49,2.0408163265306123
Integra,MXBIGO000HH4,isin,MXBIGO000HH4,GOB MEX,MXN,2015-01-30,2015-03-31,3,0.0005879302371761,0.0005970202121718,0.0006213564228655,0.0003613057048681,principal_5pct,49,6.122448979591836
Integra,MXBIGO000HR3,isin,MXBIGO000HR3,GOB MEX,MXN,2015-01-30,2015-03-31,3,0.0005845824423754,0.0005938431160527334,0.0006182632106174,0.0003592483564214,principal_5pct,49,6.122448979591836
Integra,MXBIGO000JZ2,isin,MXBIGO000JZ2,GOB MEX,MXN,2016-09-30,2016-10-31,2,0.00272227014691095,0.00272227014691095,0.0028351234371067,0.00165534913539715,principal_5pct,49,4.081632653061225
Integra,MXBIGO000KJ4,isin,MXBIGO000KJ4,GOB MEX,MXN,2016-09-30,2016-10-31,2,0.0214282725977765,0.0214282725977765,0.0223125373358259,0.0130300587228824,principal_5pct,49,4.081632653061225
Integra,MXBIGO000MQ5,isin,MXBIGO000MQ5,GOB MEX,MXN,2018-08-31,2018-12-31,5,0.0011985107413892,0.0012096708151365,0.0013022811623889,0.0007295568230271,principal_5pct,49,10.204081632653061
Integra,MXBIGO000OA5,isin,MXBIGO000OA5,GOB MEX,MXN,2019-03-29,2019-03-29,1,0.0029146905931084,0.0029146905931084,0.0029146905931084,0.0017318738811104,principal_5pct,49,2.0408163265306123
Integra,MXP370841019,isin,MXP370841019,Grupo Mexico,MXN,2016-08-31,2019-03-29,28,0.0015939138354234,0.0015622246582625715,0.0021263010145208,0.0009711624412133501,principal_5pct,49,57.14285714285714
Integra,MXP370841019,isin,MXP370841019,Grupo Mexico,SIN_DATO,2018-03-30,2018-03-30,1,0.00209024823488,0.00209024823488,0.00209024823488,0.0012601763215689,principal_5pct,49,2.0408163265306123
Integra,MXP4948K1056,isin,MXP4948K1056,Gruma,MXN,2017-06-30,2019-07-31,20,0.00078132748678845,0.0008338150011678701,0.0016932056048416,0.0004729055032254,principal_5pct,49,40.816326530612244
Integra,MXP4948K1056,isin,MXP4948K1056,Gruma,SIN_DATO,2018-03-30,2018-03-30,1,0.0011442282126618,0.0011442282126618,0.0011442282126618,0.0006898363916811,principal_5pct,49,2.0408163265306123
Integra,Oaktree Principal Fund VI L.P. (Feeder),fondo_sin_isin,,Oaktree HP,USD,2015-10-30,2019-07-31,40,0.0023844116408092,0.004433211189614598,0.0124009435566078,0.00146531557820995,principal_5pct,49,81.63265306122449
Integra,Oaktree Principal Fund VI L.P. (Feeder),fondo_sin_isin,,"Oaktree Principal Fund VI GP, L.P.",USD,2024-05-31,2024-05-31,1,0.0335023406658761,0.0335023406658761,0.0335023406658761,0.0144948736424999,principal_5pct,49,2.0408163265306123
Integra,PAP310761054,isin,PAP310761054,Copa,SIN_DATO,2015-02-27,2015-02-27,1,0.0014305195218437,0.0014305195218437,0.0014305195218437,0.0008858131998083,principal_5pct,49,2.0408163265306123
Integra,PAP310761054,isin,PAP310761054,Copa,USD,2015-01-30,2015-11-30,9,0.0004627211235188,0.0019705719180788234,0.0060025843512274,0.000276389663626,principal_5pct,49,18.367346938775512
Integra,PRIVFAEGIP4F,isin,PRIVFAEGIP4F,"Global Infrastructure GP IV, L.P.",USD,2024-05-31,2024-05-31,1,0.0175590052731805,0.0175590052731805,0.0175590052731805,0.0075969486807224,principal_5pct,49,2.0408163265306123
Integra,"Pantheon Asia Fund VI, L.P.",fondo_sin_isin,,PASIA VI,USD,2015-01-30,2019-07-31,48,0.00052061794972255,0.0004913767704796583,0.000739988224331,0.00031903493362205,principal_5pct,49,97.95918367346938
Integra,"Pantheon Asia Fund VI, L.P.",fondo_sin_isin,,PASIA VI GP LLC,USD,2024-05-31,2024-05-31,1,0.0012035814526527,0.0012035814526527,0.0012035814526527,0.0005207326033917,principal_5pct,49,2.0408163265306123
Integra,Partners Group Secondary 2011,fondo_sin_isin,,PG SecPF,EUR,2018-03-30,2018-03-30,1,0.0032922477323167,0.0032922477323167,0.0032922477323167,0.0019848420717563,principal_5pct,49,2.0408163265306123
Integra,Partners Group Secondary 2011,fondo_sin_isin,,PG SecPF,USD,2015-01-30,2019-07-31,47,0.0037692077501064,0.003732929129802936,0.0045421916129509,0.0022802693819302,principal_5pct,49,95.91836734693877
Integra,Partners Group Secondary 2011,fondo_sin_isin,,"Partners Group Secondary 2011 (USD), L.P. Inc.",USD,2024-05-31,2024-05-31,1,0.0027660169678251,0.0027660169678251,0.0027660169678251,0.0011967243376064,principal_5pct,49,2.0408163265306123
Integra,"Partners Group Secondary 2015 (USD) C,LP",fondo_sin_isin,,PGMXI GP,USD,2016-08-31,2019-07-31,30,0.0012494294210355001,0.0015211694322596633,0.0032970120450112,0.00077245367770195,principal_5pct,49,61.224489795918366
Integra,"Partners Group Secondary 2015 (USD) C,LP",fondo_sin_isin,,Partners Group Management XI Limited.,USD,2024-05-31,2024-05-31,1,0.0144536003357026,0.0144536003357026,0.0144536003357026,0.0062533872673139,principal_5pct,49,2.0408163265306123
Integra,"TRG Latin America Private Equity Fund I, L.P. (LAPEF)",fondo_sin_isin,,TRG MANAGEMENT,USD,2015-01-30,2019-07-31,48,0.00455567789505175,0.003994940610543215,0.0063511165980598,0.0027457902122203,principal_5pct,49,97.95918367346938
Integra,"TRG Latin America Private Equity Fund I, L.P. (LAPEF)",fondo_sin_isin,,TRG Management L.P.,USD,2024-05-31,2024-05-31,1,0.0145566273375031,0.0145566273375031,0.0145566273375031,0.0062979621639683,principal_5pct,49,2.0408163265306123
Integra,US02319V1035,isin,US02319V1035,AMBEV,BRL,2018-03-30,2018-03-30,1,0.0015319137443629,0.0015319137443629,0.0015319137443629,0.0009235656297267,principal_5pct,49,2.0408163265306123
Integra,US02319V1035,isin,US02319V1035,AMBEV,USD,2016-08-31,2019-03-29,28,0.002055896199683,0.0017400164793135715,0.0023358293726829,0.0012423272631546,principal_5pct,49,57.14285714285714
Integra,US0378331005,isin,US0378331005,Apple,USD,2015-07-31,2015-07-31,1,0.0125351608889054,0.0125351608889054,0.0125351608889054,0.0077069743895179,principal_5pct,49,2.0408163265306123
Integra,US05367G1004,isin,US05367G1004,Avianca Holding,SIN_DATO,2015-02-27,2015-02-27,1,5.949397418145101e-06,5.949397418145101e-06,5.949397418145101e-06,3.684014571926934e-06,principal_5pct,49,2.0408163265306123
Integra,US05367G1004,isin,US05367G1004,Avianca Holding,USD,2015-01-30,2015-11-30,9,4.893591582797433e-06,4.487692782739779e-06,6.2745465314910844e-06,3.144409361594562e-06,principal_5pct,49,18.367346938775512
Integra,US0595201064,isin,US0595201064,BCHILE,SIN_DATO,2018-03-30,2018-03-30,1,0.0004445752463671,0.0004445752463671,0.0004445752463671,0.000268027112416,principal_5pct,49,2.0408163265306123
Integra,US0595201064,isin,US0595201064,BCHILE,USD,2016-08-31,2018-06-29,21,0.0007769618567217,0.0007447522923541762,0.0011557213861369,0.0004690985032285,principal_5pct,49,42.857142857142854
Integra,US05966UAR59,isin,US05966UAR59,B. Santander BR,BRL,2015-01-30,2016-02-29,12,0.00093791039634455,0.0009428620954769167,0.0011987519593961,0.0005924053582339499,principal_5pct,49,24.489795918367346
Integra,US05966UAR59,isin,US05966UAR59,B. Santander BR,SIN_DATO,2015-02-27,2015-02-27,1,0.0010633856221441,0.0010633856221441,0.0010633856221441,0.0006584747752114,principal_5pct,49,2.0408163265306123
Integra,US1512908898,isin,US1512908898,Cemex,MXN,2018-03-30,2018-03-30,1,0.0003784505903978,0.0003784505903978,0.0003784505903978,0.0002281616436482,principal_5pct,49,2.0408163265306123
Integra,US1512908898,isin,US1512908898,Cemex,USD,2016-08-31,2018-06-29,21,0.0005027847578743,0.00048808823963308575,0.0006086995313185,0.0003037265047537,principal_5pct,49,42.857142857142854
Integra,US1912411089,isin,US1912411089,FEMSA,SIN_DATO,2018-03-30,2018-03-30,1,0.0008562023687763,0.0008562023687763,0.0008562023687763,0.0005161903421796,principal_5pct,49,2.0408163265306123
Integra,US1912411089,isin,US1912411089,FEMSA,USD,2017-10-31,2019-07-31,16,0.0008532145132437499,0.0008415471980177875,0.0009686178049425,0.00052222267818255,principal_5pct,49,32.6530612244898
Integra,US195325CU73,isin,US195325CU73,GOB COL,USD,2016-10-31,2018-04-30,18,0.0009466911227677,0.0009568011177496445,0.0010558393958068,0.0005800389083299,principal_5pct,49,36.734693877551024
