isin,numero_resultados,shareclass_unicas,composite_unicas,nombres_unicos,tickers_unicos,tipos_unicos,clase_ambiguedad,razon_ambiguedad
LU0101689882,3,1,3,1,2,1,ambiguedad_benigna,misma_shareclass_figi
LU0102000758,1,1,1,1,1,1,unico,un_solo_resultado
LU0103813712,1,1,1,1,1,1,unico,un_solo_resultado
LU0106235459,12,1,6,1,3,1,ambiguedad_benigna,misma_shareclass_figi
LU0106243982,1,1,1,1,1,1,unico,un_solo_resultado
LU0106259988,13,1,9,1,4,1,ambiguedad_benigna,misma_shareclass_figi
LU0106820292,1,1,1,1,1,1,unico,un_solo_resultado
LU0107852435,1,1,1,1,1,1,unico,un_solo_resultado
LU0113993397,10,1,6,1,4,1,ambiguedad_benigna,misma_shareclass_figi
LU0113993553,1,1,1,1,1,1,unico,un_solo_resultado
LU0114720955,18,1,11,4,3,1,ambiguedad_benigna,misma_shareclass_figi
LU0127786860,3,1,2,1,2,1,ambiguedad_benigna,misma_shareclass_figi
LU0129463179,1,1,1,1,1,1,unico,un_solo_resultado
LU0129464904,1,1,1,1,1,1,unico,un_solo_resultado
LU0129914015,1,1,1,1,1,1,unico,un_solo_resultado
LU0131718073,2,1,2,1,1,1,ambiguedad_benigna,misma_shareclass_figi
LU0132414144,18,1,11,2,5,1,ambiguedad_benigna,misma_shareclass_figi
LU0145647722,13,1,8,2,3,1,ambiguedad_benigna,misma_shareclass_figi
LU0149084476,1,1,1,1,1,1,unico,un_solo_resultado
LU0161305759,9,1,5,1,3,1,ambiguedad_benigna,misma_shareclass_figi
LU0181496059,13,1,9,1,4,1,ambiguedad_benigna,misma_shareclass_figi
LU0184624863,1,1,1,1,1,1,unico,un_solo_resultado
LU0187077309,18,1,10,1,3,1,ambiguedad_benigna,misma_shareclass_figi
LU0188167505,1,1,1,1,1,1,unico,un_solo_resultado
LU0195951966,3,1,3,1,2,1,ambiguedad_benigna,misma_shareclass_figi
LU0206294794,1,1,1,1,1,1,unico,un_solo_resultado
LU0211118053,1,1,1,1,1,1,unico,un_solo_resultado
LU0212179997,1,1,1,1,1,1,unico,un_solo_resultado
LU0219455952,1,1,1,1,1,1,unico,un_solo_resultado
LU0231204701,1,1,1,1,1,1,unico,un_solo_resultado
LU0231459107,23,1,16,2,5,1,ambiguedad_benigna,misma_shareclass_figi
LU0231483743,20,1,13,3,4,1,ambiguedad_benigna,misma_shareclass_figi
LU0248044025,1,1,1,1,1,1,unico,un_solo_resultado
LU0248053877,1,1,1,1,1,1,unico,un_solo_resultado
LU0248056110,1,1,1,1,1,1,unico,un_solo_resultado
LU0255798018,5,1,4,1,3,1,ambiguedad_benigna,misma_shareclass_figi
LU0260086037,1,1,1,1,1,1,unico,un_solo_resultado
LU0264410993,3,1,3,1,2,1,ambiguedad_benigna,misma_shareclass_figi
LU0273179522,1,1,1,1,1,1,unico,un_solo_resultado
LU0274209740,172,1,86,1,21,1,ambiguedad_benigna,misma_shareclass_figi
LU0276015889,1,1,1,1,1,1,unico,un_solo_resultado
LU0278930234,1,1,1,1,1,1,unico,un_solo_resultado
LU0297941386,1,1,1,1,1,1,unico,un_solo_resultado
LU0301639745,1,1,1,1,1,1,unico,un_solo_resultado
LU0313358250,1,1,1,1,1,1,unico,un_solo_resultado
LU0318933560,1,1,1,1,1,1,unico,un_solo_resultado
LU0333811072,2,1,2,1,2,1,ambiguedad_benigna,misma_shareclass_figi
LU0338482002,1,1,1,1,1,1,unico,un_solo_resultado
LU0345781172,1,1,1,1,1,1,unico,un_solo_resultado
LU0346389850,1,1,1,1,1,1,unico,un_solo_resultado
LU0363170191,1,1,1,1,1,1,unico,un_solo_resultado
LU0411709560,1,1,1,1,1,1,unico,un_solo_resultado
LU0440072402,1,1,1,1,1,1,unico,un_solo_resultado
LU0492943443,1,1,1,1,1,1,unico,un_solo_resultado
LU0529383175,1,1,1,1,1,1,unico,un_solo_resultado
LU0564079282,1,1,1,1,1,1,unico,un_solo_resultado
LU0571488617,3,1,3,1,2,1,ambiguedad_benigna,misma_shareclass_figi
LU0602539354,1,1,1,1,1,1,unico,un_solo_resultado
LU0616840772,1,1,1,1,1,1,unico,un_solo_resultado
LU0635707705,1,1,1,1,1,1,unico,un_solo_resultado
LU0666200935,3,1,3,1,2,1,ambiguedad_benigna,misma_shareclass_figi
LU0675296932,1,1,1,1,1,1,unico,un_solo_resultado
LU0721876877,1,1,1,1,1,1,unico,un_solo_resultado
LU0727122698,1,1,1,1,1,1,unico,un_solo_resultado
LU0729060128,1,1,1,1,1,1,unico,un_solo_resultado
LU0742536872,1,1,1,1,1,1,unico,un_solo_resultado
LU0794787092,1,1,1,1,1,1,unico,un_solo_resultado
LU0804456878,1,1,1,1,1,1,unico,un_solo_resultado
LU0815264279,1,1,1,1,1,1,unico,un_solo_resultado
LU0823397798,1,1,1,1,1,1,unico,un_solo_resultado
LU0823411292,1,1,1,1,1,1,unico,un_solo_resultado
LU0823426647,1,1,1,1,1,1,unico,un_solo_resultado
LU0840619489,1,1,1,1,1,1,unico,un_solo_resultado
LU0852482198,1,1,1,1,1,1,unico,un_solo_resultado
LU0858455784,1,1,1,1,1,1,unico,un_solo_resultado
LU0880945901,1,1,1,1,1,1,unico,un_solo_resultado
LU0886779783,3,1,3,2,2,1,ambiguedad_benigna,misma_shareclass_figi
LU0912262945,1,1,1,1,1,1,unico,un_solo_resultado
LU0912263752,1,1,1,1,1,1,unico,un_solo_resultado
LU0927735406,82,1,33,2,7,1,ambiguedad_benigna,misma_shareclass_figi
LU0936248318,1,1,1,1,1,1,unico,un_solo_resultado
LU0939496179,1,1,1,1,1,1,unico,un_solo_resultado
LU0943624824,1,1,1,1,1,1,unico,un_solo_resultado
LU0946219929,1,1,1,1,1,1,unico,un_solo_resultado
LU0963031652,1,1,1,1,1,1,unico,un_solo_resultado
LU0990544842,1,1,1,1,1,1,unico,un_solo_resultado
LU0990547431,1,1,1,1,1,1,unico,un_solo_resultado
LU1003376065,1,1,1,1,1,1,unico,un_solo_resultado
LU1034951563,1,1,1,1,1,1,unico,un_solo_resultado
LU1034966249,1,1,1,1,1,1,unico,un_solo_resultado
LU1079841513,114,1,59,1,16,1,ambiguedad_benigna,misma_shareclass_figi
LU1086912554,1,1,1,1,1,1,unico,un_solo_resultado
LU1102506067,1,1,1,1,1,1,unico,un_solo_resultado
LU1112790479,1,1,1,1,1,1,unico,un_solo_resultado
LU1130125799,3,1,3,1,2,1,ambiguedad_benigna,misma_shareclass_figi
LU1136112601,1,1,1,1,1,1,unico,un_solo_resultado
LU1217871059,23,1,5,2,2,1,ambiguedad_benigna,misma_shareclass_figi
LU1220257130,1,1,1,1,1,1,unico,un_solo_resultado
LU1224039393,1,1,1,1,1,1,unico,un_solo_resultado
LU1235249262,1,1,1,1,1,1,unico,un_solo_resultado
LU1240965456,1,1,1,1,1,1,unico,un_solo_resultado
LU1244895048,1,1,1,1,1,1,unico,un_solo_resultado
LU1259265335,1,1,1,1,1,1,unico,un_solo_resultado
LU1279333329,3,1,3,1,2,1,ambiguedad_benigna,misma_shareclass_figi
LU1353442731,1,1,1,1,1,1,unico,un_solo_resultado
LU1378878604,1,1,1,1,1,1,unico,un_solo_resultado
LU1397645281,1,1,1,1,1,1,unico,un_solo_resultado
LU1410485624,1,1,1,1,1,1,unico,un_solo_resultado
LU1432415641,1,1,1,1,1,1,unico,un_solo_resultado
LU1529950328,1,1,1,1,1,1,unico,un_solo_resultado
LU1548499711,1,1,1,1,1,1,unico,un_solo_resultado
LU1564424452,1,1,1,1,1,1,unico,un_solo_resultado
LU1571394011,1,1,1,1,1,1,unico,un_solo_resultado
LU1573968200,1,1,1,1,1,1,unico,un_solo_resultado
LU1670715629,1,1,1,1,1,1,unico,un_solo_resultado
LU1683287707,1,1,1,1,1,1,unico,un_solo_resultado
LU1694772994,1,1,1,1,1,1,unico,un_solo_resultado
LU1701697515,1,1,1,1,1,1,unico,un_solo_resultado
LU1713307699,1,1,1,1,1,1,unico,un_solo_resultado
LU1767066605,1,1,1,1,1,1,unico,un_solo_resultado
LU1769937829,1,1,1,1,1,1,unico,un_solo_resultado
LU1775962480,1,1,1,1,1,1,unico,un_solo_resultado
LU1796233820,1,1,1,1,1,1,unico,un_solo_resultado
LU1797946594,1,1,1,1,1,1,unico,un_solo_resultado
LU1805531933,1,1,1,1,1,1,unico,un_solo_resultado
LU1863154644,1,1,1,1,1,1,unico,un_solo_resultado
LU1865158890,1,1,1,1,1,1,unico,un_solo_resultado
LU1866781336,1,1,1,1,1,1,unico,un_solo_resultado
LU1883863851,1,1,1,1,1,1,unico,un_solo_resultado
LU1887442066,1,1,1,1,1,1,unico,un_solo_resultado
LU1932874412,1,1,1,1,1,1,unico,un_solo_resultado
LU1951186714,1,1,1,1,1,1,unico,un_solo_resultado
LU1959967503,1,1,1,1,1,1,unico,un_solo_resultado
LU1966825462,1,1,1,1,1,1,unico,un_solo_resultado
LU1997245763,1,1,1,1,1,1,unico,un_solo_resultado
LU2026682919,1,1,1,1,1,1,unico,un_solo_resultado
LU2026683131,1,1,1,1,1,1,unico,un_solo_resultado
LU2055182070,1,1,1,1,1,1,unico,un_solo_resultado
LU2058011201,1,1,1,1,1,1,unico,un_solo_resultado
LU2061828062,1,1,1,1,1,1,unico,un_solo_resultado
LU2134542260,3,1,2,1,2,1,ambiguedad_benigna,misma_shareclass_figi
LU2301227331,1,1,1,1,1,1,unico,un_solo_resultado
LU2308715312,1,1,1,1,1,1,unico,un_solo_resultado
LU2416422678,1,1,1,1,1,1,unico,un_solo_resultado
LU2501015387,1,1,1,1,1,1,unico,un_solo_resultado
LU2791994721,73,1,13,1,5,1,ambiguedad_benigna,misma_shareclass_figi
MX01WA000038,59,1,13,1,6,1,ambiguedad_benigna,misma_shareclass_figi
MX0MGO000078,1,0,0,1,1,1,unico,un_solo_resultado
MX0MGO0000D8,1,0,0,1,1,1,unico,un_solo_resultado
MX0MGO0000H9,1,0,0,1,1,1,unico,un_solo_resultado
MX0MGO0000J5,1,0,0,1,1,1,unico,un_solo_resultado
MX0MGO0000N7,1,0,0,1,1,1,unico,un_solo_resultado
MX0MGO0000P2,1,0,0,1,1,1,unico,un_solo_resultado
MX0MGO0000Q0,1,0,0,1,1,1,unico,un_solo_resultado
MX0MGO0000R8,1,0,0,1,1,1,unico,un_solo_resultado
MX0MGO0000U2,1,0,0,1,1,1,unico,un_solo_resultado
MX52GB0W0043,1,1,1,1,1,1,unico,un_solo_resultado
MXBIGO000HH4,1,0,0,1,1,1,unico,un_solo_resultado
MXBIGO000HR3,1,0,0,1,1,1,unico,un_solo_resultado
MXBIGO000JZ2,1,0,0,1,1,1,unico,un_solo_resultado
MXBIGO000KJ4,1,0,0,1,1,1,unico,un_solo_resultado
MXBIGO000MQ5,1,0,0,1,1,1,unico,un_solo_resultado
MXBIGO000NO8,1,0,0,1,1,1,unico,un_solo_resultado
MXBIGO000OA5,1,0,0,1,1,1,unico,un_solo_resultado
MXBIGO000OK4,1,0,0,1,1,1,unico,un_solo_resultado
MXP225611567,57,1,11,1,5,1,ambiguedad_benigna,misma_shareclass_figi
MXP370841019,82,1,17,1,7,1,ambiguedad_benigna,misma_shareclass_figi
MXP4948K1056,64,1,17,1,6,1,ambiguedad_benigna,misma_shareclass_figi
PAP310761054,77,1,16,1,5,1,ambiguedad_benigna,misma_shareclass_figi
US00214Q8078,81,1,11,1,6,1,ambiguedad_benigna,misma_shareclass_figi
US02319V1035,99,1,23,1,7,1,ambiguedad_benigna,misma_shareclass_figi
US0378331005,249,1,75,1,24,1,ambiguedad_benigna,misma_shareclass_figi
US0595201064,83,1,11,1,5,1,ambiguedad_benigna,misma_shareclass_figi
US05966UAR59,1,0,0,1,1,1,unico,un_solo_resultado
US05968LAL62,1,0,0,1,1,1,unico,un_solo_resultado
US0846701086,103,1,22,1,8,1,ambiguedad_benigna,misma_shareclass_figi
US105756BL31,1,0,0,1,1,1,unico,un_solo_resultado
US1512908898,116,1,19,1,8,1,ambiguedad_benigna,misma_shareclass_figi
US1912411089,85,1,11,1,5,1,ambiguedad_benigna,misma_shareclass_figi
US195325BR53,1,0,0,1,1,1,unico,un_solo_resultado
US195325CU73,1,0,0,1,1,1,unico,un_solo_resultado
US195325DX04,1,0,0,1,1,1,unico,un_solo_resultado
US195325EG61,1,0,0,1,1,1,unico,un_solo_resultado
US195325EL56,1,0,0,1,1,1,unico,un_solo_resultado
US195325EM30,1,0,0,1,1,1,unico,un_solo_resultado
US195325ES00,1,0,0,1,1,1,unico,un_solo_resultado
US2330518794,111,1,23,1,7,1,ambiguedad_benigna,misma_shareclass_figi
US2332033719,1,1,1,1,1,1,unico,un_solo_resultado
US2332034139,1,1,1,1,1,1,unico,un_solo_resultado
US2332034212,1,1,1,1,1,1,unico,un_solo_resultado
US2332038197,1,1,1,1,1,1,unico,un_solo_resultado
US2332038270,1,1,1,1,1,1,unico,un_solo_resultado
US2332038437,1,1,1,1,1,1,unico,un_solo_resultado
US2547091080,10,1,8,1,5,1,ambiguedad_benigna,misma_shareclass_figi
US26875P1012,142,1,41,1,12,1,ambiguedad_benigna,misma_shareclass_figi
US279158AE95,1,0,0,1,1,1,unico,un_solo_resultado
US279158AJ82,1,0,0,1,1,1,unico,un_solo_resultado
US279158AS81,1,0,0,1,1,1,unico,un_solo_resultado
US279158AT64,1,0,0,1,1,1,unico,un_solo_resultado
US279158AV11,1,0,0,1,1,1,unico,un_solo_resultado
US33733E2037,84,1,11,1,5,1,ambiguedad_benigna,misma_shareclass_figi
US33733E3027,88,1,15,1,5,1,ambiguedad_benigna,misma_shareclass_figi
US33734X1274,44,1,6,1,3,1,ambiguedad_benigna,misma_shareclass_figi
US33734X1928,95,1,20,1,7,1,ambiguedad_benigna,misma_shareclass_figi
US33737J1824,86,1,15,1,5,1,ambiguedad_benigna,misma_shareclass_figi
US33738R7044,39,1,4,1,2,1,ambiguedad_benigna,misma_shareclass_figi
US33741X1028,23,1,4,1,2,1,ambiguedad_benigna,misma_shareclass_figi
US3444191064,91,1,15,1,6,1,ambiguedad_benigna,misma_shareclass_figi
US37950E2596,93,1,17,1,5,1,ambiguedad_benigna,misma_shareclass_figi
US37954Y3190,77,1,18,1,6,1,ambiguedad_benigna,misma_shareclass_figi
US37954Y8306,102,1,15,1,6,1,ambiguedad_benigna,misma_shareclass_figi
US37954Y8488,118,1,23,1,8,1,ambiguedad_benigna,misma_shareclass_figi
US37954Y8710,101,1,23,1,9,1,ambiguedad_benigna,misma_shareclass_figi
US4062161017,176,1,53,1,13,1,ambiguedad_benigna,misma_shareclass_figi
