afp,baseline,fecha_hoy_simulada,segmento,fecha_ultima_cuota_visible,cuotas_ocultas_estimadas,cuota_ultima_visible,cuota_estimada_hoy,cuota_real_hoy,error_pct,error_abs_pct,retorno_estimado_acumulado,retorno_real_acumulado
Habitat,RETORNO_CERO,2015-05-27,entrenamiento,2015-05-22,3,11.5943261,11.5943261,11.6000789,-0.0004959276613195618,0.0004959276613195618,0.0,0.0004961737275959166
Habitat,RETORNO_CERO,2015-05-28,entrenamiento,2015-05-22,4,11.5943261,11.5943261,11.571631,0.00196127062814222,0.00196127062814222,0.0,-0.0019574315750874316
Habitat,RETORNO_CERO,2015-05-29,entrenamiento,2015-05-22,5,11.5943261,11.5943261,11.527805,0.0057704914335381385,0.0057704914335381385,0.0,-0.005737383908841376
Habitat,RETORNO_CERO,2015-06-01,entrenamiento,2015-05-27,3,11.6000789,11.6000789,11.5409036,0.005127440801082406,0.005127440801082406,0.0,-0.005101284267988837
Habitat,RETORNO_CERO,2015-06-02,entrenamiento,2015-05-28,3,11.571631,11.571631,11.5091664,0.005427378302567565,0.005427378302567565,0.0,-0.005398080875548161
Habitat,RETORNO_CERO,2015-06-03,entrenamiento,2015-05-29,3,11.527805,11.527805,11.4984319,0.0025545309356487245,0.0025545309356487245,0.0,-0.0025480219347916444
Habitat,RETORNO_CERO,2015-06-04,entrenamiento,2015-05-29,4,11.527805,11.527805,11.4123599,0.010115795594564103,0.010115795594564103,0.0,-0.010014491050117535
Habitat,RETORNO_CERO,2015-06-05,entrenamiento,2015-05-29,5,11.527805,11.527805,11.42538,0.008964690889931015,0.008964690889931015,0.0,-0.008885039259425409
Habitat,RETORNO_CERO,2015-06-08,entrenamiento,2015-06-03,3,11.4984319,11.4984319,11.3634892,0.01187511138744246,0.01187511138744246,0.0,-0.011735748071874053
Habitat,RETORNO_CERO,2015-06-09,entrenamiento,2015-06-04,3,11.4123599,11.4123599,11.3184982,0.008292769795201327,0.008292769795201327,0.0,-0.008224565367939363
Habitat,RETORNO_CERO,2015-06-10,entrenamiento,2015-06-05,3,11.42538,11.42538,11.397383,0.0024564410970484563,0.0024564410970484563,0.0,-0.002450421780282208
Habitat,RETORNO_CERO,2015-06-11,entrenamiento,2015-06-05,4,11.42538,11.42538,11.4407966,-0.0013475110640459587,0.0013475110640459587,0.0,0.0013493293002071471
Habitat,RETORNO_CERO,2015-06-12,entrenamiento,2015-06-05,5,11.42538,11.42538,11.4184006,0.0006112414728207671,0.0006112414728207671,0.0,-0.0006108680849127301
Habitat,RETORNO_CERO,2015-06-15,entrenamiento,2015-06-10,3,11.397383,11.397383,11.3771405,0.0017792256323105882,0.0017792256323105882,0.0,-0.0017760656108511963
Habitat,RETORNO_CERO,2015-06-16,entrenamiento,2015-06-11,3,11.4407966,11.4407966,11.3819428,0.005170804407838014,0.005170804407838014,0.0,-0.005144204731338475
Habitat,RETORNO_CERO,2015-06-17,entrenamiento,2015-06-12,3,11.4184006,11.4184006,11.4049625,0.0011782677935152641,0.0011782677935152641,0.0,-0.0011768811124037715
Habitat,RETORNO_CERO,2015-06-18,entrenamiento,2015-06-12,4,11.4184006,11.4184006,11.4704441,-0.00453718265363412,0.00453718265363412,0.0,0.004557862508344668
Habitat,RETORNO_CERO,2015-06-19,entrenamiento,2015-06-12,5,11.4184006,11.4184006,11.4616847,-0.00377641691713948,0.00377641691713948,0.0,0.0037907323027359663
Habitat,RETORNO_CERO,2015-06-22,entrenamiento,2015-06-17,3,11.4049625,11.4049625,11.5588336,-0.013311991964310321,0.013311991964310321,0.0,0.013491591927636826
Habitat,RETORNO_CERO,2015-06-23,entrenamiento,2015-06-18,3,11.4704441,11.4704441,11.6450439,-0.014993485769512538,0.014993485769512538,0.0,0.015221712296213497
Habitat,RETORNO_CERO,2015-06-24,entrenamiento,2015-06-19,3,11.4616847,11.4616847,11.5812398,-0.010323169372591812,0.010323169372591812,0.0,0.01043084879136491
Habitat,RETORNO_CERO,2015-06-25,entrenamiento,2015-06-19,4,11.4616847,11.4616847,11.5570181,-0.008248961728285376,0.008248961728285376,0.0,0.008317573070213857
Habitat,RETORNO_CERO,2015-06-26,entrenamiento,2015-06-19,5,11.4616847,11.4616847,11.5682325,-0.009210378508557882,0.009210378508557882,0.0,0.00929599817032134
Habitat,RETORNO_CERO,2015-06-29,entrenamiento,2015-06-24,3,11.5812398,11.5812398,11.5566677,0.0021262270957225216,0.0021262270957225216,0.0,-0.002121715846001293
Habitat,RETORNO_CERO,2015-06-30,entrenamiento,2015-06-25,3,11.5570181,11.5570181,11.3931147,0.01438618010226822,0.01438618010226822,0.0,-0.014182153093625471
Habitat,RETORNO_CERO,2015-07-01,entrenamiento,2015-06-26,3,11.5682325,11.5682325,11.4391352,0.011285582147853246,0.011285582147853246,0.0,-0.011159639123781373
