fecha_cartera,afp,suma_componentes_pct,participacion_no_mapeada_pct,numero_componentes,categorias_economicas,desvio_vs_100_pct,estado_suma,estado_mapeo,estado_general
2017-02-28,Habitat,100.0,60.61010771542197,35,16,0.0,correcto,revisar,revisar
2017-02-28,Integra,100.00000000000004,60.19920415198169,35,16,4.263256414560601e-14,correcto,revisar,revisar
2017-02-28,Prima,100.0,70.4107965078549,35,16,0.0,correcto,revisar,revisar
2017-02-28,Profuturo,99.99999999999999,66.01178985982229,36,16,-1.4210854715202004e-14,correcto,revisar,revisar
2017-03-31,Habitat,100.0,61.1088434660513,35,16,0.0,correcto,revisar,revisar
2017-03-31,Integra,100.0,61.79099370751964,35,16,0.0,correcto,revisar,revisar
2017-03-31,Prima,99.99999999999999,70.11996615890997,35,16,-1.4210854715202004e-14,correcto,revisar,revisar
2017-03-31,Profuturo,100.0,68.66270453025965,36,16,0.0,correcto,revisar,revisar
2017-04-30,Habitat,100.0,61.245050256112634,35,16,0.0,correcto,revisar,revisar
2017-04-30,Integra,100.0,64.33190845166723,35,16,0.0,correcto,revisar,revisar
2017-04-30,Prima,100.0,70.15570081298917,35,16,0.0,correcto,revisar,revisar
2017-04-30,Profuturo,100.0,67.89677643372481,36,16,0.0,correcto,revisar,revisar
2017-05-31,Habitat,99.99999999999999,61.020953505028,35,16,-1.4210854715202004e-14,correcto,revisar,revisar
2017-05-31,Integra,100.0,66.17574838045739,35,16,0.0,correcto,revisar,revisar
2017-05-31,Prima,99.99999999999997,68.91269248499589,35,16,-2.842170943040401e-14,correcto,revisar,revisar
2017-05-31,Profuturo,100.0,69.49393777621513,36,16,0.0,correcto,revisar,revisar
2017-06-30,Habitat,99.99999999999999,62.94377225080727,35,16,-1.4210854715202004e-14,correcto,revisar,revisar
2017-06-30,Integra,99.99999999999999,65.37775413190533,35,16,-1.4210854715202004e-14,correcto,revisar,revisar
2017-06-30,Prima,100.0,71.20073871397715,35,16,0.0,correcto,revisar,revisar
2017-06-30,Profuturo,100.00000000000003,70.9923885787396,36,16,2.842170943040401e-14,correcto,revisar,revisar
2017-07-31,Habitat,100.00000000000003,64.02105632401503,35,16,2.842170943040401e-14,correcto,revisar,revisar
2017-07-31,Integra,100.0,66.52054918152197,35,16,0.0,correcto,revisar,revisar
2017-07-31,Prima,99.99999999999999,72.04774459457913,35,16,-1.4210854715202004e-14,correcto,revisar,revisar
2017-07-31,Profuturo,100.0,71.67672346742582,36,16,0.0,correcto,revisar,revisar
2017-08-31,Habitat,100.0,60.94190401336623,35,16,0.0,correcto,revisar,revisar
2017-08-31,Integra,99.99999999999999,66.92346695217466,35,16,-1.4210854715202004e-14,correcto,revisar,revisar
2017-08-31,Prima,100.0,72.36417502638331,35,16,0.0,correcto,revisar,revisar
2017-08-31,Profuturo,100.0,71.61934383309588,36,16,0.0,correcto,revisar,revisar
2017-09-30,Habitat,99.99999999999999,61.93261979971722,35,16,-1.4210854715202004e-14,correcto,revisar,revisar
2017-09-30,Integra,100.00000000000001,66.82293927824347,36,16,1.4210854715202004e-14,correcto,revisar,revisar
2017-09-30,Prima,100.0,71.05893326000512,35,16,0.0,correcto,revisar,revisar
2017-09-30,Profuturo,100.0,70.77548955772782,36,16,0.0,correcto,revisar,revisar
2017-10-31,Habitat,99.99999999999999,61.45980595714201,35,16,-1.4210854715202004e-14,correcto,revisar,revisar
2017-10-31,Integra,100.0,64.0551411456211,36,16,0.0,correcto,revisar,revisar
2017-10-31,Prima,99.99999999999999,67.68723624738426,35,16,-1.4210854715202004e-14,correcto,revisar,revisar
2017-10-31,Profuturo,100.0,66.99237884373332,36,16,0.0,correcto,revisar,revisar
2017-11-30,Habitat,99.99999999999999,61.67124572884447,35,16,-1.4210854715202004e-14,correcto,revisar,revisar
2017-11-30,Integra,99.99999999999999,65.22918156313133,36,16,-1.4210854715202004e-14,correcto,revisar,revisar
2017-11-30,Prima,100.0,68.66659883185714,35,16,0.0,correcto,revisar,revisar
2017-11-30,Profuturo,100.00000000000001,66.11073051787264,36,16,1.4210854715202004e-14,correcto,revisar,revisar
2017-12-31,Habitat,99.99999478651964,94.51192302755042,43,7,-5.2134803638637095e-06,correcto,revisar,revisar
2017-12-31,Integra,99.9999990766814,91.9719706144441,43,7,-9.233185949142353e-07,correcto,revisar,revisar
2017-12-31,Prima,99.99999924507381,93.10798779021638,43,7,-7.549261908934568e-07,correcto,revisar,revisar
2017-12-31,Profuturo,99.99999838085644,92.70028447461621,43,7,-1.6191435605605875e-06,correcto,revisar,revisar
2018-01-31,Habitat,99.99999181289354,91.57568150088093,43,7,-8.187106459445204e-06,correcto,revisar,revisar
2018-01-31,Integra,99.99999899273676,91.14153279379047,43,7,-1.007263236374456e-06,correcto,revisar,revisar
2018-01-31,Prima,99.999999388639,90.5542704828584,43,7,-6.113610027114191e-07,correcto,revisar,revisar
2018-01-31,Profuturo,99.99999859210438,90.7548437123999,43,7,-1.4078956240837215e-06,correcto,revisar,revisar
2018-02-28,Habitat,99.99999999999999,60.98917386860456,42,17,-1.4210854715202004e-14,correcto,revisar,revisar
2018-02-28,Integra,99.99999999999886,63.21600280639845,42,17,-1.1368683772161603e-12,correcto,revisar,revisar
2018-02-28,Prima,99.99999999999999,68.61447119161548,42,17,-1.4210854715202004e-14,correcto,revisar,revisar
2018-02-28,Profuturo,100.0000000000016,66.88240759117176,42,17,1.6058265828178264e-12,correcto,revisar,revisar
2018-03-31,Habitat,100.0,61.14811238873191,42,17,0.0,correcto,revisar,revisar
2018-03-31,Integra,99.99999999999882,62.60648291884275,42,17,-1.1795009413617663e-12,correcto,revisar,revisar
2018-03-31,Prima,100.00000000000126,65.34374293631785,42,17,1.2647660696529783e-12,correcto,revisar,revisar
2018-03-31,Profuturo,99.99999999999673,67.22346587370363,42,17,-3.268496584496461e-12,correcto,revisar,revisar
2018-04-30,Habitat,99.99999999998995,62.29438248208162,42,17,-1.0047074283647817e-11,correcto,revisar,revisar
2018-04-30,Integra,100.00000000000114,62.2525365194557,42,17,1.1368683772161603e-12,correcto,revisar,revisar
2018-04-30,Prima,100.00000000000126,66.46830354875443,42,17,1.2647660696529783e-12,correcto,revisar,revisar
2018-04-30,Profuturo,99.99999999999838,66.69508801186974,42,17,-1.6200374375330284e-12,correcto,revisar,revisar
2018-05-31,Habitat,99.99999999999032,59.42179152086438,42,17,-9.677592061052565e-12,correcto,revisar,revisar
2018-05-31,Integra,100.00000000000232,64.97901735014646,42,17,2.3163693185779266e-12,correcto,revisar,revisar
2018-05-31,Prima,100.0,67.70658591930096,42,17,0.0,correcto,revisar,revisar
2018-05-31,Profuturo,99.99999999999679,67.30602616161559,42,17,-3.211653165635653e-12,correcto,revisar,revisar
2018-06-29,Habitat,99.99999999998099,60.647453025426,42,17,-1.901412360894028e-11,correcto,revisar,revisar
2018-06-29,Integra,100.00000000000118,63.599071974800104,42,17,1.1795009413617663e-12,correcto,revisar,revisar
2018-06-29,Prima,100.0,65.67111109118495,42,17,0.0,correcto,revisar,revisar
2018-06-29,Profuturo,99.99999999999834,68.02715854128974,42,17,-1.6626700016786344e-12,correcto,revisar,revisar
2018-07-31,Habitat,99.99999999999099,56.563181719462406,42,17,-9.00968188943807e-12,correcto,revisar,revisar
2018-07-31,Integra,99.99999999999883,64.56155016366456,42,17,-1.1652900866465643e-12,correcto,revisar,revisar
2018-07-31,Prima,100.0000000000013,65.36234320873145,42,17,1.2931877790833823e-12,correcto,revisar,revisar
2018-07-31,Profuturo,99.99999999999675,66.68611780190813,42,17,-3.254285729781259e-12,correcto,revisar,revisar
2018-08-31,Habitat,100.00000000000001,59.091691893073005,42,17,1.4210854715202004e-14,correcto,revisar,revisar
2018-08-31,Integra,99.9999999999988,65.60197854889313,42,17,-1.1937117960769683e-12,correcto,revisar,revisar
2018-08-31,Prima,100.00000000000135,69.1003934450563,42,17,1.3500311979441904e-12,correcto,revisar,revisar
2018-08-31,Profuturo,100.0,67.5954789156433,42,17,0.0,correcto,revisar,revisar
2018-09-28,Habitat,100.0000000000088,63.11885088392184,42,17,8.79651906871004e-12,correcto,revisar,revisar
2018-09-28,Integra,99.99999999999642,65.55493582770164,42,17,-3.581135388230905e-12,correcto,revisar,revisar
2018-09-28,Prima,99.99999999999999,67.98263736597077,42,17,-1.4210854715202004e-14,correcto,revisar,revisar
