anio,mes,archivo,hoja,fila_excel_aprox,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37
2026,1,CA-0001-en2026.XLS,1,21,ACCIONES DEL TRABAJO,0,,16255.63834,0.009734538803990247,341879.68455,0.02606380895527711,319422.58357,0.06406088860328092,0,,79410.313477,0.010207003323138387,960212.705404,0.035472563110167755,206036.20334199996,0.06064091399437098,0,,26327.67359,0.00546522353203829,256043.14146,0.01964006470673973,179050.14472,0.05031487293217389,0,,93361.89140000001,0.013747855913767135,926428.61999,0.04229848745521739,214812.10111000002,0.07130805599272212,3619240.7009529998,0.03064266408198566,,
2026,1,CA-0001-en2026.XLS,1,22,VALOR REP.DERECHO SOBRE ACC. EMP.NAC.,0,,5934.6951560064,0.0035539373525455328,548852.6059484924,0.041842759638896755,292233.3508351452,0.058608029290800556,0,,38750.07767239241,0.0049807405896784025,1012599.8228161049,0.03740786902530746,203142.91998224877,0.05978935808072999,0,,8412.9567559833,0.001746401522323813,112816.6444027934,0.00865372211664673,60217.975154492306,0.016921850428376937,0,,58047.25509304319,0.008547655657379315,1037463.3205259328,0.04736806301276402,220305.99206087037,0.07313178324792904,3598777.616403505,0.030469411326023252,,
2026,1,CA-0001-en2026.XLS,1,23,BONOS DE EMPRESAS PRIVADAS,,,129290.48662746981,0.0774244131628415,249297.4450403356,0.019005636410138083,788.4136522,0.00015811805972642444,0,0,831139.6745677963,0.10683052425882636,759854.6154436339,0.02807085414427622,0,0,0,0,542723.3955546606,0.1126611002158454,811471.122324762,0.0622447657032783,0,0,0,0,774700.9744208597,0.11407735225673649,1000864.9376933913,0.04569706947508575,11663.161212,0.0038716503793776464,5111794.226537108,0.043279518076475273,,
2026,1,CA-0001-en2026.XLS,1,24,BONO PARA NUEVOS PROYECTOS,0,,0,,0,,0,,0,,21578.658361283102,0.0027736124938768517,246617.88973941698,0.009110657054050493,0,,0,,33236.0410239906,0.006899295256573539,123062.424657789,0.009439635717111542,7658.4062061438,0.0021520883757322955,0,,2225.6588944062,0.0003277358388381011,145593.44176229,0.006647443998449251,40979.333906880296,0.013603314811766175,620951.8545522,0.005257351102710253,,
2026,1,CA-0001-en2026.XLS,1,25,PAPELES COMERCIALES,0,,0,,0,,0,,9617.654786085,0.003373671293808545,0,,0,,0,,0,,0,,0,,0,,115556.544026305,0.05610932757455067,0,,0,,0,,125174.19881239,0.0010597998980641894,,
2026,1,CA-0001-en2026.XLS,1,26,4. Administradoras de Fondos,13482.601799932,0.05007241157455546,66380.8513467186,0.03975155941347921,207608.5382664596,0.01582740807188843,75342.9685869638,0.015110194976656272,0,,42376.8386356723,0.005446906249824655,735921.1075989438,0.02718669289261764,179691.6989551299,0.052887156165234844,0,,251508.90880132985,0.05220941387773794,1168844.0338177187,0.0896574394665165,350840.03455901984,0.09858954197418637,0,,128677.56323042288,0.018948208654505836,550332.553699464,0.025126851779585346,106286.78094319279,0.035282480305438235,3877294.480240968,0.032827502264128644,,
2026,1,CA-0001-en2026.XLS,1,27,FONDOS MUTUOS DEL EXT - ETF DEL MERCADO LOCAL,0,,0,,0,,0,,0,,0,,70.2921808,2.596761952374115e-06,33334.827152,0.0098111611141768,0,,0,,481539.6470928,0.03693701683956525,277315.778352,0.07792849411927456,0,,0,,0,,0,,792260.5447776001,0.006707753295501586,,
2026,1,CA-0001-en2026.XLS,1,28,FONDO MUTUO ALTERNATIVO DEL EXTRANJERO - LÍMITE LOCAL,0,,0,,0,,0,,0,,0,,44270.4907412084,0.001635458235344727,27631.7220161843,0.00813261383737714,0,,0,,34754.4054650571,0.0026658740721810167,14894.7442513407,0.004185571396970357,0,,0,,33099.4342245096,0.0015112400168890774,33099.4342245096,0.010987538862161793,187750.23092280971,0.001589606144727539,,
2026,1,CA-0001-en2026.XLS,1,29,FONDO DE INVERSION TRADICIONAL,13482.601799932,0.05007241157455546,66380.8513467186,0.03975155941347921,170463.9519075796,0.01299562412469384,75342.9685869638,0.015110194976656272,0,,42376.8386356723,0.005446906249824655,87769.76572932472,0.0032424259088387804,19509.933,0.005742195545727026,0,,251495.79477257785,0.05220669160536206,394063.931471843,0.03022709793579193,0,,0,,128677.56323042288,0.018948208654505836,293866.6456365944,0.013417239445927818,166.8340484,5.538147806071572e-05,1543597.6801660296,0.013069024444438079,,
2026,1,CA-0001-en2026.XLS,1,30,FONDO DE INVERSION ALTERNATIVO,0,,0,,37144.58635888,0.0028317839471945906,0,,0,,0,,474823.83009852754,0.0175411324851143,99215.2167869456,0.029201185667953874,0,,13.114028752,2.7222723758805585e-06,258486.0497880184,0.019827450618978316,58629.5119556792,0.016475476457941444,0,,0,,223366.47383836,0.010198372316768449,73020.51267028319,0.024239559965215728,1224699.2955254458,0.010369039313784524,,
2026,1,CA-0001-en2026.XLS,1,31,FONDO MUTUO,0,,0,,0,,0,,0,,0,,128986.72884908301,0.00476507950136746,0,,0,,0,,0,,0,,0,,0,,0,,0,,128986.72884908301,0.001092079065676916,,
2026,1,CA-0001-en2026.XLS,1,32,5. Sociedades Titulizadoras,0,,55015.4895252086,0.03294551751227397,240967.4068308492,0.018370581055012238,375.2753148686,7.526227442240381e-05,0,,252439.81616804915,0.032447347576155965,207185.45522745693,0.007653928233508026,0,,61635.182784701494,0.03436869093825126,197334.461227786,0.04096362473871713,659207.399655339,0.05056521299718199,104174.8125256996,0.02927415927622051,3290.325,0.0015976414387203158,69346.5263572025,0.010211511765485449,156377.04383564,0.007139797156781702,0,,2007349.1944528015,0.01699542311310355,,
2026,1,CA-0001-en2026.XLS,1,33,PAPELES COMERCIALES TITULIZADOS,0,,0,,0,,0,,0,,0,,0,,0,,16498.3310135515,0.009199713767093085,0,,0,,0,,3290.325,0.0015976414387203158,0,,0,,0,,19788.6560135515,0.0001675426391777579,,
2026,1,CA-0001-en2026.XLS,1,34,TITULOS CON DERECHO DE PARTICIPACION,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,267799.94903200003,0.020541883283648733,104144.412742,0.029265616634401352,0,,0,,0,,0,,371944.361774,0.0031491042118387247,,
