archivo,hoja,fila_excel_aprox,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37
CA-0001-no2025.XLS,3,573,MONEDA ASSET MANAGEMENT,0,,31528.4317311728,0.019055342056450496,68105.4151892121,0.005218129954130011,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,99633.8469203849,0.000835296321005037,,
CA-0001-no2025.XLS,3,574,FONDOS MUTUOS DEL EXTRANJERO,0,,31528.4317311728,0.019055342056450496,68105.4151892121,0.005218129954130011,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,99633.8469203849,0.000835296321005037,,
CA-0001-no2025.XLS,3,575,Moneda Latam High Yield Credit Fund PLC,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,119592.59358249199,0.017851063040167828,461477.965217715,0.020576261259980508,0,,581070.558800207,0.004871498140566617,,
CA-0001-no2025.XLS,3,576,FONDOS MUTUOS DEL EXTRANJERO,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,119592.59358249199,0.017851063040167828,461477.965217715,0.020576261259980508,0,,581070.558800207,0.004871498140566617,,
CA-0001-no2025.XLS,3,577,Moneda S.A. Administradora General de Fondos,0,,28734.7891117856,0.017366903628881387,171789.077147105,0.013162209301025634,0,,0,,147855.02472318403,0.019048269337123187,0.2925672916,1.0278905359475563e-08,0,,0,,70291.9249125244,0.014383815823418815,138190.941947052,0.010117823335461221,0,,0,,140594.382247546,0.02098590811865976,11541.1945190368,0.0005145958237982631,0,,708997.6271755254,0.005943995217350675,,
CA-0001-no2025.XLS,3,578,FONDOS MUTUOS DEL EXTRANJERO,0,,28734.7891117856,0.017366903628881387,171789.077147105,0.013162209301025634,0,,0,,147855.02472318403,0.019048269337123187,0.2925672916,1.0278905359475563e-08,0,,0,,70291.9249125244,0.014383815823418815,138190.941947052,0.010117823335461221,0,,0,,140594.382247546,0.02098590811865976,11541.1945190368,0.0005145958237982631,0,,708997.6271755254,0.005943995217350675,,
CA-0001-no2025.XLS,3,579,Morgan Stanley Infrastructure III Investors G,0,,0,,104276.56507439201,0.007989506652543868,11586.2922201659,0.002675674061807977,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,115862.85729455789,0.0009713548300168551,,
CA-0001-no2025.XLS,3,580,Fondo Mutuo Alternativo Extranjero,0,,0,,104276.56507439201,0.007989506652543868,11586.2922201659,0.002675674061807977,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,115862.85729455789,0.0009713548300168551,,
CA-0001-no2025.XLS,3,581,"MREP-SCIF II GP, L.P.",0,,0,,15749.8078005163,0.00120672553903882,5249.934889493799,0.0012123908445490729,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,20999.7426900101,0.0001760547078447595,,
CA-0001-no2025.XLS,3,582,Fondo Mutuo Alternativo Extranjero,0,,0,,15749.8078005163,0.00120672553903882,5249.934889493799,0.0012123908445490729,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,20999.7426900101,0.0001760547078447595,,
CA-0001-no2025.XLS,3,583,MSIM Fund Management (Ireland) Limited,0,,255.1149509602,0.0001541878992177951,0.4048421557,3.1018370176346257e-08,1746.2899903768,0.00040327852455797987,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2001.8097834927,1.678249309031982e-05,,
CA-0001-no2025.XLS,3,584,FONDOS MUTUOS DEL EXTRANJERO,0,,255.1149509602,0.0001541878992177951,0.4048421557,3.1018370176346257e-08,1746.2899903768,0.00040327852455797987,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2001.8097834927,1.678249309031982e-05,,
CA-0001-no2025.XLS,3,585,"NB Private Debt Associates III, LP",0,,0,,29795.4156917715,0.0022828779574287903,9931.795106722699,0.002293593675118683,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,39727.2107984942,0.0003330594376255526,,
CA-0001-no2025.XLS,3,586,Fondo Mutuo Alternativo Extranjero,0,,0,,29795.4156917715,0.0022828779574287903,9931.795106722699,0.002293593675118683,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,39727.2107984942,0.0003330594376255526,,
CA-0001-no2025.XLS,3,587,Neuberger Berman Asset Management Ireland Ltd,0,,0,,0,,0,,0,,72144.2775621296,0.009294399244857967,2587.6514872772,9.091318648632056e-05,0,,0,,0,,0,,0,,0,,0,,0,,0,,74731.9290494068,0.000626527102245284,,
CA-0001-no2025.XLS,3,588,FONDOS MUTUOS DEL EXTRANJERO,0,,0,,0,,0,,0,,72144.2775621296,0.009294399244857967,2587.6514872772,9.091318648632056e-05,0,,0,,0,,0,,0,,0,,0,,0,,0,,74731.9290494068,0.000626527102245284,,
CA-0001-no2025.XLS,3,589,Neuberger Berman Europe Limited,0,,27072.420086302198,0.01636219109910101,61765.669127046,0.0047323885672423665,0,,0,,0,,0,,0,,0,,236000.89144198303,0.04829279267694806,119518.922056064,0.008750727953438139,0,,0,,30584.44569492,0.004565206354288265,0,,0,,474942.3484063152,0.003981755282723304,,
CA-0001-no2025.XLS,3,590,FONDOS MUTUOS DEL EXTRANJERO,0,,27072.420086302198,0.01636219109910101,61765.669127046,0.0047323885672423665,0,,0,,0,,0,,0,,0,,236000.89144198303,0.04829279267694806,119518.922056064,0.008750727953438139,0,,0,,30584.44569492,0.004565206354288265,0,,0,,474942.3484063152,0.003981755282723304,,
CA-0001-no2025.XLS,3,591,Ninety One Global Natural Resources,0,,54.100562880700004,3.269762162381743e-05,0.183621816,1.4068815168945953e-08,23616.6016046768,0.0054538869848029395,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,23670.885789373504,0.0001984486640427887,,
CA-0001-no2025.XLS,3,592,FONDOS MUTUOS DEL EXTRANJERO,0,,54.100562880700004,3.269762162381743e-05,0.183621816,1.4068815168945953e-08,23616.6016046768,0.0054538869848029395,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,23670.885789373504,0.0001984486640427887,,
CA-0001-no2025.XLS,3,593,Nomura Asset Management UK Ltd.,0,,4.1039316264,2.4803587309424427e-06,2.7042415352,2.0719473949062486e-07,1.2558847575,2.9002706011627204e-07,0,,1.458807101,1.8793916962092047e-07,1.458807101,5.1252961487612555e-08,0,,0,,0,,0,,0,,0,,0,,58501.5569120136,0.002608452428642635,14470.7868048744,0.005180224531256508,72983.3253890091,0.0006118674032617318,,
CA-0001-no2025.XLS,3,594,FONDOS MUTUOS DEL EXTRANJERO,0,,4.1039316264,2.4803587309424427e-06,2.7042415352,2.0719473949062486e-07,1.2558847575,2.9002706011627204e-07,0,,1.458807101,1.8793916962092047e-07,1.458807101,5.1252961487612555e-08,0,,0,,0,,0,,0,,0,,0,,58501.5569120136,0.002608452428642635,14470.7868048744,0.005180224531256508,72983.3253890091,0.0006118674032617318,,
CA-0001-no2025.XLS,3,595,NS Partners Europe S.A.,0,,0.955756084,5.776455758548499e-07,49634.394724482096,0.003802909374348224,20132.00123284,0.004649172702311223,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,69767.3517134061,0.0005849057726240352,,
