afp,modelo,factor,coeficiente_estandarizado,coeficiente_abs,ranking
Prima,Ridge,ret_MCHI,0.0005053704680598279,0.0005053704680598279,7
Prima,Ridge,ret_TLT,-0.00047867514358978017,0.00047867514358978017,8
Prima,Ridge,ret_GLD,-0.00044636173207010835,0.00044636173207010835,9
Prima,Ridge,ret_XLE,0.0003940469534813302,0.0003940469534813302,10
Prima,Ridge,ret_EEM,0.00038698384693921345,0.00038698384693921345,11
Prima,Ridge,ret_VGK,0.00036383930044055473,0.00036383930044055473,12
Prima,Ridge,ret_XLI,0.0003574641853579311,0.0003574641853579311,13
Prima,Ridge,ret_XLP,-0.0003429999396764076,0.0003429999396764076,14
Prima,Ridge,ret_ACWI,0.0002201959047411474,0.0002201959047411474,15
Prima,Ridge,ret_CPER,-0.00020614511311132922,0.00020614511311132922,16
Prima,Ridge,ret_XLB,-0.00016076635942854453,0.00016076635942854453,17
Prima,Ridge,ret_XLY,0.00014873966602529842,0.00014873966602529842,18
Prima,Ridge,ret_COPX,0.0001456735753914041,0.0001456735753914041,19
Prima,Ridge,ret_LQD,0.00012032806699268073,0.00012032806699268073,20
Prima,Ridge,ret_QQQ,0.00010079732014449851,0.00010079732014449851,21
Prima,Ridge,ret_XLV,9.542611960567907e-05,9.542611960567907e-05,22
Prima,Ridge,ret_DX_Y_NYB,8.941508336471647e-05,8.941508336471647e-05,23
Prima,Ridge,ret_ILF,-7.7387795360255e-05,7.7387795360255e-05,24
Prima,Ridge,ret_SPY,-3.56306860553518e-05,3.56306860553518e-05,25
Prima,Ridge,ret_XLK,2.8215190964669845e-05,2.8215190964669845e-05,26
Prima,Ridge,ret_USO,5.033330601550454e-06,5.033330601550454e-06,27
Prima,ElasticNet,ret_EPU,0.0019621229809168752,0.0019621229809168752,1
Prima,ElasticNet,ret_PEN_X,-0.001675386135593766,0.001675386135593766,2
Prima,ElasticNet,ret_HYG,-0.001185327375387799,0.001185327375387799,3
Prima,ElasticNet,ret_EWJ,0.0007470258274852422,0.0007470258274852422,4
Prima,ElasticNet,ret_XLF,0.0006220431921937718,0.0006220431921937718,5
Prima,ElasticNet,ret_MCHI,0.0005981241972970345,0.0005981241972970345,6
