id_instrumento,nivel_1,nivel_2,nivel_3,descripcion,ruta_jerarquica,primera_fecha,ultima_fecha,meses_presentes,afp_presentes,participacion_mediana_pct,participacion_max_abs_pct,observaciones
76,I. INVERSIONES LOCALES,3. Empresas no Financieras,Pagarés LP,Pagarés LP,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Pagarés LP,2015-01-30,2026-05-31,135,4,0.0,0.0,540
77,I. INVERSIONES LOCALES,3. Empresas no Financieras,Papeles Comerciales,Papeles Comerciales,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Papeles Comerciales,2015-01-30,2026-05-31,135,4,0.0,0.0,540
78,II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Títulos de Deuda Emitidos por Organismo Internacional,Títulos de Deuda Emitidos por Organismo Internacional,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Títulos de Deuda Emitidos por Organismo Internacional,2015-01-30,2026-05-31,135,4,0.0,0.0,540
79,II. INVERSIONES EN EL EXTERIOR,5. Sociedades Titulizadoras,Bonos de Titulización,Bonos de Titulización,II. INVERSIONES EN EL EXTERIOR > 5. Sociedades Titulizadoras > Bonos de Titulización,2015-01-30,2026-05-31,135,4,0.0,0.0,540
80,I. INVERSIONES LOCALES,1. Gobierno,Certificados y Depósitos a Plazo del BCRP (1),Certificados y Depósitos a Plazo del BCRP (1),I. INVERSIONES LOCALES > 1. Gobierno > Certificados y Depósitos a Plazo del BCRP (1),2015-01-30,2025-07-31,125,4,0.0,0.0,500
81,I. INVERSIONES LOCALES,1. Gobierno,Bonos Brady,Bonos Brady,I. INVERSIONES LOCALES > 1. Gobierno > Bonos Brady,2018-02-28,2026-05-31,100,4,0.0,0.0,400
82,I. INVERSIONES LOCALES,2. Sistema Financiero,Letras Hipotecarias,Letras Hipotecarias,I. INVERSIONES LOCALES > 2. Sistema Financiero > Letras Hipotecarias,2018-02-28,2026-05-31,100,4,0.0,0.0,400
83,I. INVERSIONES LOCALES,2. Sistema Financiero,Papeles Comerciales,Papeles Comerciales,I. INVERSIONES LOCALES > 2. Sistema Financiero > Papeles Comerciales,2018-02-28,2026-05-31,100,4,0.0,0.0,400
84,I. INVERSIONES LOCALES,5. Sociedades Titulizadoras,Papel Comercial,Papel Comercial,I. INVERSIONES LOCALES > 5. Sociedades Titulizadoras > Papel Comercial,2020-09-30,2026-05-31,69,4,0.0,0.0,276
85,II. INVERSIONES EN EL EXTERIOR,3. Empresas no Financieras,Depósitos del Extranjero,Depósitos del Extranjero,II. INVERSIONES EN EL EXTERIOR > 3. Empresas no Financieras > Depósitos del Extranjero,2022-03-31,2026-05-31,51,4,0.0,0.0,204
