fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,grupo,entidad_administradora,isin,moneda,seccion,estado_identificacion,instrumento_sin_isin,estado_refinado,fila_instrumento_origen,total_refinado,participacion_hoja10_refinada_pct,participacion_reportada_pct,periodo,identificador_final,tipo_identificador,valor_redondeado,monto_hojas_miles_soles,total_exterior_miles_soles,total_fondo_miles_soles,ratio_cobertura_exterior,error_cobertura_pct,factor_reescala,estado_cobertura,elegible_modelo_principal,elegible_analisis_ampliado,peso_dentro_hojas,valor_reconciliado_miles_soles,peso_exterior_reconciliado,peso_total_fondo_reconciliado,peso_exterior_reconciliado_pct,peso_total_fondo_reconciliado_pct,usar_modelo_principal,usar_analisis_ampliado,ranking_afp
2026-01-30,CA-0001-en2026.XLS,10,189,Integra,3,289571.633968,miles_soles,0.0852271992292309,85,VAN ECK ASSOCIATES CORPORATION,US92189F6768,USD,,isin,,isin,,2093586.452720453,13.831367393103072,8.52271992292309,2026-01,US92189F6768,isin,289571.633968,1835709.1068413816,2025833.528575,3397643.435275,0.9061500271113814,9.384997288861863,1.1035700160908153,ampliado,False,True,0.1577437475735207,319562.5727575094,0.15774374757352067,0.09405418162475443,15.774374757352067,9.405418162475442,False,True,1
2026-01-30,CA-0001-en2026.XLS,10,339,Integra,3,174887.25636000003,miles_soles,0.0514731047243889,134,Invesco Capital Management LLC,US46090E1038,USD,,isin,,isin,,2093586.452720453,8.353476692244909,5.1473104724389,2026-01,US46090E1038,isin,174887.25636,1835709.1068413816,2025833.528575,3397643.435275,0.9061500271113814,9.384997288861863,1.1035700160908153,ampliado,False,True,0.0952695913030144,193000.33231528377,0.09526959130301439,0.05680417500892427,9.526959130301439,5.680417500892427,False,True,2
2026-01-30,CA-0001-en2026.XLS,10,146,Integra,3,130524.468928,miles_soles,0.0384161762158151,75,BlackRock Fund Advisors,US46434G1031,USD,,isin,,isin,,2093586.452720453,6.234491475543969,3.841617621581516,2026-01,US46434G1031,isin,130524.468928,1835709.1068413816,2025833.528575,3397643.435275,0.9061500271113814,9.384997288861863,1.1035700160908153,ampliado,False,True,0.07110302413468293,144042.8902751181,0.07110302413468292,0.04239494020462435,7.1103024134682915,4.239494020462435,False,True,3
2026-01-30,CA-0001-en2026.XLS,10,531,Integra,3,115595.997294296,miles_soles,0.0340224039091871,277,"Hellman & Friedman Investors IX, L.P.",,USD,,entidad_sin_isin,"Hellman & Friedman Capital Partners IX, L.P.",fondo_sin_isin_pareja_exacta,532.0,2093586.452720453,5.521434146848246,3.4022403909187178,2026-01,"Hellman & Friedman Capital Partners IX, L.P.",fondo_sin_isin,115595.997294,1835709.1068413816,2025833.528575,3397643.435275,0.9061500271113814,9.384997288861863,1.1035700160908153,ampliado,False,True,0.06297075983525331,127568.27659410008,0.06297075983525331,0.037546104829500715,6.297075983525331,3.7546104829500715,False,True,4
2026-01-30,CA-0001-en2026.XLS,10,385,Integra,3,106969.023239232,miles_soles,0.031483298726607,154,BlackRock Asset Management (Deutschland) AG,DE0006289309,EUR,,isin,,isin,,2093586.452720453,5.109367377699357,3.1483298726607045,2026-01,DE0006289309,isin,106969.023239,1835709.1068413816,2025833.528575,3397643.435275,0.9061500271113814,9.384997288861863,1.1035700160908153,ampliado,False,True,0.058271227636544534,118047.80669733806,0.058271227636544534,0.03474402448230517,5.827122763654454,3.474402448230517,False,True,5
2026-01-30,CA-0001-en2026.XLS,10,188,Integra,3,93561.62544,miles_soles,0.0275372113708718,85,VAN ECK ASSOCIATES CORPORATION,US92189F1066,USD,,isin,,isin,,2093586.452720453,4.468964026702787,2.7537211370871875,2026-01,US92189F1066,isin,93561.62544,1835709.1068413816,2025833.528575,3397643.435275,0.9061500271113814,9.384997288861863,1.1035700160908153,ampliado,False,True,0.05096756620714656,103251.80449230364,0.050967566207146556,0.030389240795641818,5.096756620714656,3.0389240795641816,False,True,6
2026-01-30,CA-0001-en2026.XLS,10,341,Integra,3,85383.58256,miles_soles,0.0251302363495685,134,Invesco Capital Management LLC,US46138E6288,USD,,isin,,isin,,2093586.452720453,4.078340421483462,2.513023634956859,2026-01,US46138E6288,isin,85383.58256,1835709.1068413816,2025833.528575,3397643.435275,0.9061500271113814,9.384997288861863,1.1035700160908153,ampliado,False,True,0.04651258864587512,94226.76157963065,0.04651258864587511,0.02773297533265261,4.651258864587511,2.773297533265261,False,True,7
2026-01-30,CA-0001-en2026.XLS,10,465,Integra,3,69333.15627083699,miles_soles,0.0204062485047793,213,Lexington Partners GP Holdings VIII LLC,,USD,,entidad_sin_isin,Lexington Capital Partners VIII-A feeder LP,fondo_sin_isin_pareja_exacta,466.0,2093586.452720453,3.3116930127601822,2.0406248504779385,2026-01,Lexington Capital Partners VIII-A feeder LP,fondo_sin_isin,69333.156271,1835709.1068413816,2025833.528575,3397643.435275,0.9061500271113814,9.384997288861863,1.1035700160908153,ampliado,False,True,0.03776914109781549,76513.99238143458,0.037769141097815484,0.022519723990767047,3.7769141097815484,2.251972399076705,False,True,8
2026-01-30,CA-0001-en2026.XLS,10,205,Integra,3,66665.545344,miles_soles,0.0196211128724932,88,WisdomTree Asset Management Inc.,US97717W8516,USD,,isin,,isin,,2093586.452720453,3.1842747767771087,1.9621112872493205,2026-01,US97717W8516,isin,66665.545344,1835709.1068413816,2025833.528575,3397643.435275,0.9061500271113814,9.384997288861863,1.1035700160908153,ampliado,False,True,0.03631596373060886,73570.09694798106,0.03631596373060886,0.021653271848411725,3.631596373060886,2.1653271848411726,False,True,9
2026-01-30,CA-0001-en2026.XLS,10,370,Integra,3,58384.832352,miles_soles,0.0171839198150846,147,Global X Management Company LLC,US37954Y8306,USD,,isin,,isin,,2093586.452720453,2.788747141353224,1.7183919815084634,2026-01,US37954Y8306,isin,58384.832352,1835709.1068413816,2025833.528575,3397643.435275,0.9061500271113814,9.384997288861863,1.1035700160908153,ampliado,False,True,0.031805056767659684,64431.75037815619,0.03180505676765968,0.018963658666831584,3.180505676765968,1.8963658666831584,False,True,10
