nivel_1,nivel_2,nivel_3,descripcion,ruta_jerarquica,categoria_economica,factor_representativo_inicial,calidad_proxy_inicial,regla_mapeo,primera_fecha,ultima_fecha,meses_presentes,afp_presentes,participacion_mediana_pct,participacion_max_abs_pct
I. INVERSIONES LOCALES,4. Administradoras de Fondos,Cuotas de Fondos Mutuos,Cuotas de Fondos Mutuos,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Cuotas de Fondos Mutuos,fondos_mutuos_locales,proxy_fondos_locales_pendiente,baja,fondos_mutuos_locales_historico,2015-01-30,2018-12-31,46,4,0.4405474482739516,1.0898417009762371
,I. INVERSIONES LOCALES,4. Administradoras de Fondos,Cuotas de Fondos Mutuos,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Cuotas de Fondos Mutuos,fondos_mutuos_locales,proxy_fondos_locales_pendiente,baja,fondos_mutuos_locales_historico,2017-12-31,2018-01-31,2,4,0.5035093304478085,0.7662990269230409
III. OPERACIONES EN TRÁNSITO,,,III. OPERACIONES EN TRÁNSITO,III. OPERACIONES EN TRÁNSITO,operaciones_en_transito,sin_factor_directo,no_aplicable,operaciones_transito,2015-01-30,2026-05-31,135,4,0.09856857736782396,9.426635171277589
,III. OPERACIONES EN TRÁNSITO,,III. OPERACIONES EN TRÁNSITO,III. OPERACIONES EN TRÁNSITO,operaciones_en_transito,sin_factor_directo,no_aplicable,operaciones_transito,2017-12-31,2018-01-31,2,4,-0.08976949922060165,2.4860388222844523
I. INVERSIONES LOCALES,3. Empresas no Financieras,Otros instrumentos autorizados (3),Otros instrumentos autorizados (3),I. INVERSIONES LOCALES > 3. Empresas no Financieras > Otros instrumentos autorizados (3),otros_instrumentos_autorizados,sin_proxy,no_disponible,otros_instrumentos_autorizados,2015-09-30,2022-02-28,76,4,0.019507670040438248,0.0485492279093658
,I. INVERSIONES LOCALES,3. Empresas no Financieras,Otros instrumentos autorizados (3),I. INVERSIONES LOCALES > 3. Empresas no Financieras > Otros instrumentos autorizados (3),otros_instrumentos_autorizados,sin_proxy,no_disponible,otros_instrumentos_autorizados,2017-12-31,2018-01-31,2,4,0.0078588916244094,0.0228948516926441
,I. INVERSIONES LOCALES,2. Sistema Financiero,Letras Hipotecarias,I. INVERSIONES LOCALES > 2. Sistema Financiero > Letras Hipotecarias,otros_no_mapeados,sin_proxy,no_disponible,sin_regla,2017-12-31,2018-01-31,2,4,0.0,0.0
,I. INVERSIONES LOCALES,3. Empresas no Financieras,Pagarés LP,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Pagarés LP,otros_no_mapeados,sin_proxy,no_disponible,sin_regla,2017-12-31,2018-01-31,2,4,0.0,0.0
I. INVERSIONES LOCALES,1. Gobierno,Certificado Deposito Liquidaciones En Dolares BCRP,Certificado Deposito Liquidaciones En Dolares BCRP,I. INVERSIONES LOCALES > 1. Gobierno > Certificado Deposito Liquidaciones En Dolares BCRP,otros_no_mapeados,sin_proxy,no_disponible,sin_regla,2016-07-31,2016-10-31,4,4,0.0,0.0
I. INVERSIONES LOCALES,2. Sistema Financiero,Letras Hipotecarias,Letras Hipotecarias,I. INVERSIONES LOCALES > 2. Sistema Financiero > Letras Hipotecarias,otros_no_mapeados,sin_proxy,no_disponible,sin_regla,2018-02-28,2026-05-31,100,4,0.0,0.0
I. INVERSIONES LOCALES,3. Empresas no Financieras,Pagarés LP,Pagarés LP,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Pagarés LP,otros_no_mapeados,sin_proxy,no_disponible,sin_regla,2015-01-30,2026-05-31,135,4,0.0,0.0
II. INVERSIONES EN EL EXTERIOR,3. Empresas no Financieras,Depósitos del Extranjero,Depósitos del Extranjero,II. INVERSIONES EN EL EXTERIOR > 3. Empresas no Financieras > Depósitos del Extranjero,otros_no_mapeados,sin_proxy,no_disponible,sin_regla,2022-03-31,2026-05-31,51,4,0.0,0.0
II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Bonos del Sistema Financiero,Bonos del Sistema Financiero,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Bonos del Sistema Financiero,renta_fija_financiera_exterior,LQD_HYG,media,renta_fija_financiera_exterior_actual_historico,2015-01-30,2026-05-31,135,4,0.0,0.7483386017634864
,II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Bonos del Sistema Financiero,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Bonos del Sistema Financiero,renta_fija_financiera_exterior,LQD_HYG,media,renta_fija_financiera_exterior_actual_historico,2017-12-31,2018-01-31,2,4,0.01137340094134925,0.162034657233342
,II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Títulos de Deuda Emitidos por Organismo Internacional,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Títulos de Deuda Emitidos por Organismo Internacional,renta_fija_financiera_exterior,LQD_HYG,media,deuda_generica_financiera_exterior,2017-12-31,2018-01-31,2,4,0.0,0.0
,II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Títulos de Deuda de Agencias,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Títulos de Deuda de Agencias,renta_fija_financiera_exterior,LQD_HYG,media,deuda_generica_financiera_exterior,2017-12-31,2018-01-31,2,4,0.0,0.0
II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Títulos de Deuda Emitidos por Organismo Internacional,Títulos de Deuda Emitidos por Organismo Internacional,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Títulos de Deuda Emitidos por Organismo Internacional,renta_fija_financiera_exterior,LQD_HYG,media,deuda_generica_financiera_exterior,2015-01-30,2026-05-31,135,4,0.0,0.0
II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Títulos de Deuda de Agencias,Títulos de Deuda de Agencias,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Títulos de Deuda de Agencias,renta_fija_financiera_exterior,LQD_HYG,media,deuda_generica_financiera_exterior,2018-02-28,2022-02-28,49,4,0.0,0.0
I. INVERSIONES LOCALES,2. Sistema Financiero,Bonos Subordinados,Bonos Subordinados,I. INVERSIONES LOCALES > 2. Sistema Financiero > Bonos Subordinados,renta_fija_financiera_local,credito_financiero_peru_pendiente,baja,renta_fija_financiera_local_actual_historico,2015-01-30,2026-05-31,135,4,0.1485584032392296,6.200824786763047
I. INVERSIONES LOCALES,2. Sistema Financiero,Otros Bonos Sector Financiero,Otros Bonos Sector Financiero,I. INVERSIONES LOCALES > 2. Sistema Financiero > Otros Bonos Sector Financiero,renta_fija_financiera_local,credito_financiero_peru_pendiente,baja,renta_fija_financiera_local_actual_historico,2015-01-30,2026-05-31,135,4,0.07226832682619655,2.512067838422156
