escenario,periodo,fecha_cartera,afp,tipo_activo,peso_exterior,peso_total_fondo,identificadores,peso_exterior_pct,peso_total_fondo_pct
ampliado_15pct,2018-10,2018-10-31,Prima,no_determinado,0.0162977792276156,0.0102038107310576,2,1.6297779227615599,1.02038107310576
ampliado_15pct,2018-10,2018-10-31,Prima,renta_variable,0.8589798634502259,0.5377952312413347,33,85.89798634502259,53.77952312413347
ampliado_15pct,2018-10,2018-10-31,Profuturo,mercados_privados_y_alternativos,0.14892818576537545,0.09493272191631001,19,14.892818576537545,9.493272191631002
ampliado_15pct,2018-10,2018-10-31,Profuturo,no_determinado,0.035024310717183975,0.022325882320644502,4,3.5024310717183975,2.23258823206445
ampliado_15pct,2018-10,2018-10-31,Profuturo,renta_variable,0.816047503517438,0.5201809873919179,29,81.6047503517438,52.018098739191785
ampliado_15pct,2018-11,2018-11-30,Habitat,mercados_privados_y_alternativos,0.0003985425801465,0.0002432158715908,1,0.03985425801465,0.024321587159079998
ampliado_15pct,2018-11,2018-11-30,Habitat,no_determinado,0.012937920728115901,0.007895536946904199,6,1.2937920728115901,0.7895536946904199
ampliado_15pct,2018-11,2018-11-30,Habitat,renta_fija,0.0806740261107674,0.049232389593242304,2,8.06740261107674,4.92323895932423
ampliado_15pct,2018-11,2018-11-30,Habitat,renta_variable,0.9059895105809673,0.5528920608359206,61,90.59895105809673,55.289206083592056
ampliado_15pct,2018-11,2018-11-30,Integra,mercados_privados_y_alternativos,0.1447614623557198,0.0863499813955069,18,14.47614623557198,8.63499813955069
ampliado_15pct,2018-11,2018-11-30,Integra,no_determinado,0.0295666977131222,0.017636488025943132,8,2.95666977131222,1.7636488025943131
ampliado_15pct,2018-11,2018-11-30,Integra,renta_fija,2.4528399443780816e-07,1.4631151144546044e-07,1,2.4528399443780816e-05,1.4631151144546044e-05
ampliado_15pct,2018-11,2018-11-30,Integra,renta_variable,0.825671594647159,0.4925117892314797,69,82.5671594647159,49.25117892314797
