afp,factor,mejor_lag_train,n_train,cobertura_train_pct,spearman_train,pearson_train,mutual_information_train,abs_spearman_train,indice,pais_region,ticker_elegido,moneda_local,moneda_modelo,transformacion,fx_ticker,fx_modo
Prima,ret_IDX_LOCAL_ZONA_EURO_EURO_STOXX_50,0,1779,99.9438202247191,0.49057272485815995,0.5961315276384181,0.2178747046623588,0.49057272485815995,EURO STOXX 50,Zona euro,^STOXX50E,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Prima,ret_IDX_LOCAL_FRANCIA_CAC_40,0,1779,99.9438202247191,0.4884620658224625,0.595174777610604,0.2034931617623581,0.4884620658224625,CAC 40,Francia,^FCHI,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Prima,ret_IDX_LOCAL_ALEMANIA_MDAX,0,1779,99.9438202247191,0.48406530269070297,0.5736214858750166,0.16478573480354264,0.48406530269070297,MDAX,Alemania,^MDAXI,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Prima,ret_IDX_LOCAL_CANAD_S_P_TSX_COMPOSITE,0,1779,99.9438202247191,0.48350142161840387,0.5994165009307371,0.17908354100788326,0.48350142161840387,S&P/TSX Composite,Canadá,^GSPTSE,CAD,CAD,retorno_indice_moneda_local,CAD=X,INVERSO
Prima,ret_IDX_LOCAL_ALEMANIA_DAX,0,1779,99.9438202247191,0.47550450148384543,0.577052555878578,0.15712852139836997,0.47550450148384543,DAX,Alemania,^GDAXI,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Prima,ret_IDX_LOCAL_ESTADOS_UNIDOS_NASDAQ_100,0,1779,99.9438202247191,0.4729625953084763,0.5619647007613319,0.16573485356231732,0.4729625953084763,Nasdaq 100,Estados Unidos,^NDX,USD,USD,retorno_indice_moneda_local,,USD
Prima,ret_IDX_LOCAL_REINO_UNIDO_FTSE_100,0,1779,99.9438202247191,0.4685175606251372,0.5694865546842072,0.14407132199927997,0.4685175606251372,FTSE 100,Reino Unido,^FTSE,GBP,GBP,retorno_indice_moneda_local,GBPUSD=X,DIRECTO
Prima,ret_IDX_LOCAL_ESPA_A_IBEX_35,0,1779,99.9438202247191,0.43453623730250174,0.5578881796253566,0.14795140907718363,0.43453623730250174,IBEX 35,España,^IBEX,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Prima,ret_IDX_LOCAL_SUIZA_SMI,0,1779,99.9438202247191,0.4249589016593294,0.48604190396112706,0.11497440610195575,0.4249589016593294,SMI,Suiza,^SSMI,CHF,CHF,retorno_indice_moneda_local,CHF=X,INVERSO
Prima,ret_IDX_LOCAL_ITALIA_FTSE_MIB,0,1779,99.9438202247191,0.4247103669557622,0.5403294070971253,0.131367792971397,0.4247103669557622,FTSE MIB,Italia,FTSEMIB.MI,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Prima,ret_IDX_LOCAL_HONG_KONG_HANG_SENG,0,1779,99.9438202247191,0.4100557845502794,0.44809628482048214,0.11964725321929137,0.4100557845502794,Hang Seng,Hong Kong,^HSI,HKD,HKD,retorno_indice_moneda_local,HKD=X,INVERSO
Prima,ret_IDX_LOCAL_M_XICO_S_P_BMV_IPC,0,1779,99.9438202247191,0.40402518450719566,0.45404327462101723,0.1018774446612607,0.40402518450719566,S&P/BMV IPC,México,^MXX,MXN,MXN,retorno_indice_moneda_local,MXN=X,INVERSO
Prima,ret_IDX_LOCAL_COREA_DEL_SUR_KOSPI,0,1777,99.8314606741573,0.37465193164885185,0.428720918077139,0.09191976134922175,0.37465193164885185,KOSPI,Corea del Sur,^KS11,KRW,KRW,retorno_indice_moneda_local,KRW=X,INVERSO
