afp,modelo,tarea,segmento,parametros,retorno_acumulado_n,retorno_acumulado_mae,retorno_acumulado_rmse,retorno_acumulado_r2,retorno_acumulado_sesgo,retorno_acumulado_desviacion_residual,retorno_acumulado_varianza_residual,retorno_acumulado_correlacion,retorno_acumulado_direccion_pct,n_publicacion,mape_cuota_pct,mediana_error_abs_pct,p90_error_abs_pct,error_maximo_abs_pct,sesgo_cuota_pct,correlacion_retorno_acumulado,direccion_acumulada_pct,ranking_validacion
Profuturo,DIRECTO_SVR_RBF,directo_acumulado,validacion,"{""C"": 0.5, ""epsilon"": 0.001, ""gamma"": ""scale""}",593,0.008629606376698833,0.011444026620704704,0.048268106929151955,0.0010927461336153522,0.011401353430760226,0.00012999086005310796,0.442479363026802,63.06913996627319,593,0.8634043732642805,0.6917018804518893,1.9368058518416713,4.910605509846455,0.11808810894335128,0.442479363026802,63.06913996627319,11.0
Profuturo,DIRECTO_GRADIENT_BOOSTING,directo_acumulado,validacion,"{""learning_rate"": 0.05, ""max_depth"": 1, ""min_samples_leaf"": 30, ""n_estimators"": 250}",593,0.0065106533569807565,0.008924385719658081,0.42121992804906006,0.001302277727567088,0.008836311637269324,7.808040335094127e-05,0.663073508287667,71.8381112984823,593,0.6517117098602359,0.4696400239871834,1.3878518311013535,4.902497869394096,0.1386575321051608,0.663073508287667,71.8381112984823,6.0
Profuturo,DIRECTO_EXTRA_TREES,directo_acumulado,validacion,"{""max_depth"": 5, ""max_features"": 0.7, ""min_samples_leaf"": 20}",593,0.006388481202649722,0.008902767456919505,0.42402058355052175,0.001142351034137502,0.008836627301851946,7.80859820718352e-05,0.6638507754247611,73.0185497470489,593,0.6395758454999613,0.4535161151560496,1.3952904460822058,4.8080515838719196,0.12272103511159752,0.6638507754247611,73.0185497470489,3.0
Habitat,EW_RIDGE_HL60_A0.001,referencia,validacion,{},593,,,,,,,0.65597625927109,72.68128161888701,593,0.741083543092443,0.5532529851571155,1.5343980290139905,5.793767161366148,-0.0271230842847707,0.65597625927109,72.68128161888701,1.0
Habitat,RIDGE,referencia,validacion,{},593,,,,,,,0.6268367480802155,71.16357504215851,593,0.807009465119461,0.5822242924046206,1.6714729663211172,6.585541164893738,0.0742982045978873,0.6268367480802155,71.16357504215851,10.0
Integra,EW_RIDGE_HL120_A0.001,referencia,validacion,{},593,,,,,,,0.5511770940042993,70.99494097807757,593,0.6815917664372464,0.4730575006058335,1.3901662453332888,9.123495429134987,0.0119339000511378,0.5511770940042993,70.99494097807757,8.0
Integra,RIDGE,referencia,validacion,{},593,,,,,,,0.536972711383695,70.48903878583474,593,0.7089865267731725,0.4970453576610634,1.454665367793183,9.150412440277444,0.0938069914603818,0.536972711383695,70.48903878583474,9.0
Prima,EW_RIDGE_HL250_A0.001,referencia,validacion,{},593,,,,,,,0.6372546311078962,71.50084317032041,593,0.6292545652608367,0.478102011419379,1.339677791753391,5.591001300047749,0.0519895802221525,0.6372546311078962,71.50084317032041,3.0
Prima,RIDGE,referencia,validacion,{},593,,,,,,,0.5961578080272805,71.16357504215851,593,0.6556811008283971,0.4887523217212752,1.4128779805453335,6.206556733844604,0.1045652994893196,0.5961578080272805,71.16357504215851,9.0
Profuturo,EW_RIDGE_HL250_A0.001,referencia,validacion,{},593,,,,,,,0.6344420988438909,71.8381112984823,593,0.6678747339984191,0.4981170434883664,1.4217648560819296,5.984945358400728,0.0400448968893301,0.6344420988438909,71.8381112984823,8.0
Profuturo,RIDGE,referencia,validacion,{},593,,,,,,,0.6052034285716678,72.17537942664418,593,0.6962678090545705,0.5204809440094493,1.526522916108931,6.484953861012377,0.0941879566028203,0.6052034285716678,72.17537942664418,10.0
