afp,ticker,nombre,categoria,factor,lag,moneda_modelo,operacion_preferida,factor_sale,correlacion_relevante,mape_base_pct,mape_candidato_pct,mejora_mape_puntos,p90_base_pct,p90_candidato_pct,familia,alpha,half_life,aceptado_validacion
Prima,LTC-USD,Litecoin,CRIPTO,ret_USD_CRIPTO_LITECOIN,0,USD,AGREGAR,,0.1325998134464497,0.5774496295748925,0.5773396010225733,0.00011002855231923014,1.2671201625506572,1.2675226299340994,EW_RIDGE,0.001,500.0,False
Prima,PA=F,Paladio,FUTURO_METAL,ret_USD_FUTURO_METAL_PALADIO,0,USD,AGREGAR,,0.3214352309457984,0.5774496295748925,0.5777265997397665,-0.00027697016487393533,1.2671201625506572,1.2441001241637963,EW_RIDGE,0.001,500.0,False
Prima,PL=F,Platino,FUTURO_METAL,ret_USD_FUTURO_METAL_PLATINO,0,USD,AGREGAR,,0.39667763261912176,0.5774496295748925,0.5778442719809663,-0.0003946424060737863,1.2671201625506572,1.2702319190792308,EW_RIDGE,0.001,500.0,False
Prima,SI=F,Plata,FUTURO_METAL,ret_USD_FUTURO_METAL_PLATA,0,USD,AGREGAR,,0.342470191908516,0.5774496295748925,0.5781159433048405,-0.0006663137299479649,1.2671201625506572,1.2707144095684126,EW_RIDGE,0.001,500.0,False
Prima,ZW=F,Trigo,FUTURO_AGRICOLA,ret_USD_FUTURO_AGRICOLA_TRIGO,0,USD,AGREGAR,,0.09619207629087252,0.5774496295748925,0.5781580491018565,-0.0007084195269639881,1.2671201625506572,1.2663928310164474,EW_RIDGE,0.001,500.0,False
Prima,BTC-USD,Bitcoin,CRIPTO,ret_USD_CRIPTO_BITCOIN,0,USD,AGREGAR,,0.15800062149767435,0.5774496295748925,0.5786310520989951,-0.0011814225241025822,1.2671201625506572,1.2639324810256602,EW_RIDGE,0.001,500.0,False
Prima,NQ=F,E-mini Nasdaq 100,FUTURO_INDICE,ret_USD_FUTURO_INDICE_E_MINI_NASDAQ_100,0,USD,AGREGAR,,0.8925189099233882,0.5774496295748925,0.5788424616564427,-0.001392832081550166,1.2671201625506572,1.2485689043013348,EW_RIDGE,10.0,500.0,False
Prima,ZB=F,Treasury largo plazo futuro,FUTURO_BONOS,ret_USD_FUTURO_BONOS_TREASURY_LARGO_PLAZO_FUTURO,0,USD,AGREGAR,,0.30281725370382323,0.5774496295748925,0.5813287598729773,-0.003879130298084732,1.2671201625506572,1.2603393376916876,EW_RIDGE,0.001,500.0,False
Prima,GC=F,Oro,FUTURO_METAL,ret_PEN_FUTURO_METAL_ORO,0,PEN,AGREGAR,,0.11360735973937355,0.5774496295748925,0.582930418336511,-0.005480788761618505,1.2671201625506572,1.2762611052151807,EW_RIDGE,0.001,500.0,False
Prima,YM=F,E-mini Dow Jones,FUTURO_INDICE,ret_USD_FUTURO_INDICE_E_MINI_DOW_JONES,0,USD,AGREGAR,,0.9305106321444983,0.5774496295748925,0.5835299255232356,-0.0060802959483430286,1.2671201625506572,1.236858135639658,EW_RIDGE,10.0,500.0,False
