afp,indicador,coeficiente_estandarizado,abs_coeficiente
Profuturo,ret_USD_EPU__rsi14,-0.0005524002576524336,0.0005524002576524336
Profuturo,ret_USD_EPU__mom3,0.000517443546946514,0.000517443546946514
Profuturo,ret_USD_SPY__mom5,0.0004750896147567809,0.0004750896147567809
Profuturo,ret_USD_SPY__ma5_20,-0.0004657019138879401,0.0004657019138879401
Profuturo,ret_USD_NEM__mom3,-0.0004633491265747888,0.0004633491265747888
Profuturo,ret_PEN_MCHI__ma5_20,-0.0004492855061612928,0.0004492855061612928
Profuturo,ret_USD_FCX__mom5,-0.0004206925467801626,0.0004206925467801626
Profuturo,ret_USD_SPY__rsi14,0.00040033497166018565,0.00040033497166018565
Profuturo,ret_PEN_MCHI__ret1,0.0003745802154575704,0.0003745802154575704
Profuturo,ret_USD_FCX__macd12_26,0.00028575213167668774,0.00028575213167668774
Profuturo,ret_PEN_MCHI__macd12_26,0.00026281350994107735,0.00026281350994107735
Profuturo,ret_USD_FCX__ret1,0.0002302193593573759,0.0002302193593573759
Profuturo,ret_USD_EPU__macd12_26,-0.00021857314522517608,0.00021857314522517608
Profuturo,ret_USD_EPU__mom5,0.0002065053038108037,0.0002065053038108037
Profuturo,ret_USD_NEM__rsi14,0.00015804782228265012,0.00015804782228265012
Profuturo,ret_USD_SPY__mom3,0.0001559461565542565,0.0001559461565542565
Profuturo,ret_USD_NEM__ret1,0.0001556100411104941,0.0001556100411104941
Profuturo,ret_PEN_MCHI__vol10,-0.00015011991777345095,0.00015011991777345095
Profuturo,ret_USD_NEM__mom5,-0.00014585057346862203,0.00014585057346862203
Profuturo,ret_PEN_MCHI__rsi14,0.00014582379269701808,0.00014582379269701808
Profuturo,ret_USD_NEM__ma5_20,-0.000136437030296365,0.000136437030296365
Profuturo,ret_USD_FCX__mom3,0.00013341080227918464,0.00013341080227918464
Profuturo,ret_PEN_MCHI__mom3,7.634414382691603e-05,7.634414382691603e-05
Profuturo,ret_USD_SPY__vol10,-6.306542462302583e-05,6.306542462302583e-05
Profuturo,ret_USD_NEM__macd12_26,5.1126049526385175e-05,5.1126049526385175e-05
Profuturo,ret_USD_SPY__macd12_26,-4.8265877649804414e-05,4.8265877649804414e-05
Profuturo,ret_USD_NEM__vol10,4.169782802324456e-05,4.169782802324456e-05
Profuturo,ret_USD_EPU__vol10,-3.660404114084883e-05,3.660404114084883e-05
Profuturo,ret_PEN_MCHI__mom5,3.1027353062761345e-05,3.1027353062761345e-05
Profuturo,ret_USD_FCX__ma5_20,-3.03460991703871e-05,3.03460991703871e-05
Profuturo,ret_USD_FCX__rsi14,-1.8695901398726643e-05,1.8695901398726643e-05
Profuturo,ret_USD_FCX__vol10,4.390919550468511e-06,4.390919550468511e-06
