periodo,afp,fecha_ca,monto_hojas_miles_soles,registros_hojas,identificadores_unicos,registros_isin,registros_fondo_sin_isin,total_fondo_miles_soles,total_exterior_miles_soles,total_exterior_pct_fp1356,ratio_cobertura_exterior,error_cobertura_pct,factor_reescala,estado_cobertura,elegible_modelo_principal,elegible_analisis_ampliado,cobertura_exterior_pct,exterior_sobre_fondo_pct
2022-06,Prima,2022-06-30,1602443.128744776,40,40,33,7,4373844.8725364,1872347.368074,42.807813780286686,0.8558471339605841,14.41528660394159,1.1684329599519987,ampliado,False,True,85.5847133960584,42.80781378028669
2022-06,Profuturo,2022-06-30,1543413.00780222,87,87,66,21,4402762.2681785,1866315.2428458,42.38964380009291,0.8269840873446378,17.30159126553622,1.2092131097841299,excluir,False,False,82.69840873446378,42.38964380009387
2022-07,Habitat,2022-07-29,1075709.3499017048,80,80,77,3,2465679.3545173,1103666.3621772,44.76114707109846,0.9746689640695904,2.533103593040964,1.025989373689138,operativo,True,True,97.46689640695904,44.76114707109846
2022-07,Integra,2022-07-29,2023851.977016185,54,54,34,20,4995310.6640722,2427644.8079159,48.598475073357555,0.8336689001689808,16.633109983101924,1.19951697825996,excluir,False,False,83.36689001689808,48.59847507335756
2022-07,Prima,2022-07-29,1658431.2131805145,38,38,31,7,4363635.8621555,1864770.3446806,42.73432531007242,0.8893487704324108,11.065122956758922,1.12441826339265,ampliado,False,True,88.93487704324107,42.734325310074375
2022-07,Profuturo,2022-07-29,1742927.6017097272,87,87,66,21,4410935.621999,2163321.3317008,49.04450023962259,0.8056720821679506,19.43279178320494,1.241199766174273,excluir,False,False,80.56720821679507,49.04450023962037
2022-08,Habitat,2022-08-31,1037594.5705112838,84,84,81,3,2445354.0823046,1066533.7986998,43.61469802747619,0.9728660936729847,2.713390632701529,1.0278906896884166,operativo,True,True,97.28660936729847,43.61469802747975
2022-08,Integra,2022-08-31,1732569.4953165888,51,51,31,20,4586387.6422755,2136562.2052191,46.58485875735997,0.8109146043510197,18.90853956489803,1.2331754720342059,excluir,False,False,81.09146043510196,46.58485875736098
2022-08,Prima,2022-08-31,1441952.4941003893,39,39,32,7,4029060.5160678,1682825.8506815,41.76720215470756,0.8568637649085534,14.313623509144657,1.1670466659384557,ampliado,False,True,85.68637649085534,41.767202154706524
2022-08,Profuturo,2022-08-31,1383651.067280054,83,83,62,21,4131549.8206559,1789506.2653086,43.31319584631098,0.7732026951252076,22.679730487479244,1.2933219274902636,excluir,False,False,77.32026951252075,43.313195846310975
2022-09,Habitat,2022-09-30,1074140.3582078302,83,83,80,3,2460086.0429166,1108253.715207,45.04938834956539,0.9692188200850759,3.078117991492413,1.0317587517669355,operativo,True,True,96.92188200850758,45.04938834956722
2022-09,Integra,2022-09-30,1459737.9705475809,46,46,26,20,4304025.68999,1874078.078583,43.54244638784465,0.7789099009424924,22.109009905750764,1.2838455369356396,excluir,False,False,77.89099009424923,43.542446387845665
2022-09,Prima,2022-09-30,1138463.0139252725,37,37,30,7,3839578.8759673,1508886.7805138,39.298236323734024,0.7545052608503918,24.549473914960817,1.325371805721957,excluir,False,False,75.45052608503919,39.298236323734024
2022-09,Profuturo,2022-09-30,1140527.9039326464,76,76,55,21,3950788.3750628,1513938.9974072,38.319921334263114,0.7533512947918877,24.664870520811235,1.32740197954561,excluir,False,False,75.33512947918877,38.31992133426117
2022-10,Habitat,2022-10-31,1082690.5340411467,85,85,82,3,2619147.5311428,1135120.004527,43.339292309040665,0.9538115174811843,4.618848251881569,1.0484251675223946,operativo,True,True,95.38115174811843,43.339292309040665
2022-10,Integra,2022-10-31,1447520.177470735,49,49,29,20,4335157.1007616995,1837277.7675402,42.38088089627346,0.7878613691650537,21.213863083494633,1.2692588304713595,excluir,False,False,78.78613691650537,42.380880896274434
2022-10,Prima,2022-10-31,1010989.9992197276,35,35,28,7,3858239.9966064,1368682.4687217,35.474269872417345,0.7386592743925154,26.134072560748457,1.3538041620372465,excluir,False,False,73.86592743925155,35.47426987241734
2022-10,Profuturo,2022-10-31,1257795.1956712392,74,74,53,21,4009280.5138245,1482676.8844902,36.98112116071063,0.8483272443434069,15.16727556565931,1.1787903862193954,excluir,False,False,84.83272443434069,36.98112116071063
2022-11,Habitat,2022-11-30,1057795.9315873226,92,92,89,3,2751312.9728863,1091305.4201495,39.66489566632807,0.9692941243180238,3.0705875681976247,1.0316785946717466,operativo,True,True,96.92941243180238,39.66489566632807
2022-11,Integra,2022-11-30,1441160.8333549474,49,49,29,20,4378830.5102562,1794710.7413601,40.98607464153925,0.8030045177435006,19.69954822564994,1.2453230061644867,excluir,False,False,80.30045177435005,40.98607464153925
2022-11,Prima,2022-11-30,1169863.704533691,39,39,32,7,3904611.5753962,1356935.3690917,34.752121763967715,0.8621366434841843,13.786335651581572,1.1599089396765037,ampliado,False,True,86.21366434841843,34.752121763968596
2022-11,Profuturo,2022-11-30,1373603.185788576,74,74,53,21,4089492.9121765997,1594623.5797042,38.99318604896262,0.8613965096661729,13.860349033382713,1.1609055629764993,ampliado,False,True,86.13965096661728,38.993186048963565
2022-12,Habitat,2022-12-30,1271535.208499534,92,92,89,3,2746053.6190503,1308428.2084846,47.64758413337397,0.9718035733670135,2.8196426632986493,1.0290145327777445,operativo,True,True,97.18035733670135,47.6475841333757
2022-12,Integra,2022-12-30,1431281.0997646716,43,43,23,20,4257279.7350904,1804056.7836419998,42.3758102802642,0.7933680983562087,20.66319016437913,1.260448966969954,excluir,False,False,79.33680983562087,42.3758102802632
2022-12,Prima,2022-12-30,1182155.5198975306,41,41,34,7,3800255.9467865,1352524.3918903,35.590349987714916,0.8740363774477587,12.596362255224125,1.1441171395177658,ampliado,False,True,87.40363774477588,35.590349987715854
2022-12,Profuturo,2022-12-30,1352159.2122879117,75,75,54,21,3989539.2764808,1573311.8387783,39.43592805448275,0.8594349695721374,14.056503042786261,1.1635551675280817,ampliado,False,True,85.94349695721374,39.43592805448275
2023-01,Habitat,2023-01-31,1390825.0331919082,96,96,93,3,2950711.1122686,1427603.7294621,48.38168411425954,0.9742374613408656,2.576253865913436,1.0264437980281285,operativo,True,True,97.42374613408657,48.3816841142579
