bootstrap_n,mejora_mse_pct,ic95_inferior_pct,ic95_superior_pct,prob_mejora,escenario,variante_confianza,afp,modelo,comparado_con
468,0.1620339711392646,-1.4154270316571147,2.154165847479483,0.8225,principal_5pct,alta_media,Integra,M2_hibrido,P1_proxy_afp_ajena
468,0.6474966294739883,-0.07640301083663717,2.5698118734534448,0.955,principal_5pct,alta_media,Integra,M2_hibrido,P2_proxy_pesos_permutados
1350,-48.43671779449471,-60.9741082080037,-34.027353817092724,0.0,principal_5pct,alta_media,Prima,M1_proxy_directo,M0_base_mercado
1350,4.136176795352274,0.17100938993412726,7.441339220413506,0.985,principal_5pct,alta_media,Prima,M2_hibrido,M0_base_mercado
1350,2.3513932656962813,-0.9514060426379167,5.405157080953224,0.94,principal_5pct,alta_media,Prima,P1_proxy_afp_ajena,M0_base_mercado
1350,2.478357348461514,-0.24180565504442106,5.924688029460189,0.945,principal_5pct,alta_media,Prima,P2_proxy_pesos_permutados,M0_base_mercado
1350,1.8277613878427232,-1.190087213992459,3.578027144376611,0.835,principal_5pct,alta_media,Prima,M2_hibrido,P1_proxy_afp_ajena
1350,1.6999502898186736,0.1773161982360014,2.6619358447856745,0.9925,principal_5pct,alta_media,Prima,M2_hibrido,P2_proxy_pesos_permutados
472,-127.23412489577517,-190.73202038063425,-84.32896328099855,0.0,principal_5pct,alta_media,Profuturo,M1_proxy_directo,M0_base_mercado
472,-1.0116374127203887,-4.144990144247048,3.1402729000686205,0.4725,principal_5pct,alta_media,Profuturo,M2_hibrido,M0_base_mercado
472,-1.1552981175594834,-4.590691028378355,2.435943837124371,0.4225,principal_5pct,alta_media,Profuturo,P1_proxy_afp_ajena,M0_base_mercado
472,-2.722809308456351,-6.7632558737099515,0.9583616924032876,0.0925,principal_5pct,alta_media,Profuturo,P2_proxy_pesos_permutados,M0_base_mercado
472,0.14201995101842024,-0.8358047279845339,1.4184656798584796,0.6625,principal_5pct,alta_media,Profuturo,M2_hibrido,P1_proxy_afp_ajena
472,1.6658149317136086,0.22254241035915945,4.112694075919481,0.995,principal_5pct,alta_media,Profuturo,M2_hibrido,P2_proxy_pesos_permutados
1883,-49.20554292792665,-61.45037560428793,-33.90477842747492,0.0,principal_5pct,todos_mapeados,Habitat,M1_proxy_directo,M0_base_mercado
1883,1.3702821089987625,-1.3686022743694786,3.6990510470372193,0.8225,principal_5pct,todos_mapeados,Habitat,M2_hibrido,M0_base_mercado
1883,-0.5345057744937147,-3.0399189924451386,1.6729435592552064,0.235,principal_5pct,todos_mapeados,Habitat,P1_proxy_afp_ajena,M0_base_mercado
1883,-0.5920484549404018,-2.408819086923609,0.8995173999370222,0.2325,principal_5pct,todos_mapeados,Habitat,P2_proxy_pesos_permutados,M0_base_mercado
1883,1.8946608120450268,0.31346003807201717,3.732443903709521,0.9875,principal_5pct,todos_mapeados,Habitat,M2_hibrido,P1_proxy_afp_ajena
1883,1.9507809951978248,0.44248323987002475,3.242405719184117,0.9975,principal_5pct,todos_mapeados,Habitat,M2_hibrido,P2_proxy_pesos_permutados
468,-84.67707061933739,-111.13857109024016,-52.869088733506686,0.0,principal_5pct,todos_mapeados,Integra,M1_proxy_directo,M0_base_mercado
468,-0.0663085719222947,-2.0266445761223757,2.74092830178125,0.8025,principal_5pct,todos_mapeados,Integra,M2_hibrido,M0_base_mercado
468,-0.2548662572092055,-1.2966419843058876,1.3406071590121047,0.59,principal_5pct,todos_mapeados,Integra,P1_proxy_afp_ajena,M0_base_mercado
468,-0.7541482612322742,-2.6421536899940583,1.6561305584277843,0.4825,principal_5pct,todos_mapeados,Integra,P2_proxy_pesos_permutados,M0_base_mercado
468,0.1880783370686028,-1.363279020849486,2.1986347410130813,0.83,principal_5pct,todos_mapeados,Integra,M2_hibrido,P1_proxy_afp_ajena
468,0.6826911856041598,-0.02659615208598351,2.5625848765159995,0.9575,principal_5pct,todos_mapeados,Integra,M2_hibrido,P2_proxy_pesos_permutados
1350,-48.54507247403559,-60.94986124174564,-34.15089255956254,0.0,principal_5pct,todos_mapeados,Prima,M1_proxy_directo,M0_base_mercado
1350,4.3041803907529905,0.5675384523544901,7.903305470909609,0.99,principal_5pct,todos_mapeados,Prima,M2_hibrido,M0_base_mercado
1350,2.2887083267242687,-0.7152859091771357,5.2554984720678695,0.9425,principal_5pct,todos_mapeados,Prima,P1_proxy_afp_ajena,M0_base_mercado
1350,2.4994908414639303,-0.2805657037122583,6.119760740849966,0.9475,principal_5pct,todos_mapeados,Prima,P2_proxy_pesos_permutados,M0_base_mercado
1350,2.062680811515623,-1.0780449145857238,4.04360720362493,0.8475,principal_5pct,todos_mapeados,Prima,M2_hibrido,P1_proxy_afp_ajena
1350,1.850953974357847,0.23691710345874026,2.866308756267484,0.9925,principal_5pct,todos_mapeados,Prima,M2_hibrido,P2_proxy_pesos_permutados
472,-126.73953568260394,-190.2196223775903,-83.96612061532032,0.0,principal_5pct,todos_mapeados,Profuturo,M1_proxy_directo,M0_base_mercado
472,-0.6860400238764056,-3.968935221977888,3.407020740458815,0.535,principal_5pct,todos_mapeados,Profuturo,M2_hibrido,M0_base_mercado
472,-0.8583776060794317,-4.293646144060476,2.840036978997978,0.48,principal_5pct,todos_mapeados,Profuturo,P1_proxy_afp_ajena,M0_base_mercado
472,-2.457942592261618,-6.241215080929557,1.365109011481877,0.1175,principal_5pct,todos_mapeados,Profuturo,P2_proxy_pesos_permutados,M0_base_mercado
472,0.17087086496287066,-0.7057867292004489,1.4231582916122592,0.7225,principal_5pct,todos_mapeados,Profuturo,M2_hibrido,P1_proxy_afp_ajena
472,1.7293950313218953,0.282388279455703,4.224750523740003,0.995,principal_5pct,todos_mapeados,Profuturo,M2_hibrido,P2_proxy_pesos_permutados
