anio,mes,archivo,url,estado_descarga,hojas_disponibles,hoja3_estado,hoja9_estado,hoja10_estado,estado_general,error_general
2018,9,CA-0001-se2018.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2018/Setiembre/CA-0001-se2018.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2018,10,CA-0001-oc2018.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2018/Octubre/CA-0001-oc2018.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2018,11,CA-0001-no2018.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2018/Noviembre/CA-0001-no2018.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2018,12,CA-0001-di2018.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2018/Diciembre/CA-0001-di2018.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2019,1,CA-0001-en2019.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2019/Enero/CA-0001-en2019.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2019,2,CA-0001-fe2019.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2019/Febrero/CA-0001-fe2019.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2019,3,CA-0001-ma2019.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2019/Marzo/CA-0001-ma2019.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2019,4,CA-0001-ab2019.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2019/Abril/CA-0001-ab2019.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2019,5,CA-0001-my2019.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2019/Mayo/CA-0001-my2019.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2019,6,CA-0001-jn2019.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2019/Junio/CA-0001-jn2019.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2019,7,CA-0001-jl2019.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2019/Julio/CA-0001-jl2019.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2019,8,CA-0001-ag2019.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2019/Agosto/CA-0001-ag2019.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2019,9,CA-0001-se2019.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2019/Setiembre/CA-0001-se2019.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2019,10,CA-0001-oc2019.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2019/Octubre/CA-0001-oc2019.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2019,11,CA-0001-no2019.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2019/Noviembre/CA-0001-no2019.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2019,12,CA-0001-di2019.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2019/Diciembre/CA-0001-di2019.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2020,1,CA-0001-en2020.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2020/Enero/CA-0001-en2020.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
