fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,identificador_especifico,categoria_instrumento,estado_pareja,moneda,total_canonico,participacion_calculada_pct,fuente_detalle,valor_abs,ranking,grupo,entidad_administradora,isin,seccion,estado_identificacion
2026-01-30,CA-0001-en2026.XLS,3,123,Profuturo,3,192279.29573941103,miles_soles,0.05403239605165035,HOCHSCHILD MINING PLC,,sin_categoria_adyacente,,4454524.3766899705,4.316494410617374,hoja3_emisor_o_fondo,192279.29573941103,6,,,,,
2026-01-30,CA-0001-en2026.XLS,3,124,Profuturo,3,192279.29573941103,miles_soles,0.05403239605165035,ACCIONES DEL EXTRANJERO - LIMITE LOCAL,,sin_categoria_adyacente,,4454524.3766899705,4.316494410617374,hoja3_emisor_o_fondo,192279.29573941103,7,,,,,
2026-01-30,CA-0001-en2026.XLS,3,148,Profuturo,3,179050.14472,miles_soles,0.05031487293217389,MINSUR,ACCIONES DEL TRABAJO,pareja_exacta,,4454524.3766899705,4.01951206411507,hoja3_emisor_o_fondo,179050.14472,8,,,,,
2026-01-30,CA-0001-en2026.XLS,3,125,Profuturo,3,171089.35392768,miles_soles,0.0480778114777887,HudBay Minerals Inc.,,sin_categoria_adyacente,,4454524.3766899705,3.8407995884582316,hoja3_emisor_o_fondo,171089.35392768,9,,,,,
2026-01-30,CA-0001-en2026.XLS,3,126,Profuturo,3,171089.35392768,miles_soles,0.0480778114777887,ACCIONES DEL EXTRANJERO - LIMITE LOCAL,,sin_categoria_adyacente,,4454524.3766899705,3.8407995884582316,hoja3_emisor_o_fondo,171089.35392768,10,,,,,
2026-01-30,CA-0001-en2026.XLS,3,681,Profuturo,3,154702.71448,miles_soles,0.04347300268031628,THE VANGUARD GROUP INC.,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,4454524.3766899705,3.4729345132679494,hoja3_emisor_o_fondo,154702.71448,11,,,,,
2026-01-30,CA-0001-en2026.XLS,3,8,Profuturo,3,137012.61863793002,miles_soles,0.03850190966141012,GOBIERNO CENTRAL,,sin_categoria_adyacente,,4454524.3766899705,3.0758080336231135,hoja3_emisor_o_fondo,137012.61863793002,12,,,,,
2026-01-30,CA-0001-en2026.XLS,3,9,Profuturo,3,137012.61863793002,miles_soles,0.03850190966141012,BONOS GOBIERNO CENTRAL DE LA REPUBLICA,,sin_categoria_adyacente,,4454524.3766899705,3.0758080336231135,hoja3_emisor_o_fondo,137012.61863793002,13,,,,,
2026-01-30,CA-0001-en2026.XLS,3,226,Profuturo,3,104144.412742,miles_soles,0.029265616634401352,Grupo Coril Sociedad Titulizadora S.A.,TITULOS CON DERECHO DE PARTICIPACION,pareja_exacta,,4454524.3766899705,2.337946858860535,hoja3_emisor_o_fondo,104144.412742,14,,,,,
2026-01-30,CA-0001-en2026.XLS,3,300,Profuturo,3,79586.634848,miles_soles,0.02236463659796836,Hecla Mining Company,ACCIONES EN EL EXTRANJERO,pareja_exacta,,4454524.3766899705,1.7866471954776582,hoja3_emisor_o_fondo,79586.634848,15,,,,,
2026-01-30,CA-0001-en2026.XLS,3,669,Profuturo,3,78268.4346752,miles_soles,0.021994209228041784,State Street Global Advisors Inc,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,4454524.3766899705,1.7570548066763307,hoja3_emisor_o_fondo,78268.4346752,16,,,,,
2026-01-30,CA-0001-en2026.XLS,3,285,Profuturo,3,74677.628093396,miles_soles,0.02098515683565184,STATE STREET BANK AND TRUST COMPANY,CUENTAS CORRIENTES DEL EXTERIOR,pareja_exacta,,4454524.3766899705,1.6764444815741877,hoja3_emisor_o_fondo,74677.628093396,17,,,,,
2026-01-30,CA-0001-en2026.XLS,3,503,Profuturo,3,73669.3822430445,miles_soles,0.020701829715619856,HIPEP VII Associates LLC,Fondo Mutuo Alternativo Extranjero,pareja_exacta,,4454524.3766899705,1.6538102839564233,hoja3_emisor_o_fondo,73669.3822430445,18,,,,,
2026-01-30,CA-0001-en2026.XLS,3,339,Profuturo,3,73458.71377599999,miles_soles,0.02064262977938559,ARK Investment Management LLC,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,4454524.3766899705,1.6490809694611,hoja3_emisor_o_fondo,73458.71377599999,19,,,,,
2026-01-30,CA-0001-en2026.XLS,3,131,Profuturo,3,69226.256411447,miles_soles,0.019453267130048732,InRetail Peru Corp.,ACCIONES DEL CAPITAL SOCIAL,pareja_exacta,,4454524.3766899705,1.5540661708733772,hoja3_emisor_o_fondo,69226.256411447,20,,,,,
2026-01-30,CA-0001-en2026.XLS,10,145,Habitat,3,302810.6071,miles_soles,0.060729320865548365,,,,USD,2736482.735417546,11.065686736510534,hoja10_isin,302810.6071,1,75.0,BlackRock Fund Advisors,US4642875235,,isin
2026-01-30,CA-0001-en2026.XLS,10,189,Habitat,3,252748.06893327998,miles_soles,0.05068917077705927,,,,USD,2736482.735417546,9.236238389595192,hoja10_isin,252748.06893327998,2,85.0,VAN ECK ASSOCIATES CORPORATION,US92189F6768,,isin
