factor,coef_estandarizado,coef_original,coef_abs_estandarizado,retorno_factor,contribucion_retorno,contribucion_puntos_pct,afp,fecha,retorno_real_pct,retorno_estimado_pct,residual_pct,intercepto_pct,ranking_contribucion,columna_modelo,ticker,nombre,grupo,moneda
ret_XLY,8.154668977188637e-05,0.0051363743576416775,8.154668977188637e-05,0.021483980916648,0.00011034976868033393,0.011034976868033392,Habitat,2026-06-30,1.09564144007625,0.7267296328468655,0.36891180722938455,0.09850943312785435,24,ret_XLY,XLY,Consumo discrecional,sector,USD
ret_DX_Y_NYB,-0.00039032000656905,-0.10974346733377646,0.00039032000656905,0.0007912355906611,-8.683293719703776e-05,-0.008683293719703776,Habitat,2026-06-30,1.09564144007625,0.7267296328468655,0.36891180722938455,0.09850943312785435,25,ret_DX_Y_NYB,DX-Y.NYB,Índice dólar DXY,moneda,INDICE
ret_XLP,-0.0002703888765473085,-0.019217324578572774,0.0002703888765473085,0.0043725323548389,-8.402837349325027e-05,-0.008402837349325027,Habitat,2026-06-30,1.09564144007625,0.7267296328468655,0.36891180722938455,0.09850943312785435,26,ret_XLP,XLP,Consumo básico,sector,USD
ret_XLV,-0.00016967376168756197,-0.011029458625125036,0.00016967376168756197,0.0068903128850204,-7.599642087949842e-05,-0.007599642087949842,Habitat,2026-06-30,1.09564144007625,0.7267296328468655,0.36891180722938455,0.09850943312785435,27,ret_XLV,XLV,Salud,sector,USD
ret_EPU,0.001955308277430455,0.09171720886915957,0.001955308277430455,0.0329560206594901,0.0030226342303227914,0.30226342303227915,Integra,2026-06-30,1.3681151070292699,1.2746971500817896,0.09341795694748026,0.07580786216622734,1,ret_EPU,EPU,Perú - ETF,mercado,USD
ret_XLK,0.0010391446482851492,0.05928002676286205,0.0010391446482851492,0.048204697283489,0.0028575757450608917,0.2857575745060892,Integra,2026-06-30,1.3681151070292699,1.2746971500817896,0.09341795694748026,0.07580786216622734,2,ret_XLK,XLK,Tecnología,sector,USD
ret_PEN_X,-0.0016289971290002877,-0.12755599533767822,0.0016289971290002877,0.0200904493159528,-0.002562657259277536,-0.2562657259277536,Integra,2026-06-30,1.3681151070292699,1.2746971500817896,0.09341795694748026,0.07580786216622734,3,ret_PEN_X,PEN=X,Tipo de cambio USD/PEN,moneda,PEN_POR_USD
ret_EEM,0.0012394323620512036,0.0733041050722443,0.0012394323620512036,0.0349160767841585,0.0025594917612965047,0.25594917612965046,Integra,2026-06-30,1.3681151070292699,1.2746971500817896,0.09341795694748026,0.07580786216622734,4,ret_EEM,EEM,Mercados emergentes,mercado,USD
ret_COPX,0.0017823126761568088,0.06667519025609442,0.0017823126761568088,0.0366565268499305,0.0024440809018467496,0.24440809018467496,Integra,2026-06-30,1.3681151070292699,1.2746971500817896,0.09341795694748026,0.07580786216622734,5,ret_COPX,COPX,Mineras de cobre,materia_prima,USD
ret_XLI,0.000855926492545184,0.05646974208889408,0.000855926492545184,0.0338769711520747,0.0019130238237105633,0.19130238237105635,Integra,2026-06-30,1.3681151070292699,1.2746971500817896,0.09341795694748026,0.07580786216622734,6,ret_XLI,XLI,Industria,sector,USD
