identificador,motivo_revision,accion_sugerida,ticker_provisional,nombre_provisional,peso_max_total_fondo_pct,meses_presentes,peso_universo_pct,meses_universo,gestora_reportada,lista_afp,peso_prioridad_pct,meses_prioridad
PRIVFAENHIP3,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.3474306957380337,68,0.3474306957380337,68,MORGAN STANLEY | Morgan Stanley | Morgan Stanley Infrastructure III Investors G | Morgan Stanley Infrastructure III Investors GP,Habitat,0.3474306957380337,68
PRIVFAEAIP5B,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.3353882085445457,33,0.3353882085445457,33,"Antin Infrastru | Antin Infrastructure Partners V Luxembourg GP | Antin Infrastructure Partners V Luxembourg GP, S.A R.L.",Habitat,0.3353882085445457,33
PRIVFAEEQTI6,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.3157129765138359,11,0.3157129765138359,11,EQT Infrastructure IV (GP) SCS,Habitat,0.3157129765138359,11
LU0325328531,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.2978434940612912,10,0.2978434940612912,10,Pic Asset Ma Eu,Prima,0.2978434940612912,10
PRIVFAEKVCXC,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.2961076621255616,37,0.2961076621255616,37,"Knightsbridge M | Knightsbridge Management X, LLC",Habitat,0.2961076621255616,37
IE000NG9LZQX,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.2950063302517955,1,0.2950063302517955,1,Moneda Latam HY,Integra,0.2950063302517955,1
IE000NG9LZQX,correccion_checksum_propuesta,revisar contra IE000NG9LZQ6 (media),,,0.2950063302517955,1,0.2950063302517955,1,Moneda Latam HY,Integra,0.2950063302517955,1
PRIVFAEP8SCS,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.2391064918259413,26,0.2391064918259413,26,PAI Partn. VIII | PAI Partners VIII GP S.à r.l.,Habitat,0.2391064918259413,26
PRIVFAECEVVI,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.236893005946221,21,0.236893005946221,21,"Cortland Enhanced Value Fund V GP, LLC | Cortland Enhanced Value Fund VI GP, LLC",Habitat,0.236893005946221,21
LU0260871479,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.2276409313560265,2,0.2276409313560265,2,FRANKLIN TEMP,Prima,0.2276409313560265,2
