periodo,afp,monto_ca_miles_soles,registros,suma_pct_reportada,total_fp_miles_soles,objetivo_monto_miles_soles,objetivo_pct,objetivo,escenario,ratio_ca_objetivo,error_abs_pct,pct_ca_sobre_fondo,diferencia_pct_interno_pp
2019-10,Habitat,1266304.386565793,95,97.33170193046242,1301019.463803,614343.2232978,47.22014085032306,fondos_mutuos_exterior,solo_hojas_jerarquia,2.0612327743574017,106.12327743574016,97.33170193044371,1.8701484805205837e-11
2019-10,Integra,8138684.459996335,118,106.38950262479781,7649894.2651317,4052676.0992859,52.976890383415466,total_exterior,solo_hojas_jerarquia,2.008224753374791,100.82247533747908,106.38950262479506,2.7569058147491887e-12
2019-10,Integra,8138684.459996335,118,106.38950262479781,7649894.2651317,4005417.4542191,52.359121778662235,rv_y_fondos_exterior,solo_hojas_jerarquia,2.031919157745584,103.1919157745584,106.38950262479506,2.7569058147491887e-12
2019-10,Integra,8138684.459996335,118,106.38950262479781,7649894.2651317,3997721.3105487004,52.258517202916934,fondos_exterior_amplio,solo_hojas_jerarquia,2.03583087158201,103.583087158201,106.38950262479506,2.7569058147491887e-12
2019-10,Integra,8138684.459996335,118,106.38950262479781,7649894.2651317,3997721.3105487004,52.258517202916934,administradoras_fondos_exterior,solo_hojas_jerarquia,2.03583087158201,103.583087158201,106.38950262479506,2.7569058147491887e-12
2019-10,Integra,8138684.459996335,118,106.38950262479781,7649894.2651317,3193478.6803636,41.74539633730095,fondos_mutuos_mas_etf,solo_hojas_jerarquia,2.5485325798604324,154.85325798604325,106.38950262479506,2.7569058147491887e-12
2019-10,Integra,8138684.459996335,118,106.38950262479781,7649894.2651317,3193478.6803636,41.74539633730095,fondos_mutuos_exterior,solo_hojas_jerarquia,2.5485325798604324,154.85325798604325,106.38950262479506,2.7569058147491887e-12
2019-10,Prima,6684305.994877353,51,103.64058533206723,6449506.2175312005,3405030.5217347,52.79521263936557,total_exterior,solo_hojas_jerarquia,1.963067864505373,96.3067864505373,103.64058533206642,8.100187187665142e-13
2019-10,Prima,6684305.994877353,51,103.64058533206723,6449506.2175312005,3215099.0905499,49.85031383969431,rv_y_fondos_exterior,solo_hojas_jerarquia,2.0790357642551203,107.90357642551203,103.64058533206642,8.100187187665142e-13
2019-10,Prima,6684305.994877353,51,103.64058533206723,6449506.2175312005,3215099.0905499,49.85031383969431,fondos_exterior_amplio,solo_hojas_jerarquia,2.0790357642551203,107.90357642551203,103.64058533206642,8.100187187665142e-13
2019-10,Prima,6684305.994877353,51,103.64058533206723,6449506.2175312005,3215098.2630163003,49.85030100873374,administradoras_fondos_exterior,solo_hojas_jerarquia,2.079036299377785,107.9036299377785,103.64058533206642,8.100187187665142e-13
2019-10,Prima,6684305.994877353,51,103.64058533206723,6449506.2175312005,2735867.4321833,42.419796801600114,fondos_mutuos_mas_etf,solo_hojas_jerarquia,2.443212677722139,144.32126777221387,103.64058533206642,8.100187187665142e-13
2019-10,Prima,6684305.994877353,51,103.64058533206723,6449506.2175312005,2735866.6046497,42.41978397063954,fondos_mutuos_exterior,solo_hojas_jerarquia,2.443213416734991,144.3213416734991,103.64058533206642,8.100187187665142e-13
2019-10,Profuturo,6552042.5044167135,76,116.8965817350613,5604990.6739502,3346252.0843502996,59.70129620201454,total_exterior,solo_hojas_jerarquia,1.958024183252423,95.8024183252423,116.8965817350605,8.100187187665142e-13
2019-10,Profuturo,6552042.5044167135,76,116.8965817350613,5604990.6739502,3090935.1067422,55.14612399102919,rv_y_fondos_exterior,solo_hojas_jerarquia,2.119760615525335,111.97606155253351,116.8965817350605,8.100187187665142e-13
2019-10,Profuturo,6552042.5044167135,76,116.8965817350613,5604990.6739502,3090935.1067422,55.14612399102919,fondos_exterior_amplio,solo_hojas_jerarquia,2.119760615525335,111.97606155253351,116.8965817350605,8.100187187665142e-13
2019-10,Profuturo,6552042.5044167135,76,116.8965817350613,5604990.6739502,3090910.5171719,55.14568528253295,administradoras_fondos_exterior,solo_hojas_jerarquia,2.119777479165478,111.9777479165478,116.8965817350605,8.100187187665142e-13
2019-10,Profuturo,6552042.5044167135,76,116.8965817350613,5604990.6739502,2344318.0681892,41.82554806174204,fondos_mutuos_mas_etf,solo_hojas_jerarquia,2.7948607287225524,179.48607287225525,116.8965817350605,8.100187187665142e-13
2019-10,Profuturo,6552042.5044167135,76,116.8965817350613,5604990.6739502,2344293.4786189,41.8251093532458,fondos_mutuos_exterior,solo_hojas_jerarquia,2.794890044345786,179.4890044345786,116.8965817350605,8.100187187665142e-13
2019-11,Habitat,1493654.9889913537,98,116.20625379385731,1285348.1979042,748119.3451392001,58.20363278674462,total_exterior,solo_hojas_jerarquia,1.9965464049234474,99.65464049234474,116.20625379385945,2.1316282072803006e-12
2019-11,Habitat,1493654.9889913537,98,116.20625379385731,1285348.1979042,746186.9414706001,58.05329191632905,rv_y_fondos_exterior,solo_hojas_jerarquia,2.0017168701017853,100.17168701017853,116.20625379385945,2.1316282072803006e-12
2019-11,Habitat,1493654.9889913537,98,116.20625379385731,1285348.1979042,746186.9414706001,58.05329191632905,fondos_exterior_amplio,solo_hojas_jerarquia,2.0017168701017853,100.17168701017853,116.20625379385945,2.1316282072803006e-12
2019-11,Habitat,1493654.9889913537,98,116.20625379385731,1285348.1979042,745412.0574422,57.99300599305445,administradoras_fondos_exterior,solo_hojas_jerarquia,2.0037977305017947,100.37977305017947,116.20625379385945,2.1316282072803006e-12
2019-11,Habitat,1493654.9889913537,98,116.20625379385731,1285348.1979042,723997.5297367,56.32695723362747,fondos_mutuos_mas_etf,solo_hojas_jerarquia,2.0630664161721093,106.30664161721093,116.20625379385945,2.1316282072803006e-12
2019-11,Habitat,1493654.9889913537,98,116.20625379385731,1285348.1979042,723222.6457083,56.26667131035287,fondos_mutuos_exterior,solo_hojas_jerarquia,2.065276851955483,106.52768519554829,116.20625379385945,2.1316282072803006e-12
2019-11,Integra,8345971.998246828,124,110.03282581423746,7584983.786872,4183330.9983109003,55.152800795058646,total_exterior,solo_hojas_jerarquia,1.995054180894764,99.5054180894764,110.03282581423493,2.5295321393059567e-12
2019-11,Integra,8345971.998246828,124,110.03282581423746,7584983.786872,4084024.1006721,53.84354423724396,rv_y_fondos_exterior,solo_hojas_jerarquia,2.0435658048328724,104.35658048328725,110.03282581423493,2.5295321393059567e-12
2019-11,Integra,8345971.998246828,124,110.03282581423746,7584983.786872,4075947.9842471,53.73706917214259,fondos_exterior_amplio,solo_hojas_jerarquia,2.0476149427084698,104.76149427084698,110.03282581423493,2.5295321393059567e-12
2019-11,Integra,8345971.998246828,124,110.03282581423746,7584983.786872,4075947.9842471,53.73706917214259,administradoras_fondos_exterior,solo_hojas_jerarquia,2.0476149427084698,104.76149427084698,110.03282581423493,2.5295321393059567e-12
2019-11,Integra,8345971.998246828,124,110.03282581423746,7584983.786872,3241610.6272911,42.73721234449738,fondos_mutuos_mas_etf,solo_hojas_jerarquia,2.5746374126436224,157.46374126436226,110.03282581423493,2.5295321393059567e-12
2019-11,Integra,8345971.998246828,124,110.03282581423746,7584983.786872,3241610.6272911,42.73721234449738,fondos_mutuos_exterior,solo_hojas_jerarquia,2.5746374126436224,157.46374126436226,110.03282581423493,2.5295321393059567e-12
