afp,factor,rezago_dias_mercado,correlacion_raw,correlacion_winsorizada,observaciones,correlacion_abs_raw,correlacion_abs_winsorizada,cambio_por_extremos
Integra,ret_XLK,1,0.09129054109939613,0.12244376065440787,2565,0.09129054109939613,0.12244376065440787,0.03115321955501174
Integra,ret_XLK,2,0.008587278243909913,0.003529825469038616,2563,0.008587278243909913,0.003529825469038616,-0.005057452774871298
Integra,ret_XLK,3,0.01730873917726866,0.01672588749124698,2559,0.01730873917726866,0.01672588749124698,-0.0005828516860216827
Integra,ret_XLF,0,0.34902673477725515,0.3279851345715699,2672,0.34902673477725515,0.3279851345715699,-0.02104160020568524
Integra,ret_XLF,1,0.09076785480347532,0.12157152596280224,2565,0.09076785480347532,0.12157152596280224,0.030803671159326917
Integra,ret_XLF,2,0.03501706716966012,0.024352113732367727,2563,0.03501706716966012,0.024352113732367727,-0.010664953437292391
Integra,ret_XLF,3,0.0354196877174127,0.028960256540660614,2559,0.0354196877174127,0.028960256540660614,-0.006459431176752083
Integra,ret_XLE,0,0.3208302846666958,0.29400984481886566,2672,0.3208302846666958,0.29400984481886566,-0.026820439847830113
Integra,ret_XLE,1,0.08774595073667764,0.10826651399878155,2565,0.08774595073667764,0.10826651399878155,0.020520563262103914
Integra,ret_XLE,2,0.01910206291443089,0.003975342961575148,2563,0.01910206291443089,0.003975342961575148,-0.015126719952855743
Integra,ret_XLE,3,0.05141547269245111,0.023176096851006855,2559,0.05141547269245111,0.023176096851006855,-0.02823937584144425
Integra,ret_XLB,0,0.3690600696330304,0.350296839076576,2672,0.3690600696330304,0.350296839076576,-0.018763230556454402
Integra,ret_XLB,1,0.10007855243375009,0.12214127787121323,2565,0.10007855243375009,0.12214127787121323,0.02206272543746314
Integra,ret_XLB,2,0.02198934107329368,0.010314916499834029,2563,0.02198934107329368,0.010314916499834029,-0.01167442457345965
Integra,ret_XLB,3,0.03817644666125027,0.030858992621942655,2559,0.03817644666125027,0.030858992621942655,-0.007317454039307617
Integra,ret_XLI,0,0.369936774968012,0.3464370376241902,2672,0.369936774968012,0.3464370376241902,-0.023499737343821825
Integra,ret_XLI,1,0.09888102228068954,0.12296437526802907,2565,0.09888102228068954,0.12296437526802907,0.024083352987339532
Integra,ret_XLI,2,0.020608993739593733,0.007865424150078189,2563,0.020608993739593733,0.007865424150078189,-0.012743569589515544
