fecha_cartera,anio,mes,afp,fondo,monto_miles_soles,participacion_pct,archivo_fuente,hoja_fuente,fila_excel_aprox,nivel_profundidad,descripcion,ruta_jerarquica,nivel_1,nivel_2,nivel_3,tipo_fila,es_hoja
2015-04-30,2015,4,Profuturo,3,2157782.4826704073,37.783121543612225,FP-1356-ab2015.XLS,Fondo3xIntru,6,1,I. INVERSIONES LOCALES,I. INVERSIONES LOCALES,I. INVERSIONES LOCALES,,,categoria_nivel_1,False
2015-04-30,2015,4,Profuturo,3,3519388.716818248,61.62506773259059,FP-1356-ab2015.XLS,Fondo3xIntru,41,1,II. INVERSIONES EN EL EXTERIOR,II. INVERSIONES EN EL EXTERIOR,II. INVERSIONES EN EL EXTERIOR,,,categoria_nivel_1,False
2015-04-30,2015,4,Profuturo,3,33798.1289182806,0.5918107237971899,FP-1356-ab2015.XLS,Fondo3xIntru,58,1,III. OPERACIONES EN TRÁNSITO,III. OPERACIONES EN TRÁNSITO,III. OPERACIONES EN TRÁNSITO,,,categoria_nivel_1,True
2015-05-31,2015,5,Habitat,3,45482.9552369461,35.08091258010464,FP-1356-my2015.XLS,Fondo3xIntru,6,1,I. INVERSIONES LOCALES,I. INVERSIONES LOCALES,I. INVERSIONES LOCALES,,,categoria_nivel_1,False
2015-05-31,2015,5,Habitat,3,85742.49383509421,66.13301433381233,FP-1356-my2015.XLS,Fondo3xIntru,41,1,II. INVERSIONES EN EL EXTERIOR,II. INVERSIONES EN EL EXTERIOR,II. INVERSIONES EN EL EXTERIOR,,,categoria_nivel_1,False
2015-05-31,2015,5,Habitat,3,-1573.8753477560003,-1.213926913916978,FP-1356-my2015.XLS,Fondo3xIntru,58,1,III. OPERACIONES EN TRÁNSITO,III. OPERACIONES EN TRÁNSITO,III. OPERACIONES EN TRÁNSITO,,,categoria_nivel_1,True
2015-05-31,2015,5,Integra,3,3169293.2729966473,36.33584050895235,FP-1356-my2015.XLS,Fondo3xIntru,6,1,I. INVERSIONES LOCALES,I. INVERSIONES LOCALES,I. INVERSIONES LOCALES,,,categoria_nivel_1,False
2015-05-31,2015,5,Integra,3,5544313.471773488,63.56536700420734,FP-1356-my2015.XLS,Fondo3xIntru,41,1,II. INVERSIONES EN EL EXTERIOR,II. INVERSIONES EN EL EXTERIOR,II. INVERSIONES EN EL EXTERIOR,,,categoria_nivel_1,False
2015-05-31,2015,5,Integra,3,8616.90164807105,0.09879248684032074,FP-1356-my2015.XLS,Fondo3xIntru,58,1,III. OPERACIONES EN TRÁNSITO,III. OPERACIONES EN TRÁNSITO,III. OPERACIONES EN TRÁNSITO,,,categoria_nivel_1,True
2015-05-31,2015,5,Prima,3,3216640.2413364034,38.82339473469557,FP-1356-my2015.XLS,Fondo3xIntru,6,1,I. INVERSIONES LOCALES,I. INVERSIONES LOCALES,I. INVERSIONES LOCALES,,,categoria_nivel_1,False
