anio,mes,archivo,hoja,fecha_cartera,fila_codigos,fila_inicio_datos,frontera_metadatos_columna,afp_fondo3_detectadas,numero_afp_detectadas,unidad,filas_base,filas_canonicas,registros_largos,registros_refinados,parejas_exactas_originales,parejas_exactas_heuristicas,pendientes,fusiones_nuevas,incidencias_iniciales,estado_proceso,error,grupos_reconciliados,grupos_sin_isin,grupos_revisar,registros_isin,fondos_sin_isin_pareja
2021,10,CA-0001-oc2021.XLS,3,2021-10-29,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,710,350,386,372.0,304.0,14.0,54.0,14.0,50.0,correcto,,,,,,
2021,10,CA-0001-oc2021.XLS,9,2021-10-29,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,47,27,51,,,,,,,correcto,,,,,,
2021,10,CA-0001-oc2021.XLS,10,2021-10-29,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,630,457,381,328.0,,,83.0,53.0,,correcto,,136.0,136.0,1.0,192.0,53.0
2021,11,CA-0001-no2021.XLS,3,2021-11-30,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,713,353,392,378.0,306.0,14.0,58.0,14.0,48.0,correcto,,,,,,
2021,11,CA-0001-no2021.XLS,9,2021-11-30,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,47,27,51,,,,,,,correcto,,,,,,
2021,11,CA-0001-no2021.XLS,10,2021-11-30,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,641,465,387,336.0,,,84.0,51.0,,correcto,,140.0,135.0,1.0,201.0,51.0
2021,12,CA-0001-di2021.XLS,3,2021-12-31,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,720,357,395,380.0,307.0,15.0,58.0,15.0,49.0,correcto,,,,,,
2021,12,CA-0001-di2021.XLS,9,2021-12-31,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,46,26,51,,,,,,,correcto,,,,,,
2021,12,CA-0001-di2021.XLS,10,2021-12-31,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,647,464,383,332.0,,,81.0,51.0,,correcto,,142.0,132.0,1.0,200.0,51.0
2022,1,CA-0001-en2022.XLS,3,2022-01-31,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,714,356,397,382.0,306.0,15.0,61.0,15.0,49.0,correcto,,,,,,
2022,1,CA-0001-en2022.XLS,9,2022-01-31,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,46,26,51,,,,,,,correcto,,,,,,
2022,1,CA-0001-en2022.XLS,10,2022-01-31,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,643,460,394,343.0,,,80.0,51.0,,correcto,,141.0,133.0,1.0,212.0,51.0
2022,2,CA-0001-fe2022.XLS,3,2022-02-28,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,714,355,396,382.0,307.0,14.0,61.0,14.0,51.0,correcto,,,,,,
2022,2,CA-0001-fe2022.XLS,9,2022-02-28,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,44,24,48,,,,,,,correcto,,,,,,
2022,2,CA-0001-fe2022.XLS,10,2022-02-28,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,659,478,404,353.0,,,82.0,51.0,,correcto,,143.0,136.0,1.0,220.0,51.0
2022,3,CA-0001-ma2022.XLS,3,2022-03-31,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,718,357,395,382.0,303.0,13.0,66.0,13.0,53.0,correcto,,,,,,
2022,3,CA-0001-ma2022.XLS,9,2022-03-31,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,44,24,48,,,,,,,correcto,,,,,,
2022,3,CA-0001-ma2022.XLS,10,2022-03-31,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,662,476,402,351.0,,,79.0,51.0,,correcto,,144.0,132.0,1.0,221.0,51.0
2022,4,CA-0001-ab2022.XLS,3,2022-04-29,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,724,360,393,380.0,301.0,13.0,66.0,13.0,53.0,correcto,,,,,,
2022,4,CA-0001-ab2022.XLS,9,2022-04-29,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,42,23,46,,,,,,,correcto,,,,,,
2022,4,CA-0001-ab2022.XLS,10,2022-04-29,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,663,472,392,341.0,,,78.0,51.0,,correcto,,145.0,132.0,1.0,212.0,51.0
2022,5,CA-0001-my2022.XLS,3,2022-05-31,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,721,359,397,384.0,297.0,13.0,74.0,13.0,52.0,correcto,,,,,,
2022,5,CA-0001-my2022.XLS,9,2022-05-31,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,42,23,46,,,,,,,correcto,,,,,,
2022,5,CA-0001-my2022.XLS,10,2022-05-31,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,665,471,397,346.0,,,78.0,51.0,,correcto,,144.0,132.0,1.0,217.0,51.0
2022,6,CA-0001-jn2022.XLS,3,2022-06-30,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,726,361,393,379.0,303.0,14.0,62.0,14.0,50.0,correcto,,,,,,
2022,6,CA-0001-jn2022.XLS,9,2022-06-30,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,44,23,46,,,,,,,correcto,,,,,,
2022,6,CA-0001-jn2022.XLS,10,2022-06-30,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,660,469,398,347.0,,,77.0,51.0,,correcto,,145.0,130.0,1.0,219.0,51.0
2022,7,CA-0001-jl2022.XLS,3,2022-07-29,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,723,361,395,379.0,300.0,16.0,63.0,16.0,52.0,correcto,,,,,,
2022,7,CA-0001-jl2022.XLS,9,2022-07-29,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,44,23,47,,,,,,,correcto,,,,,,
2022,7,CA-0001-jl2022.XLS,10,2022-07-29,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,641,449,387,336.0,,,77.0,51.0,,correcto,,143.0,131.0,2.0,208.0,51.0
