fecha_cartera,afp,fondo,instrumento_id,tipo_id,moneda,peso_fondo,peso_fondo_pct,monto_miles_soles,archivo,grupo,entidad_administradora,isin,estado_identificacion,estado_cobertura,fuente_precio_sugerida,ticker_precio,proxy_si_no_hay_precio,estado_mapeo_precio
2026-01-30,Habitat,3,PRIVFAEAIP5B,isin,EUR,0.0025178554258184,0.25178554258185,12554.616439236106,CA-0001-en2026.XLS,317,Antin Infrastructure Partners V Luxembourg GP,PRIVFAEAIP5B,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,GB00BKPQVT86,isin,GBP,0.0025051182179308,0.2505118217930894,12491.10573965584,CA-0001-en2026.XLS,159,LionTrust Fund Partners LLP,GB00BKPQVT86,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAECOL8F,isin,USD,0.0024466641436535,0.244666414365358,12199.640044549964,CA-0001-en2026.XLS,228,"Coller International Partners VII Feeder Fund, LP",PRIVFAECOL8F,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAEA10FE,isin,USD,0.0023572183818063,0.2357218381806373,11753.642541837158,CA-0001-en2026.XLS,290,APAX X USD Feeder L.P.,PRIVFAEA10FE,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,LU0206294794,isin,USD,0.0022682726608344,0.2268272660834404,11310.138359959286,CA-0001-en2026.XLS,114,ALLIANCE BERNSTEIN L.P,LU0206294794,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAEOSF6F,isin,USD,0.0022086284252998,0.2208628425299846,11012.738242276037,CA-0001-en2026.XLS,288,"Oaktree Special Situations Fund II GP, L.P.",PRIVFAEOSF6F,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAEP8SCS,isin,EUR,0.0020912774462693,0.2091277446269355,10427.598795670314,CA-0001-en2026.XLS,319,PAI Partners VIII GP S.à r.l.,PRIVFAEP8SCS,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAENHIP3,isin,USD,0.0020360915720245,0.2036091572024508,10152.429110825224,CA-0001-en2026.XLS,193,MORGAN STANLEY,PRIVFAENHIP3,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAENBDF3,isin,USD,0.0020254958504252,0.2025495850425225,10099.596363078126,CA-0001-en2026.XLS,282,"NB Private Debt Associates III, LP",PRIVFAENBDF3,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,GB0033031153,isin,GBP,0.0020149598213619,0.2014959821361996,10047.061256286408,CA-0001-en2026.XLS,108,Invesco Fund Managers Limited,GB0033031153,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAECEVVI,isin,USD,0.0018424162963867,0.18424162963867,9186.718858178148,CA-0001-en2026.XLS,307,"Cortland Enhanced Value Fund V GP, LLC",PRIVFAECEVVI,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAESPOR7,isin,USD,0.0017857999929777,0.1785799992977731,8904.416718739001,CA-0001-en2026.XLS,287,SPFSA RE VII L.L.C.,PRIVFAESPOR7,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAEV5FSC,isin,EUR,0.0017503515017076,0.175035150170761,8727.662244799614,CA-0001-en2026.XLS,321,Vitruvian Luxcar General Partner S.à.r.l,PRIVFAEV5FSC,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,Fortress Real Estate Opportunities Fund III (C) L.P.,fondo_sin_isin,USD,0.0015455500963611,0.1545550096361119,7706.474505433729,CA-0001-en2026.XLS,271,FRO Fund III GP LLC,,entidad_sin_isin,estricto,proxy_pendiente,,,pendiente
2026-01-30,Habitat,3,PRIVFAESPOS8,isin,USD,0.0012264957931228,0.1226495793122842,6115.595077103506,CA-0001-en2026.XLS,285,Strategic Partners Fund Solutions GP (Offshor,PRIVFAESPOS8,isin,estricto,mapear_isin_a_ticker,,,pendiente
