nivel_profundidad,nivel_1,nivel_2,nivel_3,descripcion,ruta_jerarquica,tipo_fila,es_hoja
4,,I. INVERSIONES LOCALES,1. Gobierno,Certificados y Depósitos a Plazo del BCRP (1),I. INVERSIONES LOCALES > 1. Gobierno > Certificados y Depósitos a Plazo del BCRP (1),instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,1. Gobierno,Letras del Tesoro,I. INVERSIONES LOCALES > 1. Gobierno > Letras del Tesoro,instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,2. Sistema Financiero,Acciones Preferentes,I. INVERSIONES LOCALES > 2. Sistema Financiero > Acciones Preferentes,instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,2. Sistema Financiero,Acciones y Valores representativos sobre Acciones,I. INVERSIONES LOCALES > 2. Sistema Financiero > Acciones y Valores representativos sobre Acciones,instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,2. Sistema Financiero,Bonos Hipotecarios,I. INVERSIONES LOCALES > 2. Sistema Financiero > Bonos Hipotecarios,instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,2. Sistema Financiero,Bonos Subordinados,I. INVERSIONES LOCALES > 2. Sistema Financiero > Bonos Subordinados,instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,2. Sistema Financiero,Bonos de Arrendamiento Financiero,I. INVERSIONES LOCALES > 2. Sistema Financiero > Bonos de Arrendamiento Financiero,instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,2. Sistema Financiero,Certificados y Depósitos a Plazo (2),I. INVERSIONES LOCALES > 2. Sistema Financiero > Certificados y Depósitos a Plazo (2),instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,2. Sistema Financiero,Letras Hipotecarias,I. INVERSIONES LOCALES > 2. Sistema Financiero > Letras Hipotecarias,instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,2. Sistema Financiero,Otros Bonos Sector Financiero,I. INVERSIONES LOCALES > 2. Sistema Financiero > Otros Bonos Sector Financiero,instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,2. Sistema Financiero,Papeles Comerciales,I. INVERSIONES LOCALES > 2. Sistema Financiero > Papeles Comerciales,instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,2. Sistema Financiero,Títulos de Deuda emitidos por Entidades Financieras del Exterior en el mercado local,I. INVERSIONES LOCALES > 2. Sistema Financiero > Títulos de Deuda emitidos por Entidades Financieras del Exterior en el mercado local,instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,2. Sistema Financiero,Títulos de Deuda emitidos por Organismos Internacionales en el mercado local,I. INVERSIONES LOCALES > 2. Sistema Financiero > Títulos de Deuda emitidos por Organismos Internacionales en el mercado local,instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,3. Empresas no Financieras,Acciones de Capital por Privatización,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Acciones de Capital por Privatización,instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,3. Empresas no Financieras,Acciones y Valores representativos sobre Acciones,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Acciones y Valores representativos sobre Acciones,instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,3. Empresas no Financieras,Bonos Estructurados,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Bonos Estructurados,instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,3. Empresas no Financieras,Bonos de Empresas no Financieras,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Bonos de Empresas no Financieras,instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,3. Empresas no Financieras,Bonos para Nuevos Proyectos,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Bonos para Nuevos Proyectos,instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,3. Empresas no Financieras,Certificados de Suscripción Preferente,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Certificados de Suscripción Preferente,instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,3. Empresas no Financieras,Otros instrumentos autorizados (3),I. INVERSIONES LOCALES > 3. Empresas no Financieras > Otros instrumentos autorizados (3),instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,3. Empresas no Financieras,Pagarés LP,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Pagarés LP,instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,3. Empresas no Financieras,Papeles Comerciales,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Papeles Comerciales,instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,3. Empresas no Financieras,Títulos de Deuda emitidos por Entidades No Financieras del Exterior en el mercado local,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Títulos de Deuda emitidos por Entidades No Financieras del Exterior en el mercado local,instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,4. Administradoras de Fondos,Bonos de Fondos de Inversión,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Bonos de Fondos de Inversión,instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,4. Administradoras de Fondos,Cuotas de Fondos Mutuos,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Cuotas de Fondos Mutuos,instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,4. Administradoras de Fondos,Cuotas de Fondos de Inversión,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Cuotas de Fondos de Inversión,instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,5. Sociedades Titulizadoras,Bonos Hipotecarios,I. INVERSIONES LOCALES > 5. Sociedades Titulizadoras > Bonos Hipotecarios,instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,5. Sociedades Titulizadoras,Bonos de Titulización (5),I. INVERSIONES LOCALES > 5. Sociedades Titulizadoras > Bonos de Titulización (5),instrumento_o_detalle,True
4,,I. INVERSIONES LOCALES,5. Sociedades Titulizadoras,Titulos con Derecho de Participación,I. INVERSIONES LOCALES > 5. Sociedades Titulizadoras > Titulos con Derecho de Participación,instrumento_o_detalle,True
4,,II. INVERSIONES EN EL EXTERIOR,1. Gobierno,Títulos de Deuda,II. INVERSIONES EN EL EXTERIOR > 1. Gobierno > Títulos de Deuda,instrumento_o_detalle,True
4,,II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Acciones y Valores representativos sobre Acciones,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Acciones y Valores representativos sobre Acciones,instrumento_o_detalle,True
4,,II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Bonos del Sistema Financiero,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Bonos del Sistema Financiero,instrumento_o_detalle,True
4,,II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Certificados y Depósitos a Plazo (2) (4),II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Certificados y Depósitos a Plazo (2) (4),instrumento_o_detalle,True
