afp,modelo,segmento,tipo_features,parametros,n,mae,rmse,r2,sesgo,correlacion,direccion_diaria_pct
Integra,LAD_Q50,prueba,estatico,"{""alpha"": 0.001}",593,0.004850519754997373,0.007158715442255229,0.18127649817582048,-2.8426443534368763e-05,0.49855843623151147,66.61045531197301
Integra,ARDL_OLS,entrenamiento,ardl,{},1776,0.003159774982698934,0.004286517084746655,0.2833903976779253,3.9070348558036195e-21,0.5323442473418168,65.09009009009009
Integra,ARDL_OLS,validacion,ardl,{},593,0.0033926708145630606,0.005474224535898362,0.1773850284476881,0.0003747834611782277,0.4273705513888108,62.22596964586846
Integra,ARDL_OLS,prueba,ardl,{},593,0.004899642340775462,0.007063377448401545,0.2029383997342643,0.0002953809488781674,0.46372148890813925,60.70826306913997
Integra,ARDL_RIDGE,entrenamiento,ardl,"{""alpha"": 0.001}",1776,0.0031597749218354398,0.004286517084747075,0.2833903976777852,-6.641959254866153e-20,0.532344247341741,65.09009009009009
Integra,ARDL_RIDGE,validacion,ardl,"{""alpha"": 0.001}",593,0.003392670494779324,0.005474224419653241,0.17738506338413473,0.00037478331956764866,0.42737056972368925,62.22596964586846
Integra,ARDL_RIDGE,prueba,ardl,"{""alpha"": 0.001}",593,0.004899642291606808,0.00706337745888097,0.2029383973691785,0.00029538056241233874,0.46372151036325915,60.70826306913997
Prima,OLS,entrenamiento,estatico,{},1779,0.0030089656376302283,0.004192087625869108,0.32073847769410646,8.776004094317743e-20,0.5663377770324939,67.06014614952221
Prima,OLS,validacion,estatico,{},593,0.0031161460396821905,0.004358375583139637,0.2013919950030918,0.00034069139645111,0.45541678857519086,65.7672849915683
Prima,OLS,prueba,estatico,{},593,0.00457838265857573,0.0071488896450677825,0.2734853357256207,-0.00011756014607128872,0.5672907739796844,68.63406408094434
Prima,RIDGE,entrenamiento,estatico,"{""alpha"": 0.001}",1779,0.0030089655979988004,0.004192087625869487,0.32073847769398345,2.925334698105914e-20,0.5663377770324246,67.06014614952221
Prima,RIDGE,validacion,estatico,"{""alpha"": 0.001}",593,0.00311614600968362,0.004358375710092206,0.20139194847872177,0.0003406912625686606,0.4554167269191953,65.7672849915683
Prima,RIDGE,prueba,estatico,"{""alpha"": 0.001}",593,0.004578383039445247,0.007148890188708982,0.27348522522921137,-0.00011756019311946118,0.5672907125181123,68.63406408094434
Prima,ELASTIC_NET,entrenamiento,estatico,"{""alpha"": 1e-05, ""l1_ratio"": 0.1}",1779,0.0030089177085394748,0.004192089472561465,0.32073787923937447,9.361071033938925e-20,0.5663373185074516,67.00393479482855
Prima,ELASTIC_NET,validacion,estatico,"{""alpha"": 1e-05, ""l1_ratio"": 0.1}",593,0.0031162388613280283,0.004358862911366373,0.20121339360738055,0.0003404119996094425,0.4552105800336823,65.7672849915683
Prima,ELASTIC_NET,prueba,estatico,"{""alpha"": 1e-05, ""l1_ratio"": 0.1}",593,0.0045793009754722305,0.007150250139156171,0.27320878565779627,-0.00011765790374031009,0.5671099767125416,68.63406408094434
Prima,HUBER,entrenamiento,estatico,"{""alpha"": 0.1, ""epsilon"": 2.0}",1779,0.0029945986972136074,0.0042079679585928335,0.31558241644796425,2.5370840045012985e-05,0.5641273180109937,67.28499156829679
Prima,HUBER,validacion,estatico,"{""alpha"": 0.1, ""epsilon"": 2.0}",593,0.003092852765347938,0.004386770718918079,0.19095211798955158,0.0003494673339609081,0.4429563041508225,64.92411467116358
Prima,HUBER,prueba,estatico,"{""alpha"": 0.1, ""epsilon"": 2.0}",593,0.0046290870385460115,0.007253461947911627,0.2520753055532883,-0.00014133437116426166,0.5619065200980063,68.63406408094434
Prima,LAD_Q50,entrenamiento,estatico,"{""alpha"": 0.0}",1779,0.002992073141233679,0.004223509047348952,0.31051762682396233,9.624813888705689e-05,0.5635444565451738,66.89151208544126
Prima,LAD_Q50,validacion,estatico,"{""alpha"": 0.0}",593,0.003088495878664638,0.004399536216116137,0.186236610287275,0.00041417234688814075,0.44136020761906297,64.58684654300168
Prima,LAD_Q50,prueba,estatico,"{""alpha"": 0.0}",593,0.0046755068331109624,0.007323763998769784,0.23750696522262404,-9.34063493643148e-05,0.5583595419103152,68.12816188870153
Prima,ARDL_OLS,entrenamiento,ardl,{},1776,0.002753825234720873,0.0038626991118276203,0.421150083653151,2.1488691706919908e-20,0.6489607720449294,70.6081081081081
Prima,ARDL_OLS,validacion,ardl,{},593,0.0030825538498742634,0.004265582649841316,0.2350358615337934,0.0003985350374836986,0.49846367151512855,67.62225969645868
Prima,ARDL_OLS,prueba,ardl,{},593,0.004709815653826157,0.007244931648693481,0.2538334370301464,0.00017049644639235528,0.5233019097142119,65.7672849915683
Prima,ARDL_RIDGE,entrenamiento,ardl,"{""alpha"": 0.001}",1776,0.0027538251833211236,0.003862699111828133,0.42115008365299733,2.344220913482172e-20,0.6489607720448548,70.6081081081081
Prima,ARDL_RIDGE,validacion,ardl,"{""alpha"": 0.001}",593,0.0030825536655122187,0.004265582578872512,0.2350358869880368,0.0003985347443802875,0.4984636607893703,67.62225969645868
Prima,ARDL_RIDGE,prueba,ardl,"{""alpha"": 0.001}",593,0.004709815944549055,0.00724493203934743,0.25383335656205197,0.00017049619247243885,0.5233018471222212,65.7672849915683
Profuturo,OLS,entrenamiento,estatico,{},1779,0.0034038884286535023,0.004703412108888239,0.20290762466101941,1.1116271852802474e-19,0.4504526885933967,64.86790331646992
Profuturo,OLS,validacion,estatico,{},593,0.0034054883001507987,0.004734869641686462,0.17391006089480932,0.0003192667758967491,0.4218391566211358,63.23777403035413
Profuturo,OLS,prueba,estatico,{},593,0.004920910455659094,0.007195630963168798,0.2301012082556949,1.033072503595654e-05,0.5304639164730961,66.27318718381113
Profuturo,RIDGE,entrenamiento,estatico,"{""alpha"": 0.001}",1779,0.003403888429636284,0.0047034121088884075,0.20290762466096235,7.800892528282438e-20,0.45045268859336507,64.86790331646992
Profuturo,RIDGE,validacion,estatico,"{""alpha"": 0.001}",593,0.003405488164005575,0.004734869553231191,0.17391009176028804,0.0003192668179174774,0.4218391875008043,63.23777403035413
Profuturo,RIDGE,prueba,estatico,"{""alpha"": 0.001}",593,0.0049209105216636104,0.007195631093400485,0.2301011803873344,1.0330715494319152e-05,0.5304639259716886,66.27318718381113
Profuturo,ELASTIC_NET,entrenamiento,estatico,"{""alpha"": 1e-05, ""l1_ratio"": 0.1}",1779,0.0034038308922558222,0.004703412221521035,0.20290758648501384,7.020803275454194e-20,0.45045268530604016,64.86790331646992
Profuturo,ELASTIC_NET,validacion,estatico,"{""alpha"": 1e-05, ""l1_ratio"": 0.1}",593,0.0034053617330621756,0.004734874888161968,0.17390823019476465,0.000319242402229303,0.4218291654727937,63.23777403035413
Profuturo,ELASTIC_NET,prueba,estatico,"{""alpha"": 1e-05, ""l1_ratio"": 0.1}",593,0.004921025125947343,0.007195924469739816,0.23003839931950376,1.0194174949815737e-05,0.5304594756555229,66.27318718381113
Profuturo,HUBER,entrenamiento,estatico,"{""alpha"": 1e-06, ""epsilon"": 2.0}",1779,0.003389435256466698,0.004713330123791962,0.19954244676121213,5.944974650027615e-05,0.4484189219067039,65.09274873524453
Profuturo,HUBER,validacion,estatico,"{""alpha"": 1e-06, ""epsilon"": 2.0}",593,0.003395940224216987,0.004760753873774149,0.16485335943677315,0.0003653843404704715,0.4124365365304723,62.900505902192236
Profuturo,HUBER,prueba,estatico,"{""alpha"": 1e-06, ""epsilon"": 2.0}",593,0.004954404236614935,0.007280957752962095,0.21173381531680013,9.231257506882295e-06,0.5250394741701762,66.10455311973018
Profuturo,LAD_Q50,entrenamiento,estatico,"{""alpha"": 0.0}",1779,0.003384210825782586,0.004728717392292421,0.1943075237047237,0.00016780819204824493,0.4477921169959073,65.14896008993817
Profuturo,LAD_Q50,validacion,estatico,"{""alpha"": 0.0}",593,0.003394505567906863,0.004780357696474796,0.1579612681683804,0.0004716393850466031,0.41082189308258293,63.23777403035413
Profuturo,LAD_Q50,prueba,estatico,"{""alpha"": 0.0}",593,0.0049864753874433385,0.0073513156376966505,0.19642574475689867,9.125156820257749e-05,0.5230427989496534,65.59865092748736
Profuturo,ARDL_OLS,entrenamiento,ardl,{},1776,0.0032865915588151454,0.004515933912984251,0.26256316251352474,-5.86055228370543e-21,0.512409174892024,65.59684684684684
Profuturo,ARDL_OLS,validacion,ardl,{},593,0.003344975030020409,0.004583865071833474,0.22576120199810112,0.0003854861266617507,0.48260292826498724,65.59865092748736
Profuturo,ARDL_OLS,prueba,ardl,{},593,0.004980896913735149,0.007209922856508145,0.22703983982088238,0.0003553539837664775,0.5035812000807235,62.22596964586846
Profuturo,ARDL_RIDGE,entrenamiento,ardl,"{""alpha"": 0.001}",1776,0.003286591471475007,0.004515933912984706,0.2625631625133761,-1.5628139423214478e-20,0.5124091748919394,65.59684684684684
Profuturo,ARDL_RIDGE,validacion,ardl,"{""alpha"": 0.001}",593,0.0033449747876849586,0.004583864922626143,0.22576125240189848,0.00038548596063877293,0.482602953410211,65.59865092748736
