fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,identificador_especifico,categoria_instrumento,estado_pareja,moneda,total_canonico,participacion_calculada_pct,estado_refinado,fila_categoria_origen,total_refinado,participacion_hoja3_refinada_pct,fuente_detalle,identificador_final,categoria_final,grupo,entidad_administradora,isin,seccion,estado_identificacion,instrumento_sin_isin,fila_instrumento_origen,participacion_hoja10_refinada_pct,valor_abs,ranking
2026-01-30,CA-0001-en2026.XLS,10,523,Integra,3,41166.7272217018,miles_soles,0.0121162588146569,,,,,2462373.921423915,1.6718308646599196,entidad_sin_isin_pendiente,,2093586.452720453,,hoja_10,Lexington Partners GP Holdings IX LLC,Lexington Partners GP Holdings IX LLC,269.0,Lexington Partners GP Holdings IX LLC,,,entidad_sin_isin,,,1.9663256403005875,41166.7272217018,15
2026-01-30,CA-0001-en2026.XLS,10,524,Integra,3,41166.7272217018,miles_soles,0.0121162588146569,,,,USD,2462373.921423915,1.6718308646599196,entidad_sin_isin_pendiente,,2093586.452720453,,hoja_10,"LCP IX Peru, L.P","LCP IX Peru, L.P",270.0,"LCP IX Peru, L.P",,,entidad_sin_isin,,,1.9663256403005875,41166.7272217018,16
2026-01-30,CA-0001-en2026.XLS,10,494,Integra,3,39084.1884802275,miles_soles,0.0115033225895505,,,,USD,2462373.921423915,1.5872564333213175,fondo_sin_isin_pareja_exacta,,2093586.452720453,,hoja_10,Harbourvest Partners Co-investment Fund IV LP,Harbourvest Co-Investment IV Associates LP,240.0,Harbourvest Co-Investment IV Associates LP,,,entidad_sin_isin,Harbourvest Partners Co-investment Fund IV LP,495.0,1.8668533334002344,39084.1884802275,17
2026-01-30,CA-0001-en2026.XLS,10,148,Integra,3,37362.84064,miles_soles,0.0109966926641273,,,,USD,2462373.921423915,1.5173504038084606,isin,,2093586.452720453,,hoja_10,US4642864007,BlackRock Fund Advisors,75.0,BlackRock Fund Advisors,US4642864007,,isin,,,1.7846332828266964,37362.84064,18
2026-01-30,CA-0001-en2026.XLS,10,469,Integra,3,36659.1610105323,miles_soles,0.0107895845190636,,,,USD,2462373.921423915,1.4887731181515047,fondo_sin_isin_pareja_exacta,,2093586.452720453,,hoja_10,Oaktree Principal Fund VI L.P. (Feeder),"Oaktree Principal Fund VI GP, L.P.",217.0,"Oaktree Principal Fund VI GP, L.P.",,,entidad_sin_isin,Oaktree Principal Fund VI L.P. (Feeder),470.0,1.751022078065922,36659.1610105323,19
2026-01-30,CA-0001-en2026.XLS,10,74,Integra,3,32198.5261908,miles_soles,0.0094767231477313,,,,COP,2462373.921423915,1.307621312533256,isin,,2093586.452720453,,hoja_10,COL17CT03938,REPUBLICA DE COLOMBIA,56.0,REPUBLICA DE COLOMBIA,COL17CT03938,,isin,,,1.5379601902257494,32198.5261908,20
2026-01-30,CA-0001-en2026.XLS,10,153,Prima,3,208323.507464,miles_soles,0.0691541317182881,,,,USD,1760997.744240957,11.829856576777935,isin,,1717998.2934177178,,hoja_10,US4642867729,BlackRock Fund Advisors,75.0,BlackRock Fund Advisors,US4642867729,,isin,,,12.125943795297344,208323.507464,1
2026-01-30,CA-0001-en2026.XLS,10,189,Prima,3,199460.63755808,miles_soles,0.0662120534077933,,,,USD,1760997.744240957,11.32656973641119,isin,,1717998.2934177178,,hoja_10,US92189F6768,VAN ECK ASSOCIATES CORPORATION,85.0,VAN ECK ASSOCIATES CORPORATION,US92189F6768,,isin,,,11.610060284826064,199460.63755808,2
2026-01-30,CA-0001-en2026.XLS,10,145,Prima,3,198733.5663144,miles_soles,0.0659706981178114,,,,USD,1760997.744240957,11.28528227615988,isin,,1717998.2934177178,,hoja_10,US4642875235,BlackRock Fund Advisors,75.0,BlackRock Fund Advisors,US4642875235,,isin,,,11.567739448625836,198733.5663144,3
2026-01-30,CA-0001-en2026.XLS,10,188,Prima,3,156875.148576,miles_soles,0.0520755666031854,,,,USD,1760997.744240957,8.908310592051206,isin,,1717998.2934177178,,hoja_10,US92189F1066,VAN ECK ASSOCIATES CORPORATION,85.0,VAN ECK ASSOCIATES CORPORATION,US92189F1066,,isin,,,9.131274994686915,156875.148576,4
