afp,modelo_codigo,familia,parametros,umbral,brier,auc,prevalencia_caida_pct,n,n_alertas,tp,fp,fn,tn,precision_alerta_pct,cobertura_caidas_pct,falsas_alarmas_pct,cobertura_alertas_pct,puntaje_control_riesgo
Habitat,gradient_d3_lr0.03,gradient_boosting,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 160}",0.7,0.24415272464009607,0.6005515895084497,48.31649831649832,594,0,0,0,287,307,,0.0,0.0,0.0,0.0
Habitat,gradient_d3_lr0.03,gradient_boosting,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 160}",0.75,0.24415272464009607,0.6005515895084497,48.31649831649832,594,0,0,0,287,307,,0.0,0.0,0.0,0.0
Habitat,gradient_d3_lr0.05,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 160}",0.55,0.2457870100491485,0.604387746995199,48.31649831649832,594,66,41,25,246,282,62.121212121212125,14.285714285714285,8.143322475570033,11.11111111111111,0.28785234852010094
Habitat,gradient_d3_lr0.05,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 160}",0.6,0.2457870100491485,0.604387746995199,48.31649831649832,594,29,18,11,269,296,62.06896551724138,6.2717770034843205,3.5830618892508146,4.882154882154882,0.24815309094025775
Habitat,gradient_d3_lr0.05,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 160}",0.65,0.2457870100491485,0.604387746995199,48.31649831649832,594,5,3,2,284,305,60.0,1.0452961672473868,0.6514657980456027,0.8417508417508417,0.21509766312181502
Habitat,gradient_d3_lr0.05,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 160}",0.7,0.2457870100491485,0.604387746995199,48.31649831649832,594,0,0,0,287,307,,0.0,0.0,0.0,0.0
Habitat,gradient_d3_lr0.05,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 160}",0.75,0.2457870100491485,0.604387746995199,48.31649831649832,594,0,0,0,287,307,,0.0,0.0,0.0,0.0
Integra,logistica_c0.1,regresion_logistica,"{""C"": 0.1}",0.55,0.25429709442408555,0.5266971301577223,49.32659932659932,594,11,8,3,285,298,72.72727272727273,2.7303754266211606,0.9966777408637874,1.8518518518518516,0.26856584165100716
Integra,logistica_c0.1,regresion_logistica,"{""C"": 0.1}",0.6,0.25429709442408555,0.5266971301577223,49.32659932659932,594,1,0,1,293,300,0.0,0.0,0.33222591362126247,0.16835016835016833,-0.0003322259136212625
Integra,logistica_c0.1,regresion_logistica,"{""C"": 0.1}",0.65,0.25429709442408555,0.5266971301577223,49.32659932659932,594,0,0,0,293,301,,0.0,0.0,0.0,0.0
Integra,logistica_c0.1,regresion_logistica,"{""C"": 0.1}",0.7,0.25429709442408555,0.5266971301577223,49.32659932659932,594,0,0,0,293,301,,0.0,0.0,0.0,0.0
Integra,logistica_c0.1,regresion_logistica,"{""C"": 0.1}",0.75,0.25429709442408555,0.5266971301577223,49.32659932659932,594,0,0,0,293,301,,0.0,0.0,0.0,0.0
Integra,logistica_c1,regresion_logistica,"{""C"": 1.0}",0.55,0.25428569499136056,0.5224564307824884,49.32659932659932,594,1,0,1,293,300,0.0,0.0,0.33222591362126247,0.16835016835016833,-0.0003322259136212625
Integra,logistica_c1,regresion_logistica,"{""C"": 1.0}",0.6,0.25428569499136056,0.5224564307824884,49.32659932659932,594,0,0,0,293,301,,0.0,0.0,0.0,0.0
Integra,logistica_c1,regresion_logistica,"{""C"": 1.0}",0.65,0.25428569499136056,0.5224564307824884,49.32659932659932,594,0,0,0,293,301,,0.0,0.0,0.0,0.0
Integra,logistica_c1,regresion_logistica,"{""C"": 1.0}",0.7,0.25428569499136056,0.5224564307824884,49.32659932659932,594,0,0,0,293,301,,0.0,0.0,0.0,0.0
Integra,logistica_c1,regresion_logistica,"{""C"": 1.0}",0.75,0.25428569499136056,0.5224564307824884,49.32659932659932,594,0,0,0,293,301,,0.0,0.0,0.0,0.0
Integra,logistica_c10,regresion_logistica,"{""C"": 10.0}",0.55,0.2544066613648824,0.5217080720692118,49.32659932659932,594,1,0,1,293,300,0.0,0.0,0.33222591362126247,0.16835016835016833,-0.0003322259136212625
Integra,logistica_c10,regresion_logistica,"{""C"": 10.0}",0.6,0.2544066613648824,0.5217080720692118,49.32659932659932,594,0,0,0,293,301,,0.0,0.0,0.0,0.0
Integra,logistica_c10,regresion_logistica,"{""C"": 10.0}",0.65,0.2544066613648824,0.5217080720692118,49.32659932659932,594,0,0,0,293,301,,0.0,0.0,0.0,0.0
Integra,logistica_c10,regresion_logistica,"{""C"": 10.0}",0.7,0.2544066613648824,0.5217080720692118,49.32659932659932,594,0,0,0,293,301,,0.0,0.0,0.0,0.0
Integra,logistica_c10,regresion_logistica,"{""C"": 10.0}",0.75,0.2544066613648824,0.5217080720692118,49.32659932659932,594,0,0,0,293,301,,0.0,0.0,0.0,0.0
Integra,gradient_d2_lr0.03,gradient_boosting,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 160}",0.55,0.2520939455180466,0.5330071547628497,49.32659932659932,594,40,24,16,269,285,60.0,8.19112627986348,5.3156146179401995,6.7340067340067336,0.24973557992130893
Integra,gradient_d2_lr0.03,gradient_boosting,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 160}",0.6,0.2520939455180466,0.5330071547628497,49.32659932659932,594,3,3,0,290,301,100.0,1.023890784982935,0.0,0.5050505050505051,0.3556313993174061
Integra,gradient_d2_lr0.03,gradient_boosting,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 160}",0.65,0.2520939455180466,0.5330071547628497,49.32659932659932,594,0,0,0,293,301,,0.0,0.0,0.0,0.0
Integra,gradient_d2_lr0.03,gradient_boosting,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 160}",0.7,0.2520939455180466,0.5330071547628497,49.32659932659932,594,0,0,0,293,301,,0.0,0.0,0.0,0.0
Integra,gradient_d2_lr0.03,gradient_boosting,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 160}",0.75,0.2520939455180466,0.5330071547628497,49.32659932659932,594,0,0,0,293,301,,0.0,0.0,0.0,0.0
Integra,gradient_d2_lr0.05,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 160}",0.55,0.25238651439624166,0.5311872824373816,49.32659932659932,594,5,4,1,289,300,80.0,1.3651877133105803,0.33222591362126247,0.8417508417508417,0.2871763065095869
Integra,gradient_d2_lr0.05,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 160}",0.6,0.25238651439624166,0.5311872824373816,49.32659932659932,594,0,0,0,293,301,,0.0,0.0,0.0,0.0
Integra,gradient_d2_lr0.05,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 160}",0.65,0.25238651439624166,0.5311872824373816,49.32659932659932,594,0,0,0,293,301,,0.0,0.0,0.0,0.0
Integra,gradient_d2_lr0.05,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 160}",0.7,0.25238651439624166,0.5311872824373816,49.32659932659932,594,0,0,0,293,301,,0.0,0.0,0.0,0.0
Integra,gradient_d2_lr0.05,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 160}",0.75,0.25238651439624166,0.5311872824373816,49.32659932659932,594,0,0,0,293,301,,0.0,0.0,0.0,0.0
Integra,gradient_d3_lr0.03,gradient_boosting,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 160}",0.55,0.2522978962911406,0.53517852890819,49.32659932659932,594,16,9,7,284,294,56.25,3.0716723549488054,2.3255813953488373,2.6936026936026933,0.2114436165568696
Integra,gradient_d3_lr0.03,gradient_boosting,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 160}",0.6,0.2522978962911406,0.53517852890819,49.32659932659932,594,0,0,0,293,301,,0.0,0.0,0.0,0.0
Integra,gradient_d3_lr0.03,gradient_boosting,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 160}",0.65,0.2522978962911406,0.53517852890819,49.32659932659932,594,0,0,0,293,301,,0.0,0.0,0.0,0.0
Integra,gradient_d3_lr0.03,gradient_boosting,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 160}",0.7,0.2522978962911406,0.53517852890819,49.32659932659932,594,0,0,0,293,301,,0.0,0.0,0.0,0.0
Integra,gradient_d3_lr0.03,gradient_boosting,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 160}",0.75,0.2522978962911406,0.53517852890819,49.32659932659932,594,0,0,0,293,301,,0.0,0.0,0.0,0.0
Integra,gradient_d3_lr0.05,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 160}",0.55,0.2522201300554271,0.5383760615921899,49.32659932659932,594,0,0,0,293,301,,0.0,0.0,0.0,0.0
Integra,gradient_d3_lr0.05,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 160}",0.6,0.2522201300554271,0.5383760615921899,49.32659932659932,594,0,0,0,293,301,,0.0,0.0,0.0,0.0
Integra,gradient_d3_lr0.05,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 160}",0.65,0.2522201300554271,0.5383760615921899,49.32659932659932,594,0,0,0,293,301,,0.0,0.0,0.0,0.0
Integra,gradient_d3_lr0.05,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 160}",0.7,0.2522201300554271,0.5383760615921899,49.32659932659932,594,0,0,0,293,301,,0.0,0.0,0.0,0.0
Integra,gradient_d3_lr0.05,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 160}",0.75,0.2522201300554271,0.5383760615921899,49.32659932659932,594,0,0,0,293,301,,0.0,0.0,0.0,0.0
Prima,logistica_c0.1,regresion_logistica,"{""C"": 0.1}",0.55,0.24871201516432248,0.5754690213258578,48.31649831649832,594,8,7,1,280,306,87.5,2.4390243902439024,0.32573289902280134,1.3468013468013467,0.3193389012473186
Prima,logistica_c0.1,regresion_logistica,"{""C"": 0.1}",0.6,0.24871201516432248,0.5754690213258578,48.31649831649832,594,1,1,0,286,307,100.0,0.34843205574912894,0.0,0.16835016835016833,0.3519163763066202
Prima,logistica_c0.1,regresion_logistica,"{""C"": 0.1}",0.65,0.24871201516432248,0.5754690213258578,48.31649831649832,594,0,0,0,287,307,,0.0,0.0,0.0,0.0
Prima,logistica_c0.1,regresion_logistica,"{""C"": 0.1}",0.7,0.24871201516432248,0.5754690213258578,48.31649831649832,594,0,0,0,287,307,,0.0,0.0,0.0,0.0
Prima,logistica_c0.1,regresion_logistica,"{""C"": 0.1}",0.75,0.24871201516432248,0.5754690213258578,48.31649831649832,594,0,0,0,287,307,,0.0,0.0,0.0,0.0
Prima,logistica_c1,regresion_logistica,"{""C"": 1.0}",0.55,0.24936707353314305,0.5719960503467296,48.31649831649832,594,4,3,1,284,306,75.0,1.0452961672473868,0.32573289902280134,0.6734006734006733,0.26792339602083776
Prima,logistica_c1,regresion_logistica,"{""C"": 1.0}",0.6,0.24936707353314305,0.5719960503467296,48.31649831649832,594,0,0,0,287,307,,0.0,0.0,0.0,0.0
Prima,logistica_c1,regresion_logistica,"{""C"": 1.0}",0.65,0.24936707353314305,0.5719960503467296,48.31649831649832,594,0,0,0,287,307,,0.0,0.0,0.0,0.0
Prima,logistica_c1,regresion_logistica,"{""C"": 1.0}",0.7,0.24936707353314305,0.5719960503467296,48.31649831649832,594,0,0,0,287,307,,0.0,0.0,0.0,0.0
Prima,logistica_c1,regresion_logistica,"{""C"": 1.0}",0.75,0.24936707353314305,0.5719960503467296,48.31649831649832,594,0,0,0,287,307,,0.0,0.0,0.0,0.0
Prima,logistica_c10,regresion_logistica,"{""C"": 10.0}",0.55,0.24946152295516447,0.5726883746268826,48.31649831649832,594,3,2,1,285,306,66.66666666666666,0.6968641114982579,0.32573289902280134,0.5050505050505051,0.23684035304755094
Prima,logistica_c10,regresion_logistica,"{""C"": 10.0}",0.6,0.24946152295516447,0.5726883746268826,48.31649831649832,594,0,0,0,287,307,,0.0,0.0,0.0,0.0
