fecha,SPY,NEM,FCX,EPU,MCHI,EEM,USD_PEN,ret_SPY,ret_NEM,ret_FCX,ret_EPU,ret_MCHI,ret_EEM,ret_USD_PEN
2025-08-18,643.2999877929688,69.0,41.75,52.380001068115234,60.040000915527344,50.22999954223633,3.545,-0.0002176032697784,-0.0047598705082807,-0.0144003919160118,0.003640591040541,0.006032181777994,0.0058069868542656,-0.0039336892385501
2025-08-19,639.8099975585938,67.37999725341797,41.459999084472656,51.68000030517578,59.59000015258789,49.81999969482422,3.53,-0.005425136484688,-0.0234783006751019,-0.0069461297132298,-0.0133638936362213,-0.00749501592401,-0.0081624497541027,-0.004231311706629
2025-08-20,638.1099853515625,69.0,41.310001373291016,51.75,59.91999816894531,49.75,3.523,-0.0026570578976855,0.0240427843962229,-0.0036178898816671,0.0013544832509841,0.005537808617426,-0.0014050520925934,-0.0019830028328611
2025-08-21,635.5499877929688,70.08999633789062,41.720001220703125,52.0099983215332,60.0,49.63999938964844,3.539,-0.0040118437532102,0.0157970483752265,0.0099249536137075,0.0050241221552309,0.0013351440837685,-0.0022110675447549,0.0045415838773772
2025-08-22,645.3099975585938,70.7699966430664,43.27999877929688,53.22999954223633,61.56999969482422,50.630001068115234,3.52,0.0153567932547964,0.0097018168170195,0.0373920784503625,0.0234570517222652,0.0261666615804037,0.0199436279339126,-0.0053687482339643
2025-08-25,642.469970703125,71.0999984741211,43.68999862670898,52.93000030517578,61.540000915527344,50.34000015258789,3.536,-0.0044010272058598,0.0046630188880618,0.0094731945234765,-0.0056359053097962,-0.0004872304603794,-0.005727847312055,0.0045454545454546
2025-08-26,645.1599731445312,72.43000030517578,44.34999847412109,53.38999938964844,61.619998931884766,50.209999084472656,3.55,0.004186969919329,0.0187060739746538,0.015106428660051,0.0086907062501504,0.0012999352480873,-0.0025824606221926,0.0039592760180995
2025-08-27,646.6300048828125,72.38999938964844,43.869998931884766,52.970001220703125,60.02000045776367,49.90999984741211,3.554,0.0022785538462906,-0.0005522699897667,-0.0108229889233573,-0.0078666074872955,-0.0259655712732118,-0.0059748903113069,0.0011267605633802
2025-08-28,648.9199829101562,72.97000122070312,44.369998931884766,53.41999816894531,60.45000076293945,50.09999847412109,3.54,0.00354140390958,0.0080121817370484,0.0113973105122782,0.0084953169316959,0.0071642836037359,0.0038068248304921,-0.0039392234102418
2025-08-29,645.0499877929688,74.4000015258789,44.400001525878906,53.79999923706055,61.310001373291016,49.86000061035156,3.533,-0.0059637477949624,0.0195970985508229,0.0006761910010455,0.0071134608974237,0.0142266434987179,-0.0047903766682447,-0.0019774011299434
2025-09-01,,,,,,,3.536,,,,,,,0.0008491367110106
2025-09-02,640.27001953125,75.86000061035156,44.93999862670898,54.90999984741211,61.63999938964844,49.81999969482422,3.538,-0.007410229210411,0.0196236432060397,0.0121620964475719,0.0206319818976303,0.005382449991286,-0.0008022646417504,0.0005656108597285
2025-09-03,643.739990234375,75.41999816894531,46.209999084472656,56.0099983215332,61.33000183105469,50.0099983215332,3.532,0.0054195426886696,-0.0058001903225164,0.0282599131413607,0.0200327531811663,-0.0050291622593009,0.0038137018842399,-0.0016958733747879
2025-09-04,649.1199951171875,74.87999725341797,46.06999969482422,55.72999954223633,60.29999923706055,49.84999847412109,3.526,0.0083574190891166,-0.0071599168474879,-0.0030296341143075,-0.0049990856576981,-0.0167944327937814,-0.0031993571842056,-0.0016987542468857
2025-09-05,647.239990234375,76.16999816894531,46.34000015258789,56.5,61.34999847412109,50.45000076293945,3.523,-0.0028962362844378,0.0172275769610616,0.0058606568168482,0.0138166241537487,0.0174129228913026,0.012036154607504,-0.0008508224617128
2025-09-08,648.8300170898438,75.75,46.65999984741211,56.650001525878906,62.29999923706055,50.90999984741211,3.511,0.0024566264128595,-0.0055139579761279,0.0069054746174046,0.0026548942633435,0.0154849353963746,0.0091179202679134,-0.0034061879080329
2025-09-09,650.3300170898438,75.91999816894531,43.88999938964844,56.0,62.970001220703125,51.18999862670898,3.498,0.0023118535833588,0.002244200250103,-0.0593656336652839,-0.0114739895564163,0.0107544460970716,0.0054998778262833,-0.0037026488180005
2025-09-10,652.2100219726562,78.43000030517578,44.880001068115234,56.45000076293945,62.540000915527344,51.540000915527344,3.48,0.0028908474672986,0.0330611459005167,0.0225564295337012,0.008035727909633,-0.0068286532767988,0.0068373178005076,-0.0051457975986278
2025-09-11,657.6300048828125,79.6500015258789,45.91999816894531,57.54999923706055,64.20999908447266,52.290000915527344,3.491,0.0083101803522784,0.0155552877209743,0.0231728403760875,0.0194862437423253,0.0267028804684696,0.0145518041652585,0.00316091954023
2025-09-12,657.4099731445312,79.25,44.720001220703125,57.77000045776367,63.95000076293945,52.2599983215332,3.493,-0.0003345828758535,-0.0050219901847577,-0.0261323387650681,0.0038227840767972,-0.0040491874356073,-0.0005737730630873,0.0005729017473503
2025-09-15,660.9099731445312,79.36000061035156,45.63999938964844,58.43999862670898,64.43000030517578,52.63999938964844,3.491,0.0053239228837049,0.0013880203198934,0.0205724092985801,0.0115976832895328,0.0075058567085193,0.0072713563015684,-0.0005725737188662
2025-09-16,660.0,79.0199966430664,45.29999923706055,57.91999816894531,64.86000061035156,53.02999877929688,3.479,-0.0013768488621856,-0.0042843241515904,-0.0074496090520326,-0.0088980231003293,0.0066739143743452,0.0074088030807448,-0.0034374104841019
2025-09-17,659.1799926757812,78.69000244140625,45.09000015258789,57.869998931884766,65.80000305175781,53.2599983215332,3.478,-0.0012424353397253,-0.0041760847339786,-0.0046357414571621,-0.0008632465235013,0.0144927911279764,0.0043371591086311,-0.0002874389192296
2025-09-18,662.260009765625,78.31999969482422,44.93000030517578,57.13999938964844,64.75,53.130001068115234,3.485,0.0046724978368064,-0.004702029928866,-0.0035484552421969,-0.012614473055297,-0.0159574924477113,-0.0024408046848437,0.0020126509488209
2025-09-19,663.7000122070312,81.72000122070312,44.93999862670898,57.810001373291016,64.44000244140625,53.0099983215332,3.499,0.0021743762573189,0.0434116641870159,0.00022253108091,0.0117256211200442,-0.004787607082529,-0.0022586626043575,0.0040172166427547
2025-09-22,666.8400268554688,83.72000122070312,45.15999984741211,58.59000015258789,64.43000030517578,53.27000045776367,3.503,0.0047310751705365,0.0244738126544876,0.0048954434229193,0.0134924539139908,-0.0001552162608864,0.0049047754096014,0.0011431837667905
2025-09-23,663.2100219726562,84.66999816894531,45.36000061035156,58.880001068115234,63.65999984741211,53.29999923706055,3.502,-0.005443591771073,0.0113473116864606,0.0044287148719048,0.0049496657240499,-0.0119509615725055,0.0005631458426711,-0.0002854695974879
